Accel_x	Accel_y	Accel_z	gyro_x	gyro_y	gyro_z
973.2	152	30.8	1.4	-0.6	8.2
980.3	150.5	37.2	0.7	-0.4	5.9
976.9	146.2	33.5	0.4	-1.2	4.1
980.4	144.8	28.6	0.9	-0.4	2.5
976.8	145.9	30.5	0.8	-0.1	0.9
984.8	151.4	33.6	-0.1	0.1	-0.7
978.8	159.3	34.9	-0.3	0	-0.5
989.6	173.5	36.4	-0.4	-0.2	1.8
981.4	184.6	37.8	0.5	-0.9	5.9
980.2	178.9	31.9	1.6	-1.2	10.2
970.9	167.8	31.2	2.7	-1	11.5
980.9	153.9	30.5	2.3	-1	13.4
981.5	135.1	31.9	2	-0.8	14.3
980.8	113.5	33.4	2	-1	12.8
983.5	97.4	31.3	2	-1.1	9.5
983.1	90.9	27.2	1.7	-0.7	5.6
983.5	87.6	27.7	1	-0.4	1.6
988.8	94.2	29.7	0	0.1	-2.1
983.3	105.5	29.5	-0.5	0	-4.1
984.3	111.9	29.7	-0.6	0.1	-5.5
982.2	120.1	29.6	-1	0	-7.1
984.3	126	25.8	-1.2	0.2	-7.2
986.4	133.1	37.4	-1.5	0.4	-7.2
987.5	141.8	38.6	-1.4	-0.2	-5.3
977	144.5	35.7	-0.6	-0.6	-2.8
987.1	137.6	41.2	0	-0.5	-2.4
981.9	133.3	32.1	0.1	-1.6	-1.8
984	127.3	30.3	0.1	-0.7	-1.6
988.1	124.5	31.4	0	-1.1	-2.1
981.6	123.7	21.2	0	-0.7	-2.4
984.9	121.7	30.5	0	0.2	-3.8
975.4	128.9	27	-0.6	-0.5	-4.5
989.8	129.5	30.2	-0.5	0.7	-5.3
980.7	143.7	31.9	-0.3	0	-3.9
982.1	140.2	35.6	-0.6	0.9	-3.4
988.5	136.3	34.3	0.3	0	-2.3
978.2	137.5	30.8	0.2	0.3	-2.7
986.4	133.3	30.5	0	0.6	-2.8
982.1	133.1	34.6	-0.3	0.7	-3.1
983.7	134.2	38.2	-0.8	0.7	-2.9
983.2	139	41.8	-0.7	-0.1	-3
979.6	140.3	34.7	0	-0.3	-2.6
980.8	141.3	36.1	0.3	0.5	-2.2
983.3	139.7	40.6	-0.4	0.1	-2.3
983.6	138.5	39.3	-0.2	0	-2
981	137.5	36.9	0.4	-0.2	-2
984	139.7	34.7	0.5	0	-1.9
983.2	138.3	35.6	0.1	0.3	-1.7
981.5	137.5	36.9	0	0.3	-1.7
981.2	136.3	36.9	0.1	0.5	-2
984.9	137.2	39.9	0	0.3	-2.5
981.9	140.3	40.7	-0.3	0	-2.2
980.8	140.1	41.3	-0.1	-0.1	-2
982.5	139.2	40.4	0.1	-0.4	-1.9
980.1	142.4	37.9	0	-0.7	-1.8
984.8	141.7	41.5	-0.1	-0.5	-1.9
989.3	141.2	34.4	0.1	-0.6	-1.2
973.3	144.2	38.8	0	-0.6	-1.3
988.1	138.7	31.8	0.3	-0.5	-0.8
973	142.4	41.5	-0.1	-0.4	-1
987.7	143.4	40.2	-0.4	-0.6	-0.3
978	142.4	41.3	0.1	-1	0.3
