UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_19_57_30.229,3.869,38.4,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-38.3,381.4,922.8,-0.5,-0.6,-1.7,25,-38.3,381.4,922.8,-0.5,-0.6,-1.7,
2026_07_06_19_57_30.248,3.869,38.4,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-38.8,379.7,922.9,-0.6,-0.5,-1.7,25,-38.3152,381.348,922.803,-0.503047,-0.596953,-1.7,
2026_07_06_19_57_30.268,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-37.5,381.8,923.9,-0.6,-0.6,-1.8,25,-38.3052,381.312,922.839,-0.508955,-0.594092,-1.70305,
2026_07_06_19_57_30.288,3.869,38.3,0,0.767,0,0,0,0, ,0,0,0,0,0, ,-38.2,381.4,924.8,-0.6,-0.6,-1.7,25,-38.2774,381.329,922.931,-0.514503,-0.594452,-1.70591,
2026_07_06_19_57_30.308,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-37.7,381.4,923.2,-0.7,-0.6,-1.8,25,-38.2575,381.334,922.997,-0.52276,-0.59479,-1.70859,
2026_07_06_19_57_30.327,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-38.3,381.9,924.6,-0.6,-0.6,-1.8,25,-38.2418,381.353,923.052,-0.530514,-0.595108,-1.71416,
2026_07_06_19_57_30.347,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-37.9,380.3,923.4,-0.6,-0.5,-1.8,25,-38.2331,381.337,923.109,-0.534748,-0.592359,-1.7194,
2026_07_06_19_57_30.367,3.869,38.2,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-38,381.1,923.8,-0.6,-0.5,-1.7,25,-38.2159,381.299,923.139,-0.538724,-0.586731,-1.72126,
2026_07_06_19_57_30.393,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-37.7,382.5,925.2,-0.6,-0.5,-1.7,25,-38.1936,381.329,923.222,-0.542458,-0.581446,-1.71996,
2026_07_06_19_57_30.406,3.869,38.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-38.9,382.4,923.5,-0.6,-0.5,-1.8,25,-38.2001,381.397,923.291,-0.545965,-0.576482,-1.7218,
