UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_15_27_12.335,3.847,29.7,0,0.759,0,0,0,0.002, ,0,0,0,0,0, ,-38.2,156.4,987.1,-0.7,-0.4,-1.9,25,-38.2,156.4,987.1,-0.7,-0.4,-1.9,
2026_07_06_15_27_12.367,3.847,29.7,0,0.758,0,0,0,0.002, ,0,0,0,0,0, ,-38,156,987.4,-0.6,-0.5,-1.8,25,-38.1939,156.388,987.109,-0.696953,-0.403047,-1.89695,
2026_07_06_15_27_12.385,3.847,29.6,0,0.758,0,0,0,0.002, ,0,0,0,0,0, ,-38.3,157.5,987.6,-0.5,-0.4,-1.8,25,-38.1912,156.41,987.133,-0.687998,-0.405908,-1.89105,
2026_07_06_15_27_12.403,3.847,29.7,0,0.758,0,0,0,0.003, ,0,0,0,0,0, ,-38.5,155.5,986.3,-0.7,-0.4,-1.8,25,-38.204,156.415,987.122,-0.682636,-0.405548,-1.8855,
2026_07_06_15_27_12.424,3.847,29.6,0,0.757,0,0,0,0.002, ,0,0,0,0,0, ,-38.5,156.3,988.5,-0.7,-0.5,-1.8,25,-38.222,156.384,987.139,-0.683694,-0.408257,-1.88029,
2026_07_06_15_27_12.435,3.847,29.6,0,0.757,0,0,0,0.003, ,0,0,0,0,0, ,-36.6,155.1,988.1,-0.6,-0.4,-1.9,25,-38.181,156.342,987.21,-0.681641,-0.410801,-1.87844,
2026_07_06_15_27_12.452,3.847,29.8,0,0.759,0,0,0,0.003, ,0,0,0,0,0, ,-39.4,156,988.2,-0.6,-0.5,-1.9,25,-38.17,156.294,987.267,-0.676666,-0.413189,-1.87976,
2026_07_06_15_27_12.485,3.847,29.7,0,0.759,0,0,0,0.001, ,0,0,0,0,0, ,-38.8,155.8,988,-0.7,-0.5,-1.8,25,-38.2267,156.27,987.318,-0.675041,-0.418479,-1.87794,
2026_07_06_15_27_12.503,3.847,29.6,0,0.758,0,0,0,0.002, ,0,0,0,0,0, ,-38.6,156.2,987.5,-0.6,-0.4,-1.9,25,-38.2555,156.254,987.344,-0.673515,-0.4204,-1.87624,
2026_07_06_15_27_12.518,3.847,29.5,0,0.759,0,0,0,0.003, ,0,0,0,0,0, ,-38.9,155.8,987,-0.6,-0.5,-1.9,25,-38.2857,156.238,987.338,-0.669035,-0.422204,-1.87769,
