UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_15_50_22.022,3.847,27.2,0,0.757,0,0,0,0.021, ,0,0,0,0,0, ,-37.9,157.4,989.3,-0.5,-0.5,-1.8,25,-37.9,157.4,989.3,-0.5,-0.5,-1.8,
2026_07_06_15_50_22.041,3.847,27.3,0,0.757,0,0,0,0.023, ,0,0,0,0,0, ,-37.7,155.5,988.2,-0.5,-0.4,-1.8,25,-37.8939,157.342,989.266,-0.5,-0.496953,-1.8,
2026_07_06_15_50_22.061,3.847,27.3,0,0.756,0,0,0,0.022, ,0,0,0,0,0, ,-38.8,155.3,989.5,-0.6,-0.5,-1.8,25,-37.9156,157.224,989.241,-0.503047,-0.494092,-1.8,
2026_07_06_15_50_22.081,3.847,27.2,0,0.756,0,0,0,0.022, ,0,0,0,0,0, ,-38.3,155,988.6,-0.5,-0.4,-1.8,25,-37.9543,157.097,989.229,-0.505908,-0.491405,-1.8,
2026_07_06_15_50_22.101,3.847,27.2,0,0.756,0,0,0,0.023, ,0,0,0,0,0, ,-38.6,155.1,989.5,-0.5,-0.5,-1.8,25,-37.9845,156.973,989.219,-0.505548,-0.488882,-1.8,
2026_07_06_15_50_22.120,3.847,27.2,0,0.757,0,0,0,0.024, ,0,0,0,0,0, ,-38.3,156.1,987.7,-0.6,-0.5,-1.9,25,-38.0128,156.889,989.181,-0.508257,-0.489559,-1.80305,
2026_07_06_15_50_22.139,3.847,27.3,0,0.758,0,0,0,0.024, ,0,0,0,0,0, ,-38.3,156.1,987.6,-0.5,-0.4,-1.8,25,-38.0303,156.841,989.088,-0.510801,-0.487149,-1.80591,
2026_07_06_15_50_22.159,3.847,27.2,0,0.758,0,0,0,0.023, ,0,0,0,0,0, ,-38,155.2,987.5,-0.5,-0.4,-1.8,25,-38.0376,156.768,988.994,-0.510142,-0.481838,-1.80555,
2026_07_06_15_50_22.179,3.847,27.2,0,0.757,0,0,0,0.024, ,0,0,0,0,0, ,-38.5,157.1,989,-0.5,-0.4,-1.8,25,-38.0506,156.731,988.949,-0.509524,-0.476851,-1.80521,
2026_07_06_15_50_22.199,3.847,27.2,0,0.756,0,0,0,0.025, ,0,0,0,0,0, ,-37.4,155.3,988.6,-0.5,-0.4,-1.8,25,-38.0444,156.698,988.939,-0.508944,-0.472168,-1.80489,
2026_07_06_15_50_22.219,3.847,27.3,0,0.758,0,0,0,0.025, ,0,0,0,0,0, ,-38.4,154.7,989,-0.5,-0.4,-1.8,25,-38.0356,156.595,988.931,-0.508399,-0.46777,-1.80459,
2026_07_06_15_50_22.239,3.847,27.2,0,0.759,0,0,0,0.024, ,0,0,0,0,0, ,-38.9,154.9,988.8,-0.5,-0.4,-1.8,25,-38.0731,156.485,988.929,-0.507887,-0.463641,-1.80431,
2026_07_06_15_50_22.259,3.847,27.5,0,0.758,0,0,0,0.025, ,0,0,0,0,0, ,-39.4,155.3,987.7,-0.6,-0.4,-1.8,25,-38.1387,156.401,988.888,-0.510453,-0.459762,-1.80405,
2026_07_06_15_50_22.279,3.847,27.3,0,0.757,0,0,0,0.023, ,0,0,0,0,0, ,-37.9,155.1,987.7,-0.5,-0.4,-1.8,25,-38.1699,156.328,988.815,-0.512863,-0.456121,-1.8038,
2026_07_06_15_50_22.298,3.847,27.3,0,0.756,0,0,0,0.025, ,0,0,0,0,0, ,-38.5,155.6,989.1,-0.5,-0.4,-1.8,25,-38.1717,156.268,988.79,-0.512079,-0.452701,-1.80357,
2026_07_06_15_50_22.321,3.847,27.5,0,0.756,0,0,0,0.026, ,0,0,0,0,0, ,-38.3,155.1,988.1,-0.5,-0.3,-1.8,25,-38.1856,156.212,988.778,-0.511343,-0.446442,-1.80335,
2026_07_06_15_50_22.338,3.847,27.3,0,0.758,0,0,0,0.024, ,0,0,0,0,0, ,-38,156.7,988.1,-0.5,-0.5,-1.8,25,-38.1834,156.193,988.737,-0.510652,-0.443612,-1.80315,
2026_07_06_15_50_22.358,3.847,27.5,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-37.8,154.1,991.3,-0.5,-0.4,-1.7,25,-38.1662,156.145,988.796,-0.510003,-0.444002,-1.79991,
2026_07_06_15_50_22.378,3.847,27.2,0,0.757,0,0,0,0.025, ,0,0,0,0,0, ,-38.2,156.8,988.5,-0.5,-0.4,-1.8,25,-38.156,156.103,988.863,-0.509393,-0.44132,-1.79687,
2026_07_06_15_50_22.397,3.847,27.6,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.5,155.3,988,-0.6,-0.4,-1.8,25,-38.1679,156.099,988.826,-0.511868,-0.438802,-1.79706,
2026_07_06_15_50_22.417,3.847,27.5,0,0.758,0,0,0,0.024, ,0,0,0,0,0, ,-38.3,155.2,989.1,-0.5,-0.4,-1.8,25,-38.182,156.048,988.809,-0.514192,-0.436438,-1.79724,
2026_07_06_15_50_22.436,3.847,27.3,0,0.757,0,0,0,0.025, ,0,0,0,0,0, ,-38.3,154,989.3,-0.6,-0.4,-1.7,25,-38.1892,155.959,988.833,-0.516374,-0.434217,-1.79436,
2026_07_06_15_50_22.457,3.847,27.5,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.5,155.3,988.8,-0.6,-0.4,-1.8,25,-38.202,155.88,988.846,-0.52147,-0.432132,-1.79166,
2026_07_06_15_50_22.477,3.847,27.5,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-37.9,154.4,989.3,-0.6,-0.4,-1.8,25,-38.2019,155.817,988.858,-0.526255,-0.430174,-1.79217,
2026_07_06_15_50_22.497,3.847,27.5,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-37.1,155.2,990.1,-0.5,-0.4,-1.8,25,-38.1591,155.755,988.91,-0.527702,-0.428335,-1.79264,
2026_07_06_15_50_22.515,3.847,27.6,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-37.5,156.2,989.7,-0.6,-0.5,-1.8,25,-38.1068,155.752,988.97,-0.529061,-0.429656,-1.79309,
2026_07_06_15_50_22.536,3.847,27.5,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-38.6,155.2,989,-0.6,-0.4,-1.8,25,-38.1033,155.748,988.993,-0.533384,-0.430895,-1.79351,
2026_07_06_15_50_22.556,3.847,27.6,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.2,154.9,988.8,-0.5,-0.4,-1.8,25,-38.1214,155.706,988.988,-0.534396,-0.429013,-1.79391,
2026_07_06_15_50_22.575,3.847,27.5,0,0.758,0,0,0,0.026, ,0,0,0,0,0, ,-37.5,155.2,988.8,-0.5,-0.4,-1.8,25,-38.1049,155.666,988.976,-0.5323,-0.427245,-1.79428,
2026_07_06_15_50_22.595,3.847,27.6,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.5,157.3,988.1,-0.6,-0.5,-1.8,25,-38.0985,155.701,988.944,-0.533379,-0.428631,-1.79463,
2026_07_06_15_50_22.614,3.847,27.6,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.8,153.9,987.1,-0.5,-0.4,-1.8,25,-38.1321,155.695,988.862,-0.534392,-0.429934,-1.79496,
2026_07_06_15_50_22.634,3.847,27.6,0,0.756,0,0,0,0.027, ,0,0,0,0,0, ,-39.1,156.1,987.4,-0.4,-0.4,-1.8,25,-38.1819,155.653,988.764,-0.529249,-0.428109,-1.79526,
2026_07_06_15_50_22.660,3.847,27.6,0,0.757,0,0,0,0.027, ,0,0,0,0,0, ,-38.5,155.8,988.5,-0.5,-0.4,-1.8,25,-38.2196,155.671,988.714,-0.52442,-0.426397,-1.79555,
2026_07_06_15_50_22.674,3.847,27.6,0,0.758,0,0,0,0.028, ,0,0,0,0,0, ,-36.9,157.3,987.7,-0.6,-0.4,-1.8,25,-38.1879,155.725,988.677,-0.525979,-0.424788,-1.79582,
