UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_17_15_35.765,3.869,55.2,0,0.776,0,0,0,0, ,0,0,0,0,0, ,834.1,96.5,534.7,-1,-0.1,-1.7,25,834.1,96.5,534.7,-1,-0.1,-1.7,
2026_07_06_17_15_35.784,3.869,55.2,0,0.776,0,0,0,0, ,0,0,0,0,0, ,832.1,93.8,535.1,-1.4,-0.6,-1.6,25,834.039,96.4177,534.712,-1.01219,-0.115234,-1.69695,
2026_07_06_17_15_35.805,3.869,55.1,0,0.778,0,0,0,0, ,0,0,0,0,0, ,832.5,92.1,536.6,-2,-1.6,-1.6,25,833.933,96.2064,534.782,-1.0541,-0.175244,-1.69105,
2026_07_06_17_15_35.824,3.869,55,0,0.776,0,0,0,0, ,0,0,0,0,0, ,834.5,86.9,524.6,-1.3,-2.2,-1.8,25,833.907,95.7977,534.527,-1.09041,-0.280346,-1.69159,
2026_07_06_17_15_35.844,3.869,55.1,0,0.778,0,0,0,0, ,0,0,0,0,0, ,835.6,92.5,521.4,-0.5,-0.7,-2.1,25,833.976,95.4262,533.824,-1.07881,-0.351622,-1.70734,
2026_07_06_17_15_35.864,3.869,55.1,0,0.776,0,0,0,0, ,0,0,0,0,0, ,833,95.4,528.4,-0.5,0.4,-1.9,25,833.996,95.3362,533.28,-1.04354,-0.339335,-1.72517,
2026_07_06_17_15_35.883,3.869,55,0,0.775,0,0,0,0, ,0,0,0,0,0, ,830.8,91.7,537.1,-0.8,-0.3,-1.6,25,833.868,95.2274,533.248,-1.01956,-0.31561,-1.72668,
2026_07_06_17_15_35.903,3.869,55.1,0,0.777,0,0,0,0, ,0,0,0,0,0, ,830.6,96.1,545.2,-1.9,-2,-1.4,25,833.675,95.1465,533.73,-1.03969,-0.366456,-1.71287,
2026_07_06_17_15_35.923,3.869,55.1,0,0.777,0,0,0,0, ,0,0,0,0,0, ,832.1,92.4,539.7,-3.4,-4.8,-1.1,25,833.534,95.0918,534.261,-1.13782,-0.551312,-1.68466,
2026_07_06_17_15_35.943,3.869,55.1,0,0.777,0,0,0,0, ,0,0,0,0,0, ,834.4,88.1,524.7,-2.9,-5.2,-1.5,25,833.516,94.7968,534.135,-1.26044,-0.822404,-1.66122,
2026_07_06_17_15_35.967,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,836.1,91,521.3,-1.8,-5,-1.5,25,833.622,94.4771,533.457,-1.32683,-1.08307,-1.6514,
2026_07_06_17_15_35.982,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,839.2,87.7,512.9,0,-3.8,-1.3,25,833.867,94.1646,532.46,-1.30082,-1.2852,-1.63608,
2026_07_06_17_15_36.002,3.869,54.9,0,0.777,0,0,0,0, ,0,0,0,0,0, ,837,93.2,521.2,0.4,-2.1,-1.3,25,834.125,93.9383,531.521,-1.20937,-1.38664,-1.6156,
2026_07_06_17_15_36.022,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,835.2,92.4,531.9,-0.9,-2.9,-1.1,25,834.246,93.8689,531.218,-1.15091,-1.45449,-1.59027,
2026_07_06_17_15_36.042,3.869,55,0,0.778,0,0,0,0, ,0,0,0,0,0, ,838.2,90.2,525.2,-1.9,-4,-1.2,25,834.395,93.7124,531.056,-1.16609,-1.57609,-1.56345,
2026_07_06_17_15_36.062,3.869,55,0,0.778,0,0,0,0, ,0,0,0,0,0, ,839.4,87.8,518.5,-2.7,-3.9,-1.6,25,834.664,93.4252,530.495,-1.23518,-1.72075,-1.55349,
2026_07_06_17_15_36.082,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,840.4,85.6,518.6,-2.3,-3.6,-1.6,25,834.983,93.0154,529.767,-1.31226,-1.84441,-1.55632,
2026_07_06_17_15_36.102,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,841.1,86.5,512,-0.3,-2.3,-1.4,25,835.334,92.5909,528.885,-1.31151,-1.91178,-1.55289,
2026_07_06_17_15_36.121,3.869,55,0,0.777,0,0,0,0, ,0,0,0,0,0, ,842.8,85.5,513.1,0.3,-1.3,-1.3,25,835.737,92.1893,527.89,-1.23159,-1.90497,-1.54052,
2026_07_06_17_15_36.140,3.869,54.9,0,0.777,0,0,0,0, ,0,0,0,0,0, ,841,86.5,516.8,0.4,-0.9,-1.5,25,836.113,91.8121,527.101,-1.13521,-1.85592,-1.53196,
2026_07_06_17_15_36.160,3.869,54.9,0,0.778,0,0,0,0, ,0,0,0,0,0, ,837.5,90.2,525.6,-1.5,-1.3,-1.5,25,836.304,91.6012,526.742,-1.09955,-1.80985,-1.53001,
2026_07_06_17_15_36.181,3.869,54.9,0,0.777,0,0,0,0, ,0,0,0,0,0, ,841.1,88.5,516.9,-2.5,-1.8,-1.7,25,836.487,91.464,526.407,-1.15442,-1.79402,-1.53428,
2026_07_06_17_15_36.200,3.869,54.9,0,0.777,0,0,0,0, ,0,0,0,0,0, ,841.1,84.4,518.5,-1.7,-1.8,-1.5,25,836.768,91.1584,525.876,-1.21204,-1.79438,-1.53828,
2026_07_06_17_15_36.220,3.869,54.9,0,0.777,0,0,0,0, ,0,0,0,0,0, ,844.2,85.8,505.4,-0.7,-0.4,-2,25,837.126,90.7893,525.028,-1.21131,-1.75207,-1.55118,
