UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_17_19_31.695,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_19_31.714,0.020000,0.93586671,0.02094415,-0.35164335,0.00786957,0.75257003,-0.02945949,-0.65785301,0.00000000,0.99899882,-0.04473643,0.65851223,0.03366730,0.75181657,2.564254,41.139366,-2.241874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_19_31.734,0.040000,0.93585056,0.02091888,-0.35169521,0.00752567,0.75250769,-0.02879994,-0.65795350,-0.00062834,0.99901152,-0.04444737,0.65858316,0.03386041,0.75174576,2.579184,41.147011,-2.191913,-0.001183,-0.004200,9.771882,-0.019405,-0.005113,-0.020173
2026_07_06_17_19_31.754,0.060000,0.93583268,0.02089199,-0.35175174,0.00718041,0.75243831,-0.02813692,-0.65806150,-0.00125826,0.99902391,-0.04415426,0.65866160,0.03405137,0.75166845,2.593977,41.155231,-2.141697,0.000126,-0.008870,9.769480,-0.019997,-0.009904,-0.022633
2026_07_06_17_19_31.774,0.080000,0.93581635,0.02086928,-0.35180327,0.00683562,0.75237548,-0.02747754,-0.65816116,-0.00188998,0.99903548,-0.04386921,0.65873182,0.03425003,0.75159788,2.609334,41.162815,-2.091726,0.002398,-0.012783,9.767029,-0.019892,-0.013966,-0.025798
2026_07_06_17_19_31.793,0.100000,0.93580276,0.02085175,-0.35184708,0.00649281,0.75232297,-0.02682523,-0.65824813,-0.00252127,0.99904609,-0.04359520,0.65878969,0.03445730,0.75153768,2.625313,41.169434,-2.042254,0.001389,-0.015554,9.767435,-0.020370,-0.016698,-0.024710
2026_07_06_17_19_31.813,0.120000,0.93578947,0.02083602,-0.35188931,0.00615064,0.75227213,-0.02617535,-0.65833235,-0.00315253,0.99905604,-0.04332494,0.65884495,0.03466756,0.75147957,2.641514,41.175842,-1.992953,-0.001233,-0.018823,9.768480,-0.021635,-0.019866,-0.022060
2026_07_06_17_19_31.834,0.140000,0.93577582,0.02082188,-0.35193244,0.00580742,0.75221968,-0.02552469,-0.65841788,-0.00378690,0.99906546,-0.04305687,0.65890151,0.03488158,0.75142002,2.658009,41.182358,-1.943586,-0.001851,-0.022866,9.767591,-0.022659,-0.023928,-0.022151
2026_07_06_17_19_31.852,0.160000,0.93576300,0.02081196,-0.35197246,0.00546207,0.75217110,-0.02487288,-0.65849829,-0.00442807,0.99907404,-0.04279512,0.65895295,0.03510513,0.75136447,2.675216,41.188477,-1.894113,-0.001413,-0.026733,9.766607,-0.022948,-0.027845,-0.023015
2026_07_06_17_19_31.873,0.180000,0.93575245,0.02080511,-0.35200638,0.00511312,0.75213075,-0.02421630,-0.65856892,-0.00507783,0.99908203,-0.04253658,0.65899438,0.03533717,0.75131732,2.693042,41.193855,-1.844247,-0.002328,-0.028919,9.766849,-0.023451,-0.030008,-0.022145
2026_07_06_17_19_31.893,0.200000,0.93574262,0.02079666,-0.35203782,0.00476070,0.75209343,-0.02355201,-0.65863556,-0.00573284,0.99908966,-0.04227254,0.65903157,0.03556874,0.75127375,2.710820,41.198929,-1.793779,-0.004323,-0.030725,9.767395,-0.024562,-0.031755,-0.020349
2026_07_06_17_19_31.912,0.220000,0.93573272,0.02078454,-0.35206959,0.00440717,0.75205517,-0.02288308,-0.65870285,-0.00638734,0.99909717,-0.04200082,0.65906930,0.03579429,0.75123000,2.728143,41.204052,-1.742952,-0.006219,-0.033668,9.768059,-0.025515,-0.034639,-0.018486
2026_07_06_17_19_31.932,0.240000,0.93572325,0.02077215,-0.35209954,0.00405326,0.75201899,-0.02221319,-0.65876704,-0.00704227,0.99910420,-0.04172827,0.65910381,0.03601967,0.75118887,2.745445,41.208946,-1.692040,-0.008114,-0.036506,9.767863,-0.027027,-0.037451,-0.017272
2026_07_06_17_19_31.952,0.260000,0.93571371,0.02076127,-0.35212967,0.00369733,0.75198203,-0.02154061,-0.65883160,-0.00770202,0.99911058,-0.04145708,0.65913868,0.03624932,0.75114733,2.763074,41.213860,-1.640916,-0.010472,-0.039173,9.767572,-0.028948,-0.040088,-0.015836
2026_07_06_17_19_31.972,0.280000,0.93570179,0.02074891,-0.35216546,0.00333823,0.75193667,-0.02086128,-0.65890521,-0.00836691,0.99911666,-0.04118080,0.65918225,0.03647836,0.75109792,2.780688,41.219467,-1.589289,-0.012579,-0.041185,9.767555,-0.030501,-0.042069,-0.014385
2026_07_06_17_19_31.992,0.300000,0.93568748,0.02073283,-0.35220781,0.00297637,0.75188160,-0.02017444,-0.65898943,-0.00903462,0.99912256,-0.04089550,0.65923631,0.03670229,0.75103962,2.797948,41.225880,-1.537101,-0.013504,-0.042906,9.767002,-0.031520,-0.043807,-0.014130
2026_07_06_17_19_32.012,0.320000,0.93567193,0.02071499,-0.35225290,0.00261450,0.75182211,-0.01948646,-0.65907800,-0.00970120,0.99912810,-0.04060679,0.65929461,0.03692293,0.75097758,2.814973,41.232632,-1.484825,-0.013902,-0.045590,9.766216,-0.032283,-0.046526,-0.014357
2026_07_06_17_19_32.031,0.340000,0.93565649,0.02069705,-0.35229760,0.00225444,0.75176263,-0.01880181,-0.65916574,-0.01036428,0.99913311,-0.04031912,0.65935242,0.03714219,0.75091606,2.831893,41.239315,-1.432791,-0.014426,-0.048295,9.766458,-0.032462,-0.049228,-0.013732
2026_07_06_17_19_32.051,0.360000,0.93564045,0.02067872,-0.35234323,0.00189701,0.75170130,-0.01812186,-0.65925473,-0.01102217,0.99913758,-0.04003250,0.65941161,0.03735890,0.75085330,2.848627,41.246098,-1.381109,-0.015844,-0.050309,9.767756,-0.032618,-0.051184,-0.011752
2026_07_06_17_19_32.071,0.380000,0.93562222,0.02065872,-0.35239473,0.00154378,0.75163114,-0.01744884,-0.65935290,-0.01167125,0.99914169,-0.03974555,0.65948045,0.03756947,0.75078237,2.864926,41.253574,-1.329959,-0.017675,-0.052629,9.768791,-0.033253,-0.053448,-0.009686
2026_07_06_17_19_32.090,0.400000,0.93560052,0.02063471,-0.35245493,0.00119427,0.75154817,-0.01678032,-0.65946472,-0.01231090,0.99914557,-0.03945355,0.65956330,0.03776985,0.75069946,2.880499,41.262100,-1.279163,-0.018118,-0.056265,9.767960,-0.034057,-0.057123,-0.009885
2026_07_06_17_19_32.110,0.420000,0.93557721,0.02060837,-0.35251945,0.00084727,0.75145864,-0.01611507,-0.65958339,-0.01294433,0.99914914,-0.03915880,0.65965325,0.03796408,0.75061065,2.895629,41.271149,-1.228613,-0.017848,-0.060510,9.767367,-0.034155,-0.061410,-0.010353
2026_07_06_17_19_32.130,0.440000,0.93555439,0.02058413,-0.35258189,0.00050205,0.75137150,-0.01545458,-0.65969837,-0.01357579,0.99915206,-0.03886918,0.65973973,0.03816112,0.75052464,2.910965,41.279911,-1.178409,-0.017779,-0.064003,9.767309,-0.034058,-0.064922,-0.010319
2026_07_06_17_19_32.149,0.460000,0.93553269,0.02056294,-0.35264125,0.00015723,0.75128824,-0.01479686,-0.65980840,-0.01420850,0.99915427,-0.03858549,0.65982127,0.03836371,0.75044262,2.926711,41.288303,-1.128396,-0.018481,-0.067371,9.767114,-0.034626,-0.068303,-0.009886
2026_07_06_17_19_32.170,0.480000,0.93551075,0.02054382,-0.35270041,-0.00018819,0.75120473,-0.01413953,-0.65991783,-0.01484373,0.99915582,-0.03830519,0.65990233,0.03857068,0.75036073,2.942793,41.296646,-1.078400,-0.020692,-0.070302,9.766996,-0.036280,-0.071223,-0.008417
2026_07_06_17_19_32.190,0.500000,0.93548912,0.02052623,-0.35275862,-0.00053434,0.75112212,-0.01348187,-0.66002566,-0.01548135,0.99915677,-0.03802713,0.65998179,0.03878111,0.75028008,2.959137,41.304871,-1.028365,-0.021688,-0.072883,9.765828,-0.037715,-0.073854,-0.008554
2026_07_06_17_19_32.209,0.520000,0.93546963,0.02050974,-0.35281044,-0.00088175,0.75104803,-0.01282240,-0.66012311,-0.01612180,0.99915713,-0.03775031,0.66005075,0.03899467,0.75020826,2.975688,41.312305,-0.978170,-0.022069,-0.075261,9.765171,-0.038351,-0.076273,-0.008720
2026_07_06_17_19_32.229,0.540000,0.93545312,0.02049491,-0.35285416,-0.00123057,0.75098485,-0.01216114,-0.66020745,-0.01676571,0.99915689,-0.03747562,0.66010660,0.03921247,0.75014782,2.992519,41.318737,-0.927812,-0.023516,-0.077868,9.765679,-0.039011,-0.078862,-0.007303
2026_07_06_17_19_32.249,0.560000,0.93543726,0.02048086,-0.35289538,-0.00158052,0.75092471,-0.01149826,-0.66028768,-0.01741215,0.99915606,-0.03720161,0.66015822,0.03943263,0.75009078,3.009518,41.324860,-0.877316,-0.026578,-0.080535,9.766643,-0.040577,-0.081477,-0.004476
2026_07_06_17_19_32.268,0.580000,0.93541980,0.02046742,-0.35294089,-0.00193117,0.75085801,-0.01083466,-0.66037482,-0.01806049,0.99915469,-0.03692807,0.66021675,0.03965443,0.75002766,3.026669,41.331509,-0.826765,-0.028927,-0.082878,9.766794,-0.042147,-0.083811,-0.002743
2026_07_06_17_19_32.289,0.600000,0.93540025,0.02045641,-0.35299116,-0.00228006,0.75078404,-0.01017632,-0.66046935,-0.01870741,0.99915266,-0.03666018,0.66028279,0.03987954,0.74995756,3.044102,41.338722,-0.776611,-0.029826,-0.085315,9.766944,-0.042624,-0.086257,-0.001965
2026_07_06_17_19_32.308,0.620000,0.93537819,0.02044619,-0.35304794,-0.00262790,0.75070047,-0.00952082,-0.66057414,-0.01935313,0.99915010,-0.03639431,0.66035920,0.04010540,0.74987817,3.061633,41.346718,-0.726673,-0.030763,-0.087595,9.767100,-0.043124,-0.088547,-0.001162
