UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_17_06_47.557,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_06_47.576,0.020000,0.94980878,0.02632130,-0.31160238,0.00863519,0.80565876,-0.03280712,-0.59147078,0.00000000,0.99846524,-0.05538189,0.59237999,0.04461891,0.80442226,3.175007,36.264118,-2.332017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_06_47.596,0.040000,0.94994611,0.02622025,-0.31120262,0.00823238,0.80617034,-0.03196026,-0.59081972,-0.00067897,0.99848944,-0.05493952,0.59168315,0.04469176,0.80493087,3.178175,36.217869,-2.270444,-0.002001,0.003679,9.708041,-0.056026,-0.000372,-0.073040
2026_07_06_17_06_47.615,0.060000,0.95007336,0.02611597,-0.31083319,0.00782810,0.80664289,-0.03110996,-0.59021980,-0.00136089,0.99851334,-0.05449065,0.59103757,0.04475772,0.80540138,3.181000,36.175270,-2.208806,0.000396,0.007256,9.713654,-0.050725,0.003368,-0.070173
2026_07_06_17_06_47.635,0.080000,0.95019323,0.02600768,-0.31048584,0.00741924,0.80708700,-0.03024946,-0.58965713,-0.00205060,0.99853712,-0.05403179,0.59042901,0.04481750,0.80584431,3.183493,36.135342,-2.146588,0.007508,0.008211,9.715512,-0.043842,0.004185,-0.072956
2026_07_06_17_06_47.658,0.100000,0.95031059,0.02590406,-0.31014478,0.00701101,0.80752212,-0.02939329,-0.58910453,-0.00274275,0.99855965,-0.05358265,0.58983099,0.04488494,0.80627835,3.186561,36.096146,-2.084763,0.015929,0.008801,9.717834,-0.035626,0.004632,-0.076104
2026_07_06_17_06_47.674,0.120000,0.95042813,0.02581567,-0.30980033,0.00661155,0.80796009,-0.02856302,-0.58854455,-0.00342779,0.99857968,-0.05316840,0.58922726,0.04497536,0.80671465,3.191243,36.056446,-2.024827,0.022652,0.009905,9.719493,-0.029170,0.005623,-0.078805
2026_07_06_17_06_47.694,0.140000,0.95054877,0.02574772,-0.30944386,0.00622038,0.80841160,-0.02776049,-0.58796263,-0.00410940,0.99859673,-0.05279864,0.58860326,0.04509921,0.80716312,3.198239,36.015213,-1.966883,0.027899,0.010582,9.719696,-0.024756,0.006171,-0.081781
2026_07_06_17_06_47.714,0.160000,0.95067489,0.02570727,-0.30906692,0.00582908,0.80888736,-0.02697365,-0.58734465,-0.00480742,0.99861032,-0.05248166,0.58794403,0.04527536,0.80763352,3.208838,35.971451,-1.910053,0.034516,0.008079,9.723007,-0.017387,0.003651,-0.082878
2026_07_06_17_06_47.735,0.180000,0.95080972,0.02569927,-0.30865985,0.00543712,0.80939907,-0.02620399,-0.58667409,-0.00552534,0.99861997,-0.05222666,0.58723307,0.04551378,0.80813730,3.223694,35.923988,-1.854418,0.039598,0.007386,9.725085,-0.011984,0.002928,-0.084158
2026_07_06_17_06_47.754,0.200000,0.95095390,0.02572025,-0.30822009,0.00504667,0.80994982,-0.02545331,-0.58594662,-0.00625669,0.99862599,-0.05202852,0.58646578,0.04580658,0.80867767,3.242225,35.872536,-1.800105,0.039147,0.008871,9.727919,-0.010621,0.004560,-0.081690
2026_07_06_17_06_47.773,0.220000,0.95110476,0.02576365,-0.30775699,0.00465483,0.81052792,-0.02471236,-0.58517843,-0.00700342,0.99862915,-0.05187298,0.58565813,0.04614275,0.80924374,3.263689,35.818233,-1.746491,0.037178,0.009499,9.730139,-0.010848,0.005343,-0.078783
2026_07_06_17_06_47.794,0.240000,0.95126081,0.02581972,-0.30727518,0.00425998,0.81112766,-0.02397221,-0.58437765,-0.00776282,0.99863040,-0.05174054,0.58481765,0.04650460,0.80983061,3.286848,35.761669,-1.692962,0.036121,0.010392,9.731226,-0.011002,0.006313,-0.077341
2026_07_06_17_06_47.814,0.260000,0.95141929,0.02588573,-0.30678403,0.00386095,0.81173730,-0.02322943,-0.58356059,-0.00853589,0.99863005,-0.05162533,0.58396041,0.04688741,0.81042695,3.311412,35.703999,-1.639302,0.035605,0.010366,9.736854,-0.008062,0.006563,-0.072489
2026_07_06_17_06_47.834,0.280000,0.95157647,0.02596449,-0.30629420,0.00346029,0.81234378,-0.02249101,-0.58274502,-0.00932008,0.99862772,-0.05153413,0.58310443,0.04729466,0.81101942,3.337674,35.646469,-1.586035,0.034822,0.012117,9.740017,-0.006803,0.008480,-0.069564
2026_07_06_17_06_47.853,0.300000,0.95173150,0.02605608,-0.30580881,0.00306266,0.81294316,-0.02176602,-0.58193612,-0.01010670,0.99862343,-0.05146997,0.58225536,0.04772362,0.81160408,3.365456,35.589458,-1.533804,0.034252,0.014619,9.741235,-0.006520,0.011049,-0.068379
