UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_17_45_40.131,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_45_40.151,0.020000,0.15107320,0.95834172,-0.03774598,0.23944382,0.88248378,-0.14469418,0.44753319,0.00000000,-0.95150435,-0.30763561,0.47034281,0.27148342,-0.83968711,162.095139,-26.587484,-9.312188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_17_45_40.171,0.040000,0.15126362,0.95839578,-0.03751287,0.23914354,0.88280630,-0.14425178,0.44703963,0.00044309,-0.95142424,-0.30788276,0.46973696,0.27199891,-0.83985937,162.066742,-26.555862,-9.280879,0.001429,0.005423,9.751379,-0.021575,-0.018590,0.039804
2026_07_06_17_45_40.187,0.060000,0.15146311,0.95844555,-0.03727758,0.23885436,0.88311797,-0.14381230,0.44656545,0.00089820,-0.95133853,-0.30814609,0.46915019,0.27253047,-0.84001493,162.037033,-26.525492,-9.249886,0.001601,0.013113,9.752493,-0.020863,-0.025652,0.036579
2026_07_06_17_45_40.210,0.080000,0.15167055,0.95849174,-0.03703770,0.23857488,0.88342047,-0.14337021,0.44610906,0.00136890,-0.95124876,-0.30842248,0.46857917,0.27307740,-0.84015644,162.006134,-26.496269,-9.218836,0.005082,0.020862,9.752784,-0.017608,-0.033468,0.035507
2026_07_06_17_45_40.230,0.100000,0.15188408,0.95853442,-0.03679495,0.23830485,0.88371384,-0.14292789,0.44566968,0.00185097,-0.95115495,-0.30870906,0.46802393,0.27363542,-0.84028423,161.974274,-26.468142,-9.187881,0.012012,0.027572,9.753469,-0.011111,-0.040676,0.035944
2026_07_06_17_45_40.249,0.120000,0.15210146,0.95857322,-0.03655339,0.23804709,0.88399488,-0.14249283,0.44525149,0.00233642,-0.95105815,-0.30900362,0.46749076,0.27419791,-0.84039760,161.941879,-26.441378,-9.157527,0.018559,0.032925,9.754017,-0.005014,-0.046567,0.036736
2026_07_06_17_45_40.270,0.140000,0.15232015,0.95860851,-0.03631103,0.23780207,0.88426340,-0.14206022,0.44485641,0.00282798,-0.95096028,-0.30930045,0.46697998,0.27476111,-0.84049761,161.909210,-26.416098,-9.127467,0.023425,0.038211,9.753822,-0.000743,-0.052353,0.037416
2026_07_06_17_45_40.289,0.160000,0.15253857,0.95864177,-0.03606709,0.23756528,0.88452381,-0.14162657,0.44447675,0.00332489,-0.95086253,-0.30959627,0.46648327,0.27532312,-0.84058964,161.876450,-26.391809,-9.097437,0.027535,0.043781,9.753437,0.002779,-0.058350,0.037828
2026_07_06_17_45_40.310,0.180000,0.15275609,0.95867509,-0.03582407,0.23732759,0.88478452,-0.14119375,0.44409540,0.00381919,-0.95076454,-0.30989099,0.46598479,0.27588284,-0.84068251,161.843887,-26.367420,-9.067469,0.031217,0.049220,9.753420,0.006102,-0.064056,0.037771
2026_07_06_17_45_40.330,0.200000,0.15297101,0.95870984,-0.03558233,0.23708491,0.88504928,-0.14076050,0.44370514,0.00430799,-0.95066762,-0.31018171,0.46547741,0.27643755,-0.84078133,161.811752,-26.342464,-9.037446,0.036697,0.054491,9.753950,0.011278,-0.069699,0.038100
2026_07_06_17_45_40.353,0.220000,0.15318237,0.95874554,-0.03534175,0.23683983,0.88531572,-0.14032687,0.44331077,0.00479187,-0.95057225,-0.31046650,0.46496573,0.27698514,-0.84088409,161.780167,-26.317251,-9.007396,0.042511,0.059713,9.754538,0.016783,-0.075319,0.038536
2026_07_06_17_45_40.368,0.240000,0.15338846,0.95878166,-0.03510245,0.23659544,0.88558084,-0.13989317,0.44291812,0.00527085,-0.95047939,-0.31074223,0.46445537,0.27752194,-0.84098899,161.749283,-26.292154,-8.977367,0.046151,0.066095,9.754327,0.020007,-0.081953,0.038311
2026_07_06_17_45_40.388,0.260000,0.15358768,0.95881927,-0.03486418,0.23634917,0.88584709,-0.13945752,0.44252285,0.00574375,-0.95039070,-0.31100589,0.46394166,0.27804542,-0.84109986,161.719391,-26.266893,-8.947216,0.049312,0.071024,9.753214,0.022385,-0.087387,0.039086
2026_07_06_17_45_40.408,0.280000,0.15378730,0.95885617,-0.03462625,0.23610440,0.88611150,-0.13902290,0.44213015,0.00621653,-0.95030093,-0.31127059,0.46343046,0.27856898,-0.84120822,161.689438,-26.241804,-8.917162,0.053206,0.074280,9.753771,0.026185,-0.090863,0.039289
2026_07_06_17_45_40.428,0.300000,0.15399463,0.95888954,-0.03438816,0.23586874,0.88636678,-0.13859393,0.44175294,0.00669615,-0.95020652,-0.31154987,0.46293530,0.27910551,-0.84130347,161.658447,-26.217710,-8.887568,0.056175,0.079356,9.755180,0.029573,-0.095701,0.037804
2026_07_06_17_45_40.448,0.320000,0.15420748,0.95891958,-0.03414855,0.23564205,0.88661343,-0.13816696,0.44139162,0.00718411,-0.95010781,-0.31183884,0.46245548,0.27965149,-0.84138572,161.626633,-26.194633,-8.858197,0.059501,0.086603,9.755787,0.032929,-0.102867,0.036458
2026_07_06_17_45_40.467,0.340000,0.15442014,0.95894724,-0.03390501,0.23542517,0.88685089,-0.13773501,0.44104943,0.00768255,-0.95000958,-0.31212571,0.46199188,0.28019735,-0.84145868,161.594650,-26.172787,-8.828613,0.064432,0.093682,9.755719,0.037404,-0.110280,0.036435
2026_07_06_17_45_40.488,0.360000,0.15462907,0.95897335,-0.03365793,0.23521729,0.88707995,-0.13729697,0.44072524,0.00818873,-0.94991410,-0.31240416,0.46154323,0.28073645,-0.84152544,161.562973,-26.152088,-8.798739,0.068691,0.098646,9.755750,0.041318,-0.115560,0.036695
2026_07_06_17_45_40.507,0.380000,0.15483823,0.95899868,-0.03341153,0.23501131,0.88730669,-0.13686070,0.44040430,0.00869425,-0.94981754,-0.31268352,0.46109784,0.28127515,-0.84158957,161.531296,-26.131603,-8.769010,0.072586,0.101124,9.755792,0.044901,-0.118418,0.037552
2026_07_06_17_45_40.527,0.400000,0.15505444,0.95902282,-0.03316790,0.23480490,0.88753313,-0.13643263,0.44008082,0.00919753,-0.94971621,-0.31297746,0.46065217,0.28182551,-0.84164977,161.498825,-26.110962,-8.739810,0.076471,0.105075,9.755734,0.048444,-0.122701,0.038027
2026_07_06_17_45_40.547,0.420000,0.15527718,0.95904428,-0.03292454,0.23460402,0.88775384,-0.13600948,0.43976644,0.00970512,-0.94960999,-0.31328383,0.46021613,0.28238693,-0.84169996,161.465500,-26.090900,-8.710987,0.080796,0.112353,9.754904,0.052063,-0.130416,0.038292
