UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_16_59_10.084,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_16_59_10.103,0.020000,0.97758842,-0.01358052,-0.21006663,-0.00291822,0.91172701,0.01141126,-0.41063812,0.00000000,0.99961412,0.02777836,0.41079667,-0.02532628,0.91137516,-1.591905,24.246714,0.717134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_16_59_10.123,0.040000,0.97756052,-0.01364035,-0.21018787,-0.00321502,0.91162145,0.01201983,-0.41085503,-0.00055168,0.99960721,0.02802005,0.41103044,-0.02531702,0.91127002,-1.591507,24.260344,0.755463,-0.005927,0.001696,9.735132,-0.032067,0.003266,-0.056630
2026_07_06_16_59_10.143,0.060000,0.97753334,-0.01369883,-0.21030603,-0.00351271,0.91151810,0.01262948,-0.41106609,-0.00110570,0.99959999,0.02825961,0.41125855,-0.02530464,0.91116744,-1.590907,24.273609,0.793866,-0.009028,0.002469,9.736088,-0.034516,0.003971,-0.054455
2026_07_06_16_59_10.162,0.080000,0.97750759,-0.01375436,-0.21041654,-0.00381099,0.91142070,0.01323883,-0.41126269,-0.00166225,0.99959260,0.02849378,0.41147238,-0.02528620,0.91107142,-1.589916,24.285967,0.832252,-0.012051,0.003695,9.737897,-0.036544,0.005104,-0.051519
2026_07_06_16_59_10.183,0.100000,0.97748351,-0.01380734,-0.21051960,-0.00410877,0.91132921,0.01384594,-0.41144541,-0.00221907,0.99958497,0.02872285,0.41167232,-0.02526295,0.91098171,-1.588611,24.297455,0.870499,-0.016481,0.004931,9.740670,-0.039455,0.006199,-0.047126
2026_07_06_16_59_10.205,0.120000,0.97746027,-0.01385750,-0.21061854,-0.00440591,0.91124082,0.01445050,-0.41162041,-0.00277591,0.99957711,0.02894625,0.41186461,-0.02523438,0.91089559,-1.586966,24.308458,0.908590,-0.021923,0.005586,9.742664,-0.043607,0.006714,-0.043041
2026_07_06_16_59_10.221,0.140000,0.97743660,-0.01390707,-0.21071838,-0.00470333,0.91115129,0.01505538,-0.41179687,-0.00333347,0.99956894,0.02916872,0.41205853,-0.02520441,0.91080874,-1.585233,24.319553,0.946708,-0.026438,0.005828,9.744061,-0.047158,0.006838,-0.039893
2026_07_06_16_59_10.242,0.160000,0.97741270,-0.01395545,-0.21081930,-0.00500095,0.91106045,0.01566013,-0.41197532,-0.00389182,0.99956048,0.02938906,0.41225451,-0.02517188,0.91072094,-1.583341,24.330774,0.984827,-0.029689,0.006735,9.744747,-0.049853,0.007658,-0.037890
2026_07_06_16_59_10.261,0.180000,0.97738904,-0.01400017,-0.21091855,-0.00529769,0.91097057,0.01626161,-0.41215062,-0.00445002,0.99955183,0.02960199,0.41244727,-0.02513246,0.91063470,-1.581012,24.341799,1.022746,-0.032847,0.007748,9.746721,-0.051931,0.008550,-0.034749
2026_07_06_16_59_10.281,0.200000,0.97736573,-0.01404192,-0.21101624,-0.00559425,0.91088170,0.01686141,-0.41232297,-0.00500911,0.99954307,0.02980913,0.41263720,-0.02508722,0.91054994,-1.578315,24.352636,1.060564,-0.036019,0.008401,9.747877,-0.054359,0.009098,-0.032359
2026_07_06_16_59_10.301,0.220000,0.97734278,-0.01408122,-0.21111156,-0.00589179,0.91079438,0.01746200,-0.41249079,-0.00557117,0.99953401,0.03001200,0.41282266,-0.02503671,0.91046727,-1.575281,24.363192,1.098437,-0.038107,0.008716,9.747766,-0.056320,0.009354,-0.031578
2026_07_06_16_59_10.321,0.240000,0.97732049,-0.01411912,-0.21120380,-0.00619320,0.91070920,0.01806950,-0.41265273,-0.00614145,0.99952459,0.03021386,0.41300249,-0.02498176,0.91038722,-1.571964,24.373381,1.136747,-0.042292,0.009550,9.748824,-0.059710,0.010059,-0.028850
2026_07_06_16_59_10.341,0.260000,0.97729826,-0.01415728,-0.21129470,-0.00649856,0.91062462,0.01868478,-0.41281188,-0.00671934,0.99951470,0.03041800,0.41317987,-0.02492556,0.91030824,-1.568565,24.383390,1.175553,-0.045819,0.010283,9.750896,-0.062082,0.010646,-0.025473
2026_07_06_16_59_10.360,0.280000,0.97727638,-0.01419428,-0.21138404,-0.00680457,0.91054094,0.01930079,-0.41296810,-0.00729901,0.99950445,0.03062023,0.41335446,-0.02486672,0.91023064,-1.564997,24.393219,1.214409,-0.048131,0.010394,9.751741,-0.063849,0.010660,-0.023733
2026_07_06_16_59_10.380,0.300000,0.97725433,-0.01422912,-0.21147324,-0.00711096,0.91045702,0.01991658,-0.41312394,-0.00788027,0.99949396,0.03081850,0.41352865,-0.02480339,0.91015321,-1.561146,24.403023,1.253259,-0.051360,0.010653,9.752458,-0.066505,0.010804,-0.021725
2026_07_06_16_59_10.400,0.320000,0.97723210,-0.01426315,-0.21156350,-0.00741736,0.91037172,0.02053210,-0.41328168,-0.00846185,0.99948311,0.03101530,0.41370487,-0.02473832,0.91007489,-1.557187,24.412951,1.292098,-0.053866,0.010675,9.752680,-0.068706,0.010734,-0.020473
2026_07_06_16_59_10.419,0.340000,0.97721046,-0.01429813,-0.21164967,-0.00772588,0.91028947,0.02115201,-0.41343161,-0.00904724,0.99947172,0.03121492,0.41387346,-0.02467420,0.90999997,-1.553281,24.422384,1.331216,-0.055252,0.010604,9.752198,-0.070175,0.010609,-0.020327
2026_07_06_16_59_10.440,0.360000,0.97719043,-0.01433379,-0.21172830,-0.00803696,0.91021305,0.02177703,-0.41356733,-0.00963755,0.99945992,0.03141699,0.41402814,-0.02461038,0.90993136,-1.549381,24.430927,1.370652,-0.056975,0.010904,9.754212,-0.070922,0.010785,-0.017759
2026_07_06_16_59_10.459,0.380000,0.97717160,-0.01436793,-0.21180105,-0.00834829,0.91014123,0.02240171,-0.41369203,-0.01022913,0.99944776,0.03161622,0.41417184,-0.02454351,0.90986776,-1.545282,24.438774,1.410065,-0.060382,0.010674,9.755660,-0.073430,0.010404,-0.015027
