UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_15_54_08.630,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_54_08.651,0.020000,0.99676722,0.07814864,0.01859522,-0.00145790,0.99930418,0.00581277,0.03684235,0.00000000,0.98778135,-0.15584624,-0.03729808,0.15573779,0.98709404,8.966537,-2.111545,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_54_08.669,0.040000,0.99677503,0.07805533,0.01854609,-0.00173912,0.99930602,0.00636226,0.03670106,-0.00057178,0.98780870,-0.15567172,-0.03724405,0.15554270,0.98712683,8.955195,-2.103443,0.364806,-0.001176,0.001903,9.804342,-0.001338,0.002548,0.003946
2026_07_06_15_54_08.690,0.060000,0.99678278,0.07796074,0.01849622,-0.00202098,0.99930763,0.00691292,0.03655832,-0.00114500,0.98783606,-0.15549460,-0.03718854,0.15534508,0.98716003,8.943707,-2.095258,0.396378,-0.002103,0.003268,9.803941,-0.002252,0.003826,0.003304
2026_07_06_15_54_08.711,0.080000,0.99679059,0.07786552,0.01844568,-0.00230347,0.99930888,0.00746471,0.03641423,-0.00171958,0.98786330,-0.15531622,-0.03713167,0.15514626,0.98719347,8.932146,-2.086997,0.428016,-0.003024,0.004706,9.803416,-0.003157,0.005156,0.002531
2026_07_06_15_54_08.729,0.100000,0.99679834,0.07776984,0.01839508,-0.00258649,0.99930984,0.00801759,0.03627007,-0.00229526,0.98789030,-0.15513685,-0.03707468,0.15494654,0.98722696,8.920535,-2.078731,0.459715,-0.004157,0.006722,9.802987,-0.004280,0.007070,0.001754
2026_07_06_15_54_08.746,0.120000,0.99680585,0.07767420,0.01834483,-0.00286893,0.99931049,0.00856938,0.03612678,-0.00286970,0.98791695,-0.15495746,-0.03701815,0.15474693,0.98726034,8.908931,-2.070515,0.491352,-0.004938,0.008287,9.802922,-0.005066,0.008597,0.001423
2026_07_06_15_54_08.763,0.140000,0.99681348,0.07757755,0.01829487,-0.00315080,0.99931073,0.00912006,0.03598427,-0.00344298,0.98794359,-0.15477598,-0.03696200,0.15454540,0.98729402,8.897216,-2.062344,0.522925,-0.005461,0.009687,9.802852,-0.005596,0.009961,0.001120
2026_07_06_15_54_08.790,0.160000,0.99682117,0.07747886,0.01824483,-0.00343375,0.99931067,0.00967284,0.03584158,-0.00401848,0.98797047,-0.15459041,-0.03690575,0.15433984,0.98732829,8.885267,-2.054162,0.554619,-0.006279,0.011122,9.802879,-0.006426,0.011371,0.000898
2026_07_06_15_54_08.808,0.180000,0.99682873,0.07737932,0.01819419,-0.00371776,0.99931031,0.01022766,0.03569762,-0.00459624,0.98799723,-0.15440314,-0.03684834,0.15413256,0.98736280,8.873219,-2.045908,0.586429,-0.007052,0.012545,9.803135,-0.007220,0.012805,0.000906
2026_07_06_15_54_08.829,0.200000,0.99683636,0.07727969,0.01814301,-0.00400280,0.99930960,0.01078445,0.03555256,-0.00517610,0.98802364,-0.15421565,-0.03678990,0.15392517,0.98739737,8.861164,-2.037591,0.618352,-0.007915,0.014651,9.803145,-0.008101,0.014874,0.000565
2026_07_06_15_54_08.849,0.220000,0.99684387,0.07718004,0.01809128,-0.00428879,0.99930865,0.01134307,0.03540635,-0.00575793,0.98804969,-0.15402809,-0.03673039,0.15371773,0.98743188,8.849106,-2.029208,0.650380,-0.008475,0.017002,9.802910,-0.008674,0.017150,-0.000045
2026_07_06_15_54_08.868,0.240000,0.99685115,0.07708088,0.01803898,-0.00457514,0.99930733,0.01190240,0.03525905,-0.00634055,0.98807520,-0.15384139,-0.03666968,0.15351127,0.98746628,8.837107,-2.020762,0.682448,-0.008982,0.019033,9.802822,-0.009200,0.019133,-0.000459
2026_07_06_15_54_08.888,0.260000,0.99685836,0.07698163,0.01798668,-0.00486127,0.99930567,0.01246129,0.03511188,-0.00692271,0.98810041,-0.15365444,-0.03660879,0.15330468,0.98750061,8.825099,-2.012325,0.714491,-0.009605,0.020758,9.802997,-0.009851,0.020851,-0.000568
2026_07_06_15_54_08.907,0.280000,0.99686563,0.07688174,0.01793428,-0.00514717,0.99930376,0.01301971,0.03496469,-0.00750444,0.98812538,-0.15346617,-0.03654758,0.15309691,0.98753512,8.813024,-2.003885,0.746507,-0.009786,0.022328,9.802964,-0.010055,0.022390,-0.000841
2026_07_06_15_54_08.928,0.300000,0.99687278,0.07678229,0.01788172,-0.00543181,0.99930149,0.01357565,0.03481748,-0.00808365,0.98814994,-0.15327860,-0.03648574,0.15289007,0.98756945,8.801002,-1.995445,0.778381,-0.010018,0.023516,9.803204,-0.010318,0.023592,-0.000790
2026_07_06_15_54_08.946,0.320000,0.99687970,0.07668450,0.01782958,-0.00571473,0.99929887,0.01412830,0.03467143,-0.00865929,0.98817366,-0.15309425,-0.03642436,0.15268667,0.98760319,8.789181,-1.987071,0.810065,-0.010596,0.025612,9.803185,-0.010926,0.025646,-0.001143
2026_07_06_15_54_08.967,0.340000,0.99688625,0.07658896,0.01777742,-0.00599713,0.99929601,0.01468002,0.03452551,-0.00923380,0.98819631,-0.15291418,-0.03636276,0.15248774,0.98763621,8.777618,-1.978705,0.841697,-0.011382,0.028353,9.803009,-0.011746,0.028310,-0.001758
2026_07_06_15_54_08.987,0.360000,0.99689269,0.07649492,0.01772476,-0.00628014,0.99929279,0.01523296,0.03437857,-0.00980954,0.98821819,-0.15273708,-0.03630016,0.15229183,0.98766869,8.766233,-1.970280,0.873398,-0.011927,0.030683,9.802842,-0.012322,0.030573,-0.002289
2026_07_06_15_54_09.006,0.380000,0.99689901,0.07640121,0.01767166,-0.00656476,0.99928921,0.01578907,0.03423060,-0.01038852,0.98823953,-0.15256061,-0.03623682,0.15209655,0.98770112,8.754884,-1.961797,0.905282,-0.012124,0.032842,9.802589,-0.012550,0.032659,-0.002867
2026_07_06_15_54_09.020,0.400000,0.99690521,0.07630660,0.01761822,-0.00685140,0.99928534,0.01634916,0.03408178,-0.01097162,0.98826075,-0.15238230,-0.03617301,0.15189947,0.98773378,8.743430,-1.953264,0.937393,-0.012522,0.034296,9.802673,-0.012986,0.034095,-0.003013
2026_07_06_15_54_09.046,0.420000,0.99691147,0.07621115,0.01756512,-0.00713991,0.99928099,0.01691304,0.03393346,-0.01155840,0.98828179,-0.15220238,-0.03611002,0.15170072,0.98776662,8.731880,-1.944761,0.969722,-0.013432,0.035662,9.802715,-0.013933,0.035429,-0.003201
2026_07_06_15_54_09.063,0.440000,0.99691761,0.07611559,0.01751230,-0.00742966,0.99927622,0.01747943,0.03378562,-0.01214760,0.98830241,-0.15202215,-0.03604767,0.15150172,0.98779947,8.720317,-1.936284,1.002195,-0.014320,0.037506,9.802459,-0.014854,0.037190,-0.003757
2026_07_06_15_54_09.085,0.460000,0.99692357,0.07601994,0.01745918,-0.00772008,0.99927115,0.01804715,0.03363718,-0.01273816,0.98832273,-0.15184170,-0.03598471,0.15130255,0.98783231,8.708743,-1.927774,1.034743,-0.015232,0.039379,9.801920,-0.015791,0.038935,-0.004595
2026_07_06_15_54_09.105,0.480000,0.99692953,0.07592420,0.01740635,-0.00801109,0.99926567,0.01861610,0.03348933,-0.01332985,0.98834270,-0.15166105,-0.03592227,0.15110327,0.98786509,8.697165,-1.919297,1.067363,-0.016195,0.041090,9.801752,-0.016794,0.040574,-0.005044
2026_07_06_15_54_09.125,0.500000,0.99693525,0.07582844,0.01735375,-0.00830265,0.99925983,0.01918622,0.03334199,-0.01392259,0.98836225,-0.15148024,-0.03586029,0.15090393,0.98789781,8.685583,-1.910850,1.100049,-0.017032,0.042987,9.801675,-0.017678,0.042412,-0.005424
2026_07_06_15_54_09.146,0.520000,0.99694109,0.07573222,0.01730142,-0.00859524,0.99925357,0.01975846,0.03319512,-0.01451736,0.98838151,-0.15129854,-0.03579887,0.15070368,0.98793060,8.673949,-1.902430,1.132858,-0.017693,0.045176,9.801550,-0.018391,0.044535,-0.005892
