UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_21_23_00.000,3.866,34.6,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-41.8,457.8,889.1,-0.5,-0.5,-1.7,25,-41.8,457.8,889.1,-0.5,-0.5,-1.7,
2026_07_06_21_23_00.019,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.7,456.2,889.1,-0.5,-0.6,-1.6,25,-41.7665,457.751,889.1,-0.5,-0.503047,-1.69695,
2026_07_06_21_23_00.039,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40,456,890,-0.5,-0.5,-1.7,25,-41.6802,457.651,889.127,-0.5,-0.505908,-1.69409,
2026_07_06_21_23_00.058,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41,456.4,889.2,-0.4,-0.5,-1.6,25,-41.6083,457.562,889.156,-0.496953,-0.505548,-1.69141,
2026_07_06_21_23_00.078,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.4,455.8,889.5,-0.4,-0.5,-1.7,25,-41.5529,457.473,889.168,-0.491045,-0.50521,-1.68888,
2026_07_06_21_23_00.098,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.2,456.1,889,-0.5,-0.5,-1.7,25,-41.4766,457.38,889.173,-0.488544,-0.504892,-1.68956,
2026_07_06_21_23_00.118,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.4,456.6,890.1,-0.4,-0.5,-1.7,25,-41.4049,457.318,889.196,-0.486195,-0.504594,-1.6902,
2026_07_06_21_23_00.137,3.866,34.5,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.3,455.4,887.8,-0.5,-0.6,-1.7,25,-41.371,457.237,889.181,-0.483989,-0.507361,-1.69079,
2026_07_06_21_23_00.157,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-42.1,455.9,888.4,-0.5,-0.6,-1.6,25,-41.3911,457.141,889.115,-0.484965,-0.513006,-1.68831,
2026_07_06_21_23_00.177,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.8,456.2,888.4,-0.5,-0.5,-1.6,25,-41.3947,457.074,889.072,-0.485881,-0.515261,-1.68293,
2026_07_06_21_23_00.196,3.866,34.5,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.2,456.5,887.8,-0.5,-0.5,-1.7,25,-41.3706,457.03,889.012,-0.486742,-0.514331,-1.68092,
2026_07_06_21_23_00.217,3.866,34.4,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-39.5,455.8,889.8,-0.7,-0.5,-1.6,25,-41.3084,456.976,888.999,-0.493643,-0.513457,-1.67904,
2026_07_06_21_23_00.236,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.6,456.5,888.6,-0.6,-0.5,-1.7,25,-41.2622,456.926,889.012,-0.503171,-0.512637,-1.67727,
2026_07_06_21_23_00.261,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41,455.9,887.9,-0.5,-0.5,-1.7,25,-41.2645,456.882,888.965,-0.506025,-0.511867,-1.67865,
2026_07_06_21_23_00.276,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.6,457.1,888.1,-0.5,-0.5,-1.7,25,-41.2362,456.858,888.906,-0.505658,-0.511144,-1.67995,
2026_07_06_21_23_00.295,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.4,457.1,888.5,-0.5,-0.6,-1.6,25,-41.1914,456.873,888.869,-0.505313,-0.513512,-1.67813,
2026_07_06_21_23_00.316,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.2,456.2,888.3,-0.5,-0.5,-1.7,25,-41.137,456.86,888.841,-0.504989,-0.515735,-1.67641,
2026_07_06_21_23_00.335,3.866,34.4,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.3,456.4,887.6,-0.5,-0.5,-1.7,25,-41.1135,456.825,888.787,-0.504685,-0.514777,-1.67785,
2026_07_06_21_23_00.356,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.6,456.7,889.5,-0.5,-0.5,-1.6,25,-41.1035,456.809,888.772,-0.5044,-0.513876,-1.67615,
2026_07_06_21_23_00.375,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-43,456.7,888.6,-0.4,-0.5,-1.7,25,-41.1459,456.802,888.789,-0.501085,-0.513031,-1.67456,
2026_07_06_21_23_00.398,3.866,34.4,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.7,456.4,889.1,-0.5,-0.5,-1.6,25,-41.2193,456.787,888.793,-0.497972,-0.512236,-1.67306,
2026_07_06_21_23_00.415,3.866,34.5,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.7,456.6,889.5,-0.4,-0.5,-1.6,25,-41.2486,456.769,888.824,-0.495048,-0.511491,-1.66861,
2026_07_06_21_23_00.435,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.5,456,889.4,-0.4,-0.6,-1.7,25,-41.2395,456.741,888.862,-0.489256,-0.513837,-1.66748,
2026_07_06_21_23_00.455,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.2,455.3,888.5,-0.5,-0.5,-1.6,25,-41.2158,456.674,888.867,-0.486864,-0.516041,-1.66641,
2026_07_06_21_23_00.475,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.5,456.7,889.6,-0.5,-0.5,-1.7,25,-41.1935,456.633,888.878,-0.487665,-0.515064,-1.66541,
2026_07_06_21_23_00.494,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.5,457,888.1,-0.5,-0.4,-1.6,25,-41.1817,456.646,888.877,-0.488416,-0.511099,-1.66447,
2026_07_06_21_23_00.514,3.866,34.4,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.2,457.5,888.7,-0.5,-0.5,-1.6,25,-41.1615,456.683,888.848,-0.489122,-0.507376,-1.66054,
2026_07_06_21_23_00.537,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.6,457.6,887.4,-0.6,-0.6,-1.7,25,-41.1151,456.736,888.799,-0.492832,-0.509973,-1.6599,
2026_07_06_21_23_00.553,3.866,34.6,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.7,458,889.2,-0.4,-0.5,-1.7,25,-41.1172,456.801,888.769,-0.493269,-0.512412,-1.66234,
2026_07_06_21_23_00.573,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-41,456.4,888,-0.4,-0.5,-1.7,25,-41.1314,456.825,888.758,-0.487585,-0.511656,-1.66464,
2026_07_06_21_23_00.592,3.866,34.4,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-39.5,457.6,889,-0.5,-0.5,-1.6,25,-41.0777,456.836,888.743,-0.485295,-0.510946,-1.66375,
2026_07_06_21_23_00.613,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.5,456.7,887.9,-0.4,-0.5,-1.8,25,-41.012,456.855,888.725,-0.483144,-0.510279,-1.66596,
2026_07_06_21_23_00.633,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.3,457.1,888.9,-0.3,-0.5,-1.7,25,-41.0052,456.858,888.705,-0.475031,-0.509652,-1.67108,
2026_07_06_21_23_00.652,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40.7,455.3,888.4,-0.4,-0.5,-1.7,25,-41.0049,456.818,888.702,-0.467412,-0.509064,-1.67284,
2026_07_06_21_23_00.677,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.1,456.5,889.8,-0.4,-0.5,-1.7,25,-40.9985,456.762,888.726,-0.463304,-0.508512,-1.6745,
2026_07_06_21_23_00.692,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.2,455.2,888.5,-0.4,-0.5,-1.7,25,-40.9773,456.706,888.752,-0.459446,-0.507993,-1.67605,
2026_07_06_21_23_00.711,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.7,455.6,889,-0.5,-0.5,-1.7,25,-40.9756,456.627,888.752,-0.458871,-0.507506,-1.67751,
2026_07_06_21_23_00.731,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.6,454.5,889.1,-0.6,-0.5,-1.6,25,-41.0167,456.53,888.77,-0.464424,-0.507049,-1.67583,
2026_07_06_21_23_00.751,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41,456,890.8,-0.5,-0.6,-1.6,25,-41.034,456.452,888.842,-0.469639,-0.509666,-1.67121,
2026_07_06_21_23_00.772,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.7,456.1,888.4,-0.5,-0.5,-1.6,25,-41.0532,456.428,888.888,-0.471489,-0.512124,-1.66687,
2026_07_06_21_23_00.791,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-41.6,455.2,888.3,-0.5,-0.5,-1.7,25,-41.0896,456.38,888.855,-0.473226,-0.511385,-1.66584,
2026_07_06_21_23_00.810,3.866,34.5,0,0.764,0,0,0,0, ,0,0,0,0,0, ,-40.5,455.2,889.4,-0.7,-0.5,-1.7,25,-41.0872,456.309,888.855,-0.480951,-0.510691,-1.66793,
2026_07_06_21_23_00.831,3.866,34.5,0,0.763,0,0,0,0, ,0,0,0,0,0, ,-40,456.4,887.9,-0.5,-0.5,-1.7,25,-41.0362,456.278,888.842,-0.488206,-0.51004,-1.66988,
2026_07_06_21_23_00.851,3.866,34.5,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41,456.2,888.9,-0.5,-0.5,-1.6,25,-41.0035,456.279,888.815,-0.488925,-0.509428,-1.66867,
