UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_15_53_15.673,3.859,39.4,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-41,180.6,982.7,-0.5,-0.4,-1.8,25,-41,180.6,982.7,-0.5,-0.4,-1.8,
2026_07_06_15_53_15.692,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-39.3,179.9,982.1,-0.6,-0.4,-1.8,25,-40.9482,180.579,982.682,-0.503047,-0.4,-1.8,
2026_07_06_15_53_15.712,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40.1,180.4,982.4,-0.5,-0.5,-1.9,25,-40.8721,180.553,982.655,-0.505908,-0.403047,-1.80305,
2026_07_06_15_53_15.732,3.859,39.4,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-41.2,180.2,982.6,-0.7,-0.5,-1.8,25,-40.8586,180.537,982.646,-0.511642,-0.408955,-1.80591,
2026_07_06_15_53_15.752,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-39.5,179.4,983.1,-0.7,-0.5,-1.8,25,-40.8276,180.492,982.658,-0.52312,-0.414503,-1.80555,
2026_07_06_15_53_15.771,3.859,39.2,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-39.5,179.8,984.1,-0.7,-0.5,-1.8,25,-40.7467,180.438,982.716,-0.533899,-0.419713,-1.80521,
2026_07_06_15_53_15.791,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40.4,179,983.3,-0.7,-0.4,-1.9,25,-40.6982,180.375,982.776,-0.54402,-0.421559,-1.80794,
2026_07_06_15_53_15.811,3.859,39.2,0,0.767,0,0,0,0, ,0,0,0,0,0, ,-38.9,179.9,982.2,-0.7,-0.5,-1.8,25,-40.6343,180.318,982.774,-0.553525,-0.423292,-1.8105,
2026_07_06_15_53_15.830,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40,178.7,982.7,-0.7,-0.5,-1.8,25,-40.5621,180.256,982.754,-0.562451,-0.427966,-1.80986,
2026_07_06_15_53_15.850,3.859,39.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-39.1,179.8,983,-0.7,-0.5,-1.8,25,-40.5004,180.195,982.76,-0.570833,-0.432356,-1.80926,
2026_07_06_15_53_15.871,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40.4,178.9,984.3,-0.7,-0.4,-1.8,25,-40.4547,180.143,982.814,-0.578704,-0.433431,-1.8087,
2026_07_06_15_53_15.890,3.859,39.3,0,0.767,0,0,0,0, ,0,0,0,0,0, ,-40.4,181,984.3,-0.8,-0.5,-1.8,25,-40.4514,180.132,982.905,-0.589142,-0.434441,-1.80817,
2026_07_06_15_53_15.910,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40.1,181.1,983.7,-0.7,-0.4,-1.8,25,-40.4391,180.188,982.972,-0.598945,-0.435389,-1.80767,
2026_07_06_15_53_15.930,3.859,39.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-40.4,180.7,982.6,-0.7,-0.5,-1.7,25,-40.4276,180.231,982.983,-0.605103,-0.436279,-1.80416,
2026_07_06_15_53_15.949,3.859,39.2,0,0.767,0,0,0,0, ,0,0,0,0,0, ,-39.7,180.4,982.9,-0.8,-0.5,-1.8,25,-40.4046,180.25,982.968,-0.613932,-0.440162,-1.80086,
2026_07_06_15_53_15.969,3.859,39.2,0,0.767,0,0,0,0, ,0,0,0,0,0, ,-40,181.6,982.6,-0.7,-0.5,-1.9,25,-40.3708,180.296,982.955,-0.622224,-0.443808,-1.80385,
2026_07_06_15_53_15.995,3.859,39.3,0,0.766,0,0,0,0, ,0,0,0,0,0, ,-40.2,180.2,982.5,-0.8,-0.5,-1.9,25,-40.3543,180.333,982.93,-0.63001,-0.447233,-1.80971,
2026_07_06_15_53_16.009,3.859,39.3,0,0.765,0,0,0,0, ,0,0,0,0,0, ,-40.2,181.6,984.8,-0.7,-0.5,-1.8,25,-40.3449,180.367,982.974,-0.637322,-0.450448,-1.81216,
