UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_06_15_19_51_02.367,0.000000,0.98505235,0.17109774,0.01964164,-0.00341164,0.99920511,0.01344256,0.03752863,0.00000000,0.94142783,-0.33721447,-0.03986353,0.33694643,0.94067955,19.708706,-2.150896,0.770825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_15_19_51_02.395,0.020000,0.98505235,0.17109774,0.01964164,-0.00341164,0.99920511,0.01344256,0.03752863,0.00000000,0.94142783,-0.33721447,-0.03986353,0.33694643,0.94067955,19.708706,-2.150896,0.770825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_15_19_51_02.411,0.040000,0.98507065,0.17098965,0.01961831,-0.00368091,0.99920315,0.01396097,0.03739205,-0.00054286,0.94149798,-0.33701819,-0.03990963,0.33672935,0.94075531,19.695522,-2.143064,0.800550,0.000376,0.002099,9.833720,-0.000972,0.013335,0.031029
2026_06_15_19_51_02.428,0.060000,0.98508888,0.17088155,0.01959548,-0.00395049,0.99920082,0.01448018,0.03725645,-0.00108615,0.94156778,-0.33682185,-0.03995671,0.33651221,0.94083101,19.682335,-2.135289,0.830320,0.000760,0.004255,9.833766,-0.000594,0.015380,0.030363
2026_06_15_19_51_02.444,0.080000,0.98510665,0.17077464,0.01957317,-0.00422037,0.99919814,0.01500024,0.03712187,-0.00162983,0.94163644,-0.33662769,-0.04000479,0.33629724,0.94090581,19.669283,-2.127572,0.860139,0.000924,0.006771,9.833828,-0.000441,0.017766,0.029584
2026_06_15_19_51_02.468,0.100000,0.98512417,0.17066929,0.01955145,-0.00449057,0.99919516,0.01552121,0.03698840,-0.00217388,0.94170368,-0.33643648,-0.04005401,0.33608529,0.94097948,19.656416,-2.119919,0.890010,0.000741,0.009037,9.834112,-0.000646,0.019987,0.029086
2026_06_15_19_51_02.494,0.120000,0.98514152,0.17056434,0.01953076,-0.00476096,0.99919176,0.01604293,0.03685702,-0.00271793,0.94177026,-0.33624598,-0.04010522,0.33587405,0.94105273,19.643595,-2.112386,0.919925,0.000705,0.011115,9.834249,-0.000700,0.021982,0.028519
2026_06_15_19_51_02.511,0.140000,0.98515868,0.17045999,0.01951047,-0.00503209,0.99918807,0.01656633,0.03672628,-0.00326331,0.94183612,-0.33605665,-0.04015736,0.33566391,0.94112545,19.630844,-2.104889,0.949935,0.001170,0.013320,9.833804,-0.000232,0.023912,0.027380
2026_06_15_19_51_02.528,0.160000,0.98517543,0.17035681,0.01949003,-0.00530404,0.99918401,0.01709134,0.03659505,-0.00381030,0.94190085,-0.33586943,-0.04020936,0.33545595,0.94119740,19.618225,-2.097364,0.980038,0.001588,0.015886,9.833556,0.000176,0.026246,0.026305
2026_06_15_19_51_02.545,0.180000,0.98519206,0.17025398,0.01946942,-0.00557673,0.99917966,0.01761780,0.03646332,-0.00435881,0.94196498,-0.33568287,-0.04026116,0.33524859,0.94126904,19.605644,-2.089811,1.010224,0.002183,0.018123,9.833876,0.000739,0.028467,0.025883
2026_06_15_19_51_02.568,0.200000,0.98520863,0.17015158,0.01944907,-0.00584951,0.99917501,0.01814456,0.03633218,-0.00490740,0.94202846,-0.33549714,-0.04031339,0.33504206,0.94134033,19.593115,-2.082292,1.040427,0.002773,0.020294,9.833968,0.001302,0.030549,0.025268
2026_06_15_19_51_02.593,0.220000,0.98522508,0.17004916,0.01942969,-0.00612280,0.99917001,0.01867269,0.03620288,-0.00545668,0.94209158,-0.33531132,-0.04036759,0.33483544,0.94141155,19.580584,-2.074878,1.070709,0.002895,0.022479,9.833857,0.001403,0.032568,0.024439
2026_06_15_19_51_02.611,0.240000,0.98524135,0.16994660,0.01941076,-0.00639720,0.99916458,0.01920315,0.03607421,-0.00600798,0.94215447,-0.33512518,-0.04042294,0.33462849,0.94148278,19.568033,-2.067501,1.101125,0.003121,0.024388,9.833902,0.001602,0.034382,0.023858
2026_06_15_19_51_02.627,0.260000,0.98525751,0.16984473,0.01939157,-0.00667170,0.99915892,0.01973379,0.03594508,-0.00655956,0.94221652,-0.33494034,-0.04047769,0.33442286,0.94155347,19.555563,-2.060097,1.131551,0.003351,0.026214,9.834360,0.001786,0.036256,0.023691
2026_06_15_19_51_02.644,0.280000,0.98527366,0.16974235,0.01937212,-0.00694627,0.99915296,0.02026449,0.03581552,-0.00711141,0.94227856,-0.33475444,-0.04053183,0.33421621,0.94162452,19.543032,-2.052668,1.161980,0.003755,0.028092,9.834982,0.002134,0.038238,0.023669
2026_06_15_19_51_02.668,0.300000,0.98528963,0.16963999,0.01935239,-0.00722140,0.99914670,0.02079623,0.03568533,-0.00766447,0.94234025,-0.33456856,-0.04058549,0.33400953,0.94169551,19.530500,-2.045204,1.192469,0.004376,0.030187,9.834804,0.002728,0.040163,0.022831
2026_06_15_19_51_02.678,0.320000,0.98530531,0.16953947,0.01933253,-0.00749712,0.99914008,0.02132916,0.03555478,-0.00821865,0.94240034,-0.33438617,-0.04063901,0.33380640,0.94176525,19.518185,-2.037719,1.223027,0.004296,0.032155,9.834408,0.002630,0.041880,0.021804
2026_06_15_19_51_02.711,0.340000,0.98532081,0.16943930,0.01931324,-0.00777381,0.99913311,0.02186424,0.03542509,-0.00877455,0.94245976,-0.33420444,-0.04069385,0.33360386,0.94183463,19.505909,-2.030282,1.253708,0.004204,0.034389,9.834543,0.002493,0.044026,0.021190
2026_06_15_19_51_02.728,0.360000,0.98533601,0.16933967,0.01929424,-0.00805086,0.99912584,0.02240016,0.03529596,-0.00933105,0.94251853,-0.33402362,-0.04074927,0.33340231,0.94190359,19.493692,-2.022878,1.284437,0.004569,0.036520,9.834435,0.002821,0.046004,0.020396
2026_06_15_19_51_02.744,0.380000,0.98535103,0.16924140,0.01927538,-0.00832775,0.99911821,0.02293589,0.03516723,-0.00988712,0.94257599,-0.33384541,-0.04080483,0.33320335,0.94197160,19.481634,-2.015498,1.315156,0.005127,0.037908,9.834452,0.003342,0.047328,0.019978
2026_06_15_19_51_02.768,0.400000,0.98536575,0.16914356,0.01925675,-0.00860500,0.99911028,0.02347245,0.03503891,-0.01044383,0.94263279,-0.33366793,-0.04086084,0.33300513,0.94203925,19.469625,-2.008141,1.345921,0.005798,0.039397,9.834805,0.003959,0.048863,0.019846
2026_06_15_19_51_02.778,0.420000,0.98538035,0.16904655,0.01923782,-0.00888267,0.99910200,0.02400980,0.03490996,-0.01100145,0.94268870,-0.33349207,-0.04091631,0.33280852,0.94210637,19.457712,-2.000747,1.376733,0.006173,0.040875,9.834696,0.004298,0.050228,0.019270
2026_06_15_19_51_02.811,0.440000,0.98539454,0.16895069,0.01921851,-0.00916022,0.99909347,0.02454681,0.03478037,-0.01155889,0.94274348,-0.33331826,-0.04097087,0.33261409,0.94217265,19.445932,-1.993317,1.407525,0.006392,0.042448,9.834276,0.004491,0.051575,0.018367
2026_06_15_19_51_02.827,0.460000,0.98540866,0.16885541,0.01919884,-0.00943764,0.99908465,0.02508352,0.03465021,-0.01211621,0.94279754,-0.33314556,-0.04102460,0.33242077,0.94223851,19.434219,-1.985855,1.438300,0.006921,0.044201,9.834469,0.004965,0.053305,0.017993
2026_06_15_19_51_02.844,0.480000,0.98542267,0.16876051,0.01917888,-0.00971548,0.99907553,0.02562098,0.03451943,-0.01267443,0.94285101,-0.33297354,-0.04107779,0.33222818,0.94230413,19.422552,-1.978356,1.469119,0.007759,0.046104,9.834848,0.005736,0.055246,0.017753
2026_06_15_19_51_02.868,0.500000,0.98543644,0.16866580,0.01915868,-0.00999369,0.99906611,0.02615912,0.03438814,-0.01323347,0.94290394,-0.33280176,-0.04113051,0.33203590,0.94236958,19.410904,-1.970829,1.499976,0.008171,0.047814,9.834800,0.006099,0.056852,0.017162
2026_06_15_19_51_02.877,0.520000,0.98545015,0.16857153,0.01913828,-0.01027225,0.99905640,0.02669792,0.03425642,-0.01379324,0.94295621,-0.33263087,-0.04118285,0.33184451,0.94243473,19.399311,-1.963277,1.530871,0.008375,0.049593,9.834593,0.006258,0.058467,0.016391
2026_06_15_19_51_02.911,0.540000,0.98546362,0.16847746,0.01911762,-0.01055111,0.99904639,0.02723724,0.03412418,-0.01435369,0.94300807,-0.33246025,-0.04123468,0.33165339,0.94249976,19.387733,-1.955695,1.561797,0.008684,0.051600,9.834218,0.006524,0.060244,0.015391
2026_06_15_19_51_02.928,0.560000,0.98547709,0.16838345,0.01909746,-0.01083073,0.99903595,0.02777825,0.03399278,-0.01491547,0.94305944,-0.33228976,-0.04128765,0.33146238,0.94256461,19.376167,-1.948162,1.592820,0.008894,0.053539,9.834417,0.006666,0.062145,0.014953
2026_06_15_19_51_02.944,0.580000,0.98549032,0.16828956,0.01907784,-0.01111109,0.99902517,0.02832095,0.03386230,-0.01547854,0.94311035,-0.33211941,-0.04134183,0.33127153,0.94262934,19.364611,-1.940681,1.623939,0.009006,0.055455,9.834950,0.006694,0.064133,0.014832
2026_06_15_19_51_02.968,0.600000,0.98550338,0.16819674,0.01905791,-0.01139167,0.99901408,0.02886402,0.03373120,-0.01604210,0.94316018,-0.33195108,-0.04139536,0.33108270,0.94269329,19.353178,-1.933164,1.655080,0.009472,0.057341,9.834735,0.007104,0.065855,0.014030
2026_06_15_19_51_02.978,0.620000,0.98551619,0.16810513,0.01903702,-0.01167251,0.99900270,0.02940733,0.03359817,-0.01660645,0.94320881,-0.33178505,-0.04144701,0.33089623,0.94275653,19.341885,-1.925537,1.686235,0.010310,0.059144,9.834403,0.007892,0.067472,0.013156
2026_06_15_19_51_02.994,0.640000,0.98552877,0.16801369,0.01901529,-0.01195357,0.99899107,0.02995084,0.03346351,-0.01717152,0.94325703,-0.33161926,-0.04149696,0.33071005,0.94281965,19.330612,-1.917817,1.717402,0.010782,0.060730,9.834023,0.008316,0.068859,0.012300
2026_06_15_19_51_03.027,0.660000,0.98554128,0.16792272,0.01899320,-0.01223474,0.99897915,0.03049446,0.03332817,-0.01773691,0.94330454,-0.33145431,-0.04154614,0.33052477,0.94288242,19.319393,-1.910058,1.748575,0.011456,0.062241,9.833535,0.008947,0.070146,0.011372
