UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_21_19_03.722,3.868,29.1,0,0.757,3.809,5.031,18.2,0.95, ,0,0,0,0,0, ,-42.1,511.9,858.5,-0.4,-0.4,-1.5,25,-42.1,511.9,858.5,-0.4,-0.4,-1.5,
2026_07_06_21_19_03.740,3.857,29.1,0,0.761,3.88,5.098,18.79,0.95, ,0,0,0,0,0, ,-42.1,512,860.1,-0.4,-0.4,-1.6,25,-42.1,511.903,858.549,-0.4,-0.4,-1.50305,
2026_07_06_21_19_03.761,3.857,29.2,0,0.764,0,0,0,0.007, ,0,0,0,0,0, ,-41.6,512.2,860.4,-0.4,-0.3,-1.7,25,-42.0848,511.915,858.652,-0.4,-0.396953,-1.512,
2026_07_06_21_19_03.780,3.857,29.3,0,0.762,0,0,0,0.006, ,0,0,0,0,0, ,-40.8,513.4,859.3,-0.3,-0.4,-1.6,25,-42.0308,511.969,858.725,-0.396953,-0.394092,-1.52041,
2026_07_06_21_19_03.800,3.857,29.5,0,0.759,0,0,0,0.005, ,0,0,0,0,0, ,-42.2,511.2,860.4,-0.3,-0.4,-1.6,25,-41.9985,511.989,858.794,-0.391045,-0.394452,-1.52526,
2026_07_06_21_19_03.820,3.857,29.6,0,0.76,0,0,0,0.004, ,0,0,0,0,0, ,-41.8,510.6,858.6,-0.4,-0.4,-1.6,25,-41.9986,511.923,858.837,-0.388544,-0.39479,-1.52982,
2026_07_06_21_19_03.840,3.857,29.7,0,0.76,0,0,0,0.003, ,0,0,0,0,0, ,-41.7,511.7,858.8,-0.3,-0.4,-1.6,25,-41.9834,511.876,858.829,-0.386195,-0.395108,-1.53409,
2026_07_06_21_19_03.860,3.857,29.7,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-42.8,511.7,858.7,-0.2,-0.3,-1.6,25,-41.9997,511.865,858.824,-0.377896,-0.392359,-1.53811,
2026_07_06_21_19_03.879,3.857,29.7,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-43.4,510.3,858.1,-0.3,-0.4,-1.6,25,-42.0667,511.812,858.798,-0.370102,-0.389778,-1.54188,
2026_07_06_21_19_03.899,3.857,29.8,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-41.8,511.4,858.8,-0.2,-0.4,-1.5,25,-42.0992,511.754,858.777,-0.362783,-0.3904,-1.54237,
2026_07_06_21_19_03.920,3.857,29.8,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-41.2,512,858,-0.3,-0.4,-1.6,25,-42.0627,511.75,858.754,-0.355911,-0.390985,-1.54284,
2026_07_06_21_19_03.939,3.857,29.9,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-42.1,512,858.6,-0.4,-0.3,-1.6,25,-42.0376,511.766,858.726,-0.35555,-0.388488,-1.54632,
2026_07_06_21_19_03.959,3.857,29.9,0,0.76,0,0,0,0.001, ,0,0,0,0,0, ,-41.1,513,859.7,-0.4,-0.3,-1.6,25,-42.0109,511.81,858.752,-0.358259,-0.383096,-1.54959,
2026_07_06_21_19_03.979,3.857,29.8,0,0.76,0,0,0,0.001, ,0,0,0,0,0, ,-41.6,512.6,860.9,-0.3,-0.3,-1.6,25,-41.9706,511.871,858.846,-0.357756,-0.378032,-1.55267,
2026_07_06_21_19_03.999,3.857,29.9,0,0.76,0,0,0,0.002, ,0,0,0,0,0, ,-40.7,512,860.2,-0.3,-0.4,-1.6,25,-41.9206,511.897,858.95,-0.354236,-0.376324,-1.55555,
2026_07_06_21_19_04.018,3.857,30,0,0.759,0,0,0,0.001, ,0,0,0,0,0, ,-41.8,512,859.6,-0.3,-0.4,-1.7,25,-41.8798,511.903,859.008,-0.350931,-0.377767,-1.56131,
2026_07_06_21_19_04.038,3.857,29.9,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.9,511.9,857.9,-0.3,-0.4,-1.6,25,-41.8779,511.906,858.992,-0.347828,-0.379121,-1.56671,
2026_07_06_21_19_04.058,3.857,30,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.5,511.3,858.8,-0.3,-0.4,-1.6,25,-41.8671,511.887,858.953,-0.344913,-0.380394,-1.56874,
2026_07_06_21_19_04.078,3.857,30.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.2,510.7,858.8,-0.2,-0.4,-1.6,25,-41.8356,511.833,858.944,-0.339129,-0.381588,-1.57064,
2026_07_06_21_19_04.101,3.857,30,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.3,510.8,858.6,-0.2,-0.4,-1.6,25,-41.8304,511.767,858.929,-0.330651,-0.38271,-1.57243,
2026_07_06_21_19_04.118,3.857,30,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-42.6,513,857.5,-0.3,-0.4,-1.5,25,-41.8681,511.775,858.875,-0.325737,-0.383764,-1.57107,
2026_07_06_21_19_04.137,3.857,30,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-41.8,510.8,859.3,-0.3,-0.4,-1.7,25,-41.8884,511.783,858.846,-0.324168,-0.384753,-1.57283,
2026_07_06_21_19_04.157,3.857,30,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.7,510.4,858.7,-0.3,-0.4,-1.6,25,-41.8799,511.711,858.856,-0.322695,-0.385682,-1.57753,
2026_07_06_21_19_04.177,3.857,30.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.6,510.9,859.3,-0.3,-0.4,-1.6,25,-41.8659,511.646,858.865,-0.321312,-0.386555,-1.5789,
2026_07_06_21_19_04.196,3.857,30.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.2,511.4,859.1,-0.4,-0.4,-1.6,25,-41.8375,511.616,858.885,-0.323061,-0.387374,-1.58019,
2026_07_06_21_19_04.217,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.4,512.2,858.6,-0.4,-0.4,-1.6,25,-41.8352,511.627,858.883,-0.327749,-0.388144,-1.58139,
2026_07_06_21_19_04.236,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-40.5,512.5,859.7,-0.4,-0.4,-1.6,25,-41.8118,511.671,858.899,-0.332152,-0.388866,-1.58253,
2026_07_06_21_19_04.256,3.857,30.1,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-41,512.5,860.1,-0.4,-0.4,-1.6,25,-41.7471,511.722,858.96,-0.336286,-0.389545,-1.58359,
2026_07_06_21_19_04.275,3.857,30.2,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-40.8,511.8,859.7,-0.4,-0.4,-1.6,25,-41.6954,511.748,859.017,-0.340169,-0.390182,-1.58459,
2026_07_06_21_19_04.296,3.857,30.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-42.1,512.4,860.3,-0.3,-0.5,-1.6,25,-41.6805,511.769,859.077,-0.340768,-0.393827,-1.58553,
2026_07_06_21_19_04.315,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.8,512.4,859.7,-0.4,-0.4,-1.6,25,-41.6969,511.808,859.134,-0.341331,-0.39725,-1.58641,
2026_07_06_21_19_04.335,3.857,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.2,511.8,857.6,-0.3,-0.4,-1.6,25,-41.6849,511.826,859.104,-0.341859,-0.397418,-1.58724,
2026_07_06_21_19_04.354,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.9,513.4,858.3,-0.3,-0.4,-1.6,25,-41.6767,511.873,859.034,-0.339308,-0.397575,-1.58802,
2026_07_06_21_19_04.374,3.857,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-41.9,511.8,859.9,-0.2,-0.4,-1.6,25,-41.6903,511.917,859.038,-0.333866,-0.397723,-1.58875,
2026_07_06_21_19_04.398,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.3,511.9,859.2,-0.2,-0.4,-1.6,25,-41.6848,511.913,859.069,-0.325708,-0.397861,-1.58943,
2026_07_06_21_19_04.415,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-40.7,511.8,859.2,-0.3,-0.5,-1.6,25,-41.6431,511.909,859.077,-0.321095,-0.401039,-1.59008,
2026_07_06_21_19_04.434,3.857,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-42.6,510.7,858.1,-0.2,-0.5,-1.6,25,-41.6435,511.869,859.051,-0.316763,-0.407069,-1.59068,
2026_07_06_21_19_04.454,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.5,512.5,859.1,-0.3,-0.4,-1.6,25,-41.6683,511.853,859.023,-0.312694,-0.409685,-1.59125,
2026_07_06_21_19_04.474,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.1,511.1,860.2,-0.3,-0.4,-1.7,25,-41.6458,511.849,859.062,-0.311921,-0.409095,-1.59483,
2026_07_06_21_19_04.493,3.857,30.3,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.3,509.8,858.3,-0.4,-0.4,-1.6,25,-41.6187,511.764,859.073,-0.314241,-0.408541,-1.59819,
2026_07_06_21_19_04.513,3.857,30.3,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-43.3,511.2,859.6,-0.4,-0.3,-1.6,25,-41.6602,511.687,859.066,-0.319467,-0.404973,-1.5983,
2026_07_06_21_19_04.533,3.857,30.3,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-42.1,513,859.9,-0.4,-0.4,-1.6,25,-41.7235,511.712,859.107,-0.324375,-0.401624,-1.59841,
2026_07_06_21_19_04.553,3.857,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.8,510.8,859.6,-0.4,-0.5,-1.5,25,-41.7373,511.724,859.146,-0.328983,-0.404571,-1.59546,
2026_07_06_21_19_04.573,3.857,30.3,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-39.6,512.6,860.1,-0.4,-0.5,-1.6,25,-41.6741,511.722,859.189,-0.333311,-0.410387,-1.59269,
2026_07_06_21_19_04.593,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.2,512.6,857.4,-0.5,-0.4,-1.6,25,-41.6269,511.776,859.163,-0.340421,-0.412801,-1.59313,
2026_07_06_21_19_04.612,3.857,30.4,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-40.8,512,857.9,-0.3,-0.4,-1.5,25,-41.6192,511.808,859.07,-0.344052,-0.412021,-1.5905,
2026_07_06_21_19_04.632,3.857,30.4,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-41.1,512.3,858.2,-0.3,-0.4,-1.6,25,-41.5784,511.829,859.008,-0.341368,-0.411288,-1.58804,
2026_07_06_21_19_04.651,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.7,511.9,858.7,-0.3,-0.4,-1.6,25,-41.598,511.845,858.974,-0.338847,-0.4106,-1.58876,
2026_07_06_21_19_04.672,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.8,511.9,858.6,-0.3,-0.4,-1.6,25,-41.6378,511.848,858.954,-0.336479,-0.409954,-1.58945,
2026_07_06_21_19_04.692,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.2,510.7,859.2,-0.4,-0.4,-1.6,25,-41.6598,511.815,858.951,-0.337303,-0.409348,-1.59009,
2026_07_06_21_19_04.711,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.8,510.7,859.3,-0.5,-0.4,-1.6,25,-41.6806,511.747,858.969,-0.344171,-0.408778,-1.5907,
2026_07_06_21_19_04.731,3.857,30.3,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.6,512.2,859.4,-0.4,-0.3,-1.5,25,-41.6817,511.729,858.993,-0.35062,-0.405196,-1.58822,
2026_07_06_21_19_04.751,3.857,30.4,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.7,511.7,858,-0.3,-0.4,-1.7,25,-41.7103,511.742,858.975,-0.350582,-0.401833,-1.58893,
2026_07_06_21_19_04.770,3.857,30.4,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.5,511.4,858.5,-0.4,-0.4,-1.5,25,-41.734,511.731,858.931,-0.350547,-0.401721,-1.58961,
2026_07_06_21_19_04.792,3.857,30.3,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-42.4,512.4,859.1,-0.4,-0.4,-1.7,25,-41.7472,511.741,858.923,-0.35356,-0.401616,-1.59024,
2026_07_06_21_19_04.810,3.857,30.3,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-41.7,511.5,859.1,-0.2,-0.4,-1.6,25,-41.7656,511.754,858.933,-0.350296,-0.401518,-1.59388,
2026_07_06_21_19_04.830,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.5,511.9,860.5,-0.3,-0.4,-1.6,25,-41.7555,511.75,858.986,-0.344184,-0.401425,-1.59426,
2026_07_06_21_19_04.856,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-40.1,512.3,858,-0.2,-0.4,-1.7,25,-41.6973,511.772,859.002,-0.338445,-0.401338,-1.59765,
2026_07_06_21_19_04.870,3.857,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-41.7,510,859.1,-0.2,-0.4,-1.6,25,-41.6487,511.734,858.975,-0.330009,-0.401257,-1.60084,
2026_07_06_21_19_04.889,3.857,30.4,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-41.1,511.3,859.2,-0.3,-0.3,-1.7,25,-41.6336,511.668,858.985,-0.325133,-0.398133,-1.60384,
2026_07_06_21_19_04.910,3.857,30.3,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-41,512.3,859.8,-0.3,-0.4,-1.5,25,-41.598,511.676,859.017,-0.323602,-0.3952,-1.6036,
2026_07_06_21_19_04.929,3.857,30.4,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-40.8,512,859.1,-0.3,-0.3,-1.6,25,-41.5555,511.705,859.043,-0.322163,-0.392446,-1.60034,
2026_07_06_21_19_04.949,3.857,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-42.2,513.4,856.8,-0.3,-0.4,-1.7,25,-41.5521,511.765,858.977,-0.320813,-0.389859,-1.60336,
2026_07_06_21_19_04.969,3.857,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-41.9,510.8,859,-0.3,-0.5,-1.6,25,-41.5824,511.786,858.911,-0.319544,-0.393524,-1.60621,
2026_07_06_21_19_04.989,3.857,30.3,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-40.8,510.2,858.7,-0.4,-0.4,-1.6,25,-41.5683,511.707,858.907,-0.3214,-0.396966,-1.60583,
2026_07_06_21_19_05.011,3.857,30.3,0,0.758,0,0,0,0, ,0,0,0,0,0, ,-41.7,512,858.8,-0.5,-0.4,-1.6,25,-41.5489,511.67,858.898,-0.329237,-0.397151,-1.60547,
2026_07_06_21_19_05.028,3.857,30.3,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-43,511.3,858.7,-0.3,-0.4,-1.6,25,-41.5977,511.669,858.889,-0.333549,-0.397324,-1.60514,
2026_07_06_21_19_05.048,3.857,30.3,0,0.759,0,0,0,0, ,0,0,0,0,0, ,-42.6,511.3,859.7,-0.4,-0.4,-1.6,25,-41.671,511.647,858.908,-0.334552,-0.397487,-1.60483,
