UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_06_26_17_08_16.716,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_26_17_08_16.736,0.020000,0.64249271,0.73691118,-0.13810712,0.15840286,0.91166991,-0.40709072,0.05599204,0.00000000,-0.13625908,-0.99067324,0.41092330,0.90316695,-0.12422335,97.838638,-3.210022,-24.064112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_26_17_08_16.756,0.040000,0.64272684,0.73679942,-0.13768686,0.15833908,0.91194212,-0.40643275,0.05633819,0.00064234,-0.13588929,-0.99072391,0.41031837,0.90351909,-0.12366211,97.800690,-3.229888,-24.023260,0.007461,-0.000285,9.760465,-0.009418,-0.038717,0.005592
2026_06_26_17_08_16.776,0.060000,0.64296037,0.73668599,-0.13728940,0.15826418,0.91220814,-0.40579355,0.05663870,0.00123683,-0.13550758,-0.99077582,0.40972531,0.90386379,-0.12310922,97.763344,-3.247135,-23.983540,0.015701,0.005261,9.758913,-0.002506,-0.044226,0.000736
2026_06_26_17_08_16.795,0.080000,0.64318478,0.73657864,-0.13690580,0.15818323,0.91246974,-0.40516588,0.05691732,0.00179830,-0.13514006,-0.99082476,0.40914023,0.90419990,-0.12258267,97.727737,-3.263126,-23.944521,0.024704,0.012158,9.756432,0.004739,-0.051044,-0.005299
2026_06_26_17_08_16.815,0.100000,0.64339370,0.73648518,-0.13652651,0.15809737,0.91273147,-0.40453720,0.05719215,0.00233820,-0.13481045,-0.99086881,0.40855333,0.90453088,-0.12209988,97.694908,-3.278899,-23.905449,0.032928,0.016135,9.754548,0.011521,-0.056611,-0.008554
2026_06_26_17_08_16.834,0.120000,0.64358914,0.73640329,-0.13615446,0.15800431,0.91299319,-0.40390891,0.05745474,0.00285053,-0.13451028,-0.99090827,0.40796486,0.90485632,-0.12165570,97.664551,-3.293970,-23.866394,0.038768,0.017261,9.755236,0.017182,-0.058489,-0.009429
2026_06_26_17_08_16.855,0.140000,0.64377904,0.73632485,-0.13580592,0.15789627,0.91325104,-0.40329516,0.05766788,0.00330606,-0.13421106,-0.99094748,0.40738389,0.90517449,-0.12123501,97.635727,-3.306204,-23.828192,0.044411,0.015627,9.755342,0.022416,-0.060436,-0.007510
2026_06_26_17_08_16.882,0.160000,0.64396751,0.73624700,-0.13549033,0.15776184,0.91350716,-0.40269572,0.05780062,0.00367831,-0.13389695,-0.99098873,0.40680611,0.90548790,-0.12083459,97.608231,-3.313822,-23.790781,0.051698,0.017936,9.752739,0.028066,-0.066019,-0.009074
2026_06_26_17_08_16.894,0.180000,0.64415044,0.73617530,-0.13519318,0.15760441,0.91376734,-0.40209365,0.05787945,0.00399013,-0.13358653,-0.99102938,0.40621844,0.90580118,-0.12046254,97.582504,-3.318347,-23.753136,0.060114,0.028541,9.749943,0.034709,-0.073331,-0.018776
2026_06_26_17_08_16.914,0.200000,0.64432442,0.73611343,-0.13489357,0.15743870,0.91403353,-0.40147713,0.05795504,0.00428927,-0.13329983,-0.99106663,0.40561593,0.90611678,-0.12011850,97.558517,-3.322686,-23.714594,0.067479,0.036595,9.748920,0.041115,-0.078257,-0.026221
2026_06_26_17_08_16.934,0.220000,0.64449048,0.73605978,-0.13459180,0.15726787,0.91430372,-0.40085053,0.05803083,0.00458007,-0.13303435,-0.99110103,0.40500337,0.90643311,-0.11979795,97.535995,-3.327035,-23.675428,0.073560,0.037493,9.748656,0.046633,-0.081017,-0.026738
2026_06_26_17_08_16.954,0.240000,0.64465308,0.73600966,-0.13429797,0.15708704,0.91457546,-0.40022248,0.05808397,0.00484408,-0.13277304,-0.99113470,0.40438634,0.90674883,-0.11949229,97.514420,-3.330086,-23.636152,0.080149,0.038417,9.748528,0.052674,-0.083852,-0.027270
2026_06_26_17_08_16.973,0.260000,0.64481926,0.73595661,-0.13401759,0.15689297,0.91484773,-0.39959747,0.05809858,0.00507297,-0.13249505,-0.99117088,0.40376708,0.90706515,-0.11918569,97.492790,-3.330925,-23.597021,0.086978,0.040343,9.748260,0.058885,-0.087036,-0.028766
2026_06_26_17_08_16.993,0.280000,0.64498580,0.73590332,-0.13375156,0.15668531,0.91512048,-0.39897603,0.05807477,0.00526316,-0.13220787,-0.99120820,0.40314618,0.90738058,-0.11888635,97.471634,-3.329558,-23.558069,0.093932,0.043351,9.747481,0.065014,-0.090865,-0.031269
2026_06_26_17_08_17.016,0.300000,0.64514500,0.73585653,-0.13349530,0.15646787,0.91539359,-0.39835572,0.05802816,0.00542216,-0.13193405,-0.99124378,0.40252346,0.90769285,-0.11861169,97.452049,-3.326882,-23.519167,0.100522,0.048079,9.747163,0.071009,-0.094349,-0.035557
2026_06_26_17_08_17.033,0.320000,0.64529741,0.73581594,-0.13324736,0.15624146,0.91566747,-0.39773548,0.05796157,0.00555335,-0.13167298,-0.99127775,0.40189826,0.90800267,-0.11835992,97.433914,-3.323060,-23.480251,0.107006,0.050218,9.746073,0.076587,-0.098140,-0.037194
2026_06_26_17_08_17.052,0.340000,0.64544469,0.73578036,-0.13300288,0.15600859,0.91594315,-0.39711165,0.05788411,0.00566803,-0.13142276,-0.99131024,0.40126812,0.90831184,-0.11812496,97.416840,-3.318614,-23.441107,0.113249,0.055748,9.746270,0.082485,-0.101103,-0.042360
2026_06_26_17_08_17.072,0.360000,0.64558429,0.73575085,-0.13275248,0.15578315,0.91621679,-0.39648777,0.05782935,0.00579681,-0.13119543,-0.99133956,0.40064099,0.90861714,-0.11790514,97.400749,-3.315471,-23.402006,0.119293,0.063054,9.747453,0.088611,-0.103316,-0.049413
2026_06_26_17_08_17.092,0.380000,0.64572144,0.73572212,-0.13249487,0.15556985,0.91648626,-0.39586836,0.05780281,0.00595076,-0.13097811,-0.99136752,0.40002191,0.90891868,-0.11768389,97.384605,-3.313948,-23.363235,0.124887,0.064165,9.747461,0.093822,-0.105598,-0.050210
2026_06_26_17_08_17.112,0.400000,0.64586204,0.73568934,-0.13223928,0.15535896,0.91675276,-0.39525497,0.05777520,0.00610685,-0.13075042,-0.99139678,0.39940852,0.90921855,-0.11745203,97.367821,-3.312363,-23.324850,0.129771,0.060552,9.747663,0.098432,-0.106802,-0.046386
2026_06_26_17_08_17.132,0.420000,0.64600378,0.73565495,-0.13199304,0.15514144,0.91701794,-0.39464658,0.05772513,0.00624126,-0.13051414,-0.99142694,0.39879715,0.90951657,-0.11722064,97.351097,-3.309490,-23.286758,0.136067,0.060763,9.746816,0.103944,-0.110003,-0.046154
2026_06_26_17_08_17.155,0.440000,0.64614469,0.73562223,-0.13174905,0.15491670,0.91728604,-0.39403227,0.05766244,0.00636214,-0.13027859,-0.99145705,0.39817822,0.90981656,-0.11699581,97.334778,-3.305892,-23.248289,0.143409,0.067867,9.744971,0.110068,-0.115417,-0.052580
2026_06_26_17_08_17.171,0.460000,0.64628363,0.73559302,-0.13149168,0.15469465,0.91755903,-0.39340195,0.05762276,0.00650451,-0.13005507,-0.99148560,0.39754644,0.91012132,-0.11677432,97.318626,-3.303614,-23.208864,0.149926,0.074014,9.744279,0.115895,-0.119323,-0.058237
2026_06_26_17_08_17.191,0.480000,0.64642245,0.73556536,-0.13121814,0.15447827,0.91783655,-0.39275545,0.05761303,0.00667740,-0.12983990,-0.99151260,0.39690244,0.91043121,-0.11654913,97.302223,-3.303056,-23.168484,0.155536,0.074455,9.744833,0.121357,-0.120983,-0.058433
2026_06_26_17_08_17.211,0.500000,0.64656144,0.73553813,-0.13093626,0.15426511,0.91811597,-0.39210096,0.05761905,0.00686651,-0.12962818,-0.99153900,0.39625239,0.91074336,-0.11632133,97.285652,-3.303401,-23.127640,0.160922,0.074168,9.745355,0.126601,-0.122481,-0.057912
2026_06_26_17_08_17.231,0.520000,0.64669842,0.73551172,-0.13065384,0.15405613,0.91839254,-0.39145058,0.05763291,0.00706086,-0.12942159,-0.99156463,0.39560747,0.91105247,-0.11609578,97.269249,-3.304196,-23.087076,0.165924,0.073049,9.746073,0.131565,-0.123537,-0.056610
2026_06_26_17_08_17.250,0.540000,0.64683282,0.73548508,-0.13038637,0.15384541,0.91866195,-0.39081898,0.05762565,0.00723007,-0.12921345,-0.99159050,0.39497837,0.91135311,-0.11587787,97.253395,-3.303780,-23.047665,0.170379,0.068594,9.746889,0.136039,-0.123855,-0.052044
2026_06_26_17_08_17.271,0.560000,0.64696181,0.73545927,-0.13014452,0.15363127,0.91891968,-0.39021909,0.05758202,0.00735514,-0.12900579,-0.99161661,0.39437616,0.91163957,-0.11567593,97.238655,-3.301276,-23.010191,0.175467,0.069017,9.747565,0.141068,-0.125177,-0.052268
2026_06_26_17_08_17.295,0.580000,0.64708328,0.73543584,-0.12992486,0.15341786,0.91916502,-0.38965106,0.05751356,0.00744545,-0.12880588,-0.99164212,0.39380240,0.91191089,-0.11549270,97.225189,-3.297347,-22.974678,0.182277,0.072407,9.746185,0.146888,-0.129428,-0.055103
2026_06_26_17_08_17.310,0.600000,0.64719707,0.73541647,-0.12971826,0.15320517,0.91940272,-0.38910174,0.05743267,0.00751399,-0.12861848,-0.99166578,0.39324576,0.91217178,-0.11532843,97.212990,-3.292704,-22.940327,0.189043,0.076636,9.744198,0.152438,-0.134316,-0.058704
2026_06_26_17_08_17.330,0.620000,0.64730257,0.73540258,-0.12951550,0.15299787,0.91963476,-0.38856387,0.05735862,0.00757976,-0.12845063,-0.99168718,0.39270148,0.91242480,-0.11518240,97.201988,-3.288454,-22.906706,0.194588,0.080513,9.744368,0.157712,-0.136716,-0.062274
2026_06_26_17_08_17.350,0.640000,0.64739871,0.73539490,-0.12930988,0.15280135,0.91986144,-0.38803446,0.05730857,0.00765915,-0.12830782,-0.99170488,0.39216876,0.91266996,-0.11505342,97.192101,-3.285581,-22.873653,0.200389,0.083549,9.744956,0.163384,-0.138716,-0.065039
2026_06_26_17_08_17.369,0.660000,0.64748752,0.73539340,-0.12909697,0.15261245,0.92008686,-0.38750345,0.05728303,0.00775519,-0.12818801,-0.99171972,0.39163774,0.91291249,-0.11493897,97.183144,-3.284115,-22.840544,0.207239,0.083948,9.742939,0.168982,-0.143162,-0.064823
2026_06_26_17_08_17.389,0.680000,0.64757800,0.73539257,-0.12887868,0.15241665,0.92031890,-0.38695621,0.05725415,0.00785048,-0.12806618,-0.99173462,0.39109015,0.91316164,-0.11482394,97.174103,-3.282458,-22.806429,0.213481,0.081873,9.740371,0.173792,-0.147547,-0.062126
2026_06_26_17_08_17.409,0.700000,0.64767426,0.73538929,-0.12866136,0.15220718,0.92055845,-0.38639373,0.05720176,0.00792897,-0.12792885,-0.99175185,0.39052439,0.91341907,-0.11470234,97.164597,-3.279451,-22.771339,0.218330,0.082206,9.740950,0.178575,-0.148818,-0.062265
2026_06_26_17_08_17.434,0.720000,0.64777386,0.73538393,-0.12845115,0.15198649,0.92080081,-0.38582760,0.05712225,0.00798394,-0.12777889,-0.99177068,0.38995147,0.91367930,-0.11457849,97.154930,-3.274887,-22.735996,0.223260,0.081961,9.741261,0.183326,-0.150285,-0.061803
2026_06_26_17_08_17.447,0.740000,0.64787346,0.73537970,-0.12824820,0.15175390,0.92104632,-0.38525689,0.05701627,0.00801240,-0.12762511,-0.99179029,0.38937068,0.91394162,-0.11446178,97.145691,-3.268805,-22.700340,0.229122,0.083870,9.740040,0.188356,-0.153777,-0.063254
2026_06_26_17_08_17.468,0.760000,0.64796925,0.73538065,-0.12803826,0.15151703,0.92129761,-0.38467047,0.05691569,0.00804305,-0.12748420,-0.99180806,0.38877511,0.91420817,-0.11435699,97.137161,-3.263032,-22.663727,0.235278,0.091158,9.739698,0.194049,-0.157255,-0.070124
