UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_15_18_21_44.624,3.808,26.2,0,0.754,0,0,0,0.03, ,0,0,0,0,0, ,16.1,-43,1005.4,-0.5,0.9,-2.1,25,16.1,-43,1005.4,-0.5,0.9,-2.1,
2026_06_15_18_21_44.642,3.808,26.3,0,0.756,0,0,0,0.031, ,0,0,0,0,0, ,12.8,-43.5,991.2,0.1,0.4,-1.5,25,15.9995,-43.0152,1004.97,-0.481719,0.884766,-2.08172,
2026_06_15_18_21_44.658,3.808,26.3,0,0.754,0,0,0,0.03, ,0,0,0,0,0, ,6.9,-43.3,989.8,-0.4,-1.6,-1.1,25,15.6247,-43.0387,1004.09,-0.461505,0.794288,-2.03408,
2026_06_15_18_21_44.675,3.808,26.2,0,0.755,0,0,0,0.031, ,0,0,0,0,0, ,6.9,-40,1011.1,-0.4,-3.2,-1.6,25,15.0931,-42.9541,1003.86,-0.457757,0.599636,-1.9924,
2026_06_15_18_21_44.708,3.808,26.2,0,0.752,0,0,0,0.032, ,0,0,0,0,0, ,20.6,-38.6,1010.2,0.7,0,-2.1,25,15.0112,-42.7314,1004.28,-0.420722,0.465596,-1.98372,
2026_06_15_18_21_44.724,3.808,26.2,0,0.752,0,0,0,0.032, ,0,0,0,0,0, ,21.9,-39,1001.3,0.3,0.7,-1.2,25,15.3914,-42.4918,1004.37,-0.364615,0.458551,-1.96338,
2026_06_15_18_21_44.742,3.808,26.3,0,0.752,0,0,0,0.033, ,0,0,0,0,0, ,12.4,-38.2,997.8,-0.4,-0.3,-0.1,25,15.4986,-42.2547,1004.07,-0.345443,0.442796,-1.88335,
2026_06_15_18_21_44.758,3.808,26.2,0,0.757,0,0,0,0.032, ,0,0,0,0,0, ,6.2,-36.6,1006.9,-0.6,-0.9,-0.5,25,15.1208,-41.9588,1003.97,-0.354862,0.379251,-1.78686,
2026_06_15_18_21_44.775,3.808,26.2,0,0.755,0,0,0,0.033, ,0,0,0,0,0, ,12,-37.5,1011.4,-0.5,-0.4,-1.2,25,14.7539,-41.6597,1004.28,-0.366753,0.316531,-1.72977,
2026_06_15_18_21_44.807,3.808,26.1,0,0.755,0,0,0,0.034, ,0,0,0,0,0, ,17.4,-39.9,1004.5,-1.4,-0.1,-0.8,25,14.7507,-41.4793,1004.51,-0.402294,0.282008,-1.6853,
2026_06_15_18_21_44.824,3.808,26.2,0,0.756,0,0,0,0.035, ,0,0,0,0,0, ,8.1,-41.7,994.5,-1,0.1,-0.6,25,14.6287,-41.4379,1004.2,-0.450905,0.264823,-1.62526,
2026_06_15_18_21_44.842,3.808,26.3,0,0.755,0,0,0,0.034, ,0,0,0,0,0, ,6.3,-39.6,998.9,-0.5,-1,-1.1,25,14.176,-41.3899,1003.75,-0.469131,0.221263,-1.57802,
2026_06_15_18_21_44.858,3.808,26.3,0,0.753,0,0,0,0.034, ,0,0,0,0,0, ,8.7,-42.3,1008.9,-0.2,-1.9,-1,25,13.7692,-41.3631,1003.75,-0.461871,0.119421,-1.54584,
2026_06_15_18_21_44.876,3.808,26.3,0,0.753,0,0,0,0.034, ,0,0,0,0,0, ,4.6,-38.4,995.6,-0.1,-0.5,-1.7,25,13.3354,-41.3014,1003.66,-0.442867,0.0390185,-1.53391,
2026_06_15_18_21_44.908,3.808,26.4,0,0.757,0,0,0,0.035, ,0,0,0,0,0, ,10,-39.7,998.7,0.7,-0.4,-2.5,25,12.9676,-41.1642,1003.27,-0.397598,0.00921896,-1.5684,
2026_06_15_18_21_44.925,3.808,26.3,0,0.756,0,0,0,0.034, ,0,0,0,0,0, ,15.3,-40.1,1000.3,0.3,-1.2,-1.9,25,12.9483,-41.0872,1003.04,-0.342901,-0.0400928,-1.60689,
2026_06_15_18_21_44.943,3.808,26.4,0,0.756,0,0,0,0.035, ,0,0,0,0,0, ,10.9,-38,1004.5,0.2,-1.8,-1.5,25,12.9575,-40.963,1003,-0.306771,-0.129056,-1.61257,
2026_06_15_18_21_44.958,3.808,26.4,0,0.757,0,0,0,0.035, ,0,0,0,0,0, ,8.4,-35.2,1003.9,0,-1.4,-1.9,25,12.756,-40.6971,1003.07,-0.281983,-0.218692,-1.61789,
2026_06_15_18_21_44.974,3.808,26.3,0,0.756,0,0,0,0.035, ,0,0,0,0,0, ,9.7,-32.1,1006.7,-0.5,-2.5,-2.3,25,12.5301,-40.2677,1003.21,-0.280034,-0.324193,-1.64727,
2026_06_15_18_21_45.005,3.808,26.5,0,0.753,0,0,0,0.037, ,0,0,0,0,0, ,16.1,-33.2,1013.6,-0.9,-1.8,-2.4,25,12.5527,-39.8035,1003.63,-0.305626,-0.435453,-1.69009,
2026_06_15_18_21_45.025,3.808,26.5,0,0.757,0,0,0,0.035, ,0,0,0,0,0, ,20.6,-36.8,1009,-1.8,-0.3,-2.6,25,12.9059,-39.5108,1004.1,-0.369267,-0.472902,-1.73945,
2026_06_15_18_21_45.043,3.808,26.4,0,0.759,0,0,0,0.036, ,0,0,0,0,0, ,29.7,-41.8,1004.3,-0.4,2.1,-2.2,25,13.6521,-39.4979,1004.25,-0.413796,-0.389241,-1.7797,
2026_06_15_18_21_45.058,3.808,26.4,0,0.754,0,0,0,0.037, ,0,0,0,0,0, ,18.9,-41.2,992.9,-0.7,1,-1.1,25,14.3009,-39.6199,1003.91,-0.422096,-0.271068,-1.7718,
2026_06_15_18_21_45.074,3.808,26.5,0,0.753,0,0,0,0.037, ,0,0,0,0,0, ,10.1,-41.7,1000.3,-1.2,-1.4,-0.4,25,14.3131,-39.7315,1003.46,-0.454265,-0.266738,-1.70953,
2026_06_15_18_21_45.091,3.808,26.5,0,0.753,0,0,0,0.037, ,0,0,0,0,0, ,10.6,-39.1,1007.5,0.4,0.6,-1,25,14.0716,-39.7722,1003.49,-0.450959,-0.274858,-1.64801,
2026_06_15_18_21_45.125,3.808,26.6,0,0.757,0,0,0,0.037, ,0,0,0,0,0, ,9.2,-37.7,1003.5,0.6,1,-1.3,25,13.8173,-39.6886,1003.61,-0.39301,-0.209359,-1.61767,
2026_06_15_18_21_45.144,3.808,26.5,0,0.76,0,0,0,0.037, ,0,0,0,0,0, ,1.4,-39.5,997.1,-0.3,-0.5,-1.4,25,13.2983,-39.6222,1003.41,-0.35992,-0.181367,-1.60135,
2026_06_15_18_21_45.158,3.808,26.5,0,0.755,0,0,0,0.038, ,0,0,0,0,0, ,0,-38.2,1001.7,-0.5,-1.2,-2,25,12.5306,-39.5752,1003.17,-0.362362,-0.222112,-1.60737,
2026_06_15_18_21_45.174,3.808,26.6,0,0.757,0,0,0,0.038, ,0,0,0,0,0, ,2,-34,1008.9,0.5,-1.1,-3.3,25,11.828,-39.3634,1003.3,-0.340281,-0.278655,-1.6709,
2026_06_15_18_21_45.191,3.808,26.5,0,0.753,0,0,0,0.038, ,0,0,0,0,0, ,23.5,-38,1009.2,0,-0.4,-3.7,25,11.8842,-39.1585,1003.65,-0.304311,-0.307378,-1.78236,
2026_06_15_18_21_45.224,3.808,26.6,0,0.753,0,0,0,0.039, ,0,0,0,0,0, ,30.2,-37.2,1003.2,-0.9,-0.2,-1.9,25,12.7961,-39.0635,1003.8,-0.313189,-0.306928,-1.84437,
2026_06_15_18_21_45.241,3.808,26.6,0,0.756,0,0,0,0.038, ,0,0,0,0,0, ,24.2,-37.8,1002.1,-1.6,-0.4,-0.2,25,13.6739,-38.9682,1003.73,-0.370276,-0.306506,-1.79597,
2026_06_15_18_21_45.256,3.808,26.6,0,0.757,0,0,0,0.039, ,0,0,0,0,0, ,12.2,-37.8,1005.4,-2.1,0.1,0.1,25,13.9497,-38.897,1003.73,-0.460446,-0.296969,-1.68957,
2026_06_15_18_21_45.274,3.808,26.6,0,0.755,0,0,0,0.039, ,0,0,0,0,0, ,11.9,-38.2,1010.9,-1.9,1.3,-0.3,25,13.8339,-38.8424,1004,-0.554263,-0.236216,-1.59271,
2026_06_15_18_21_45.291,3.808,26.6,0,0.758,0,0,0,0.039, ,0,0,0,0,0, ,11.2,-40.2,1004,-1.7,1.5,-0.4,25,13.6947,-38.8642,1004.21,-0.630175,-0.136509,-1.51698,
2026_06_15_18_21_45.321,3.808,26.7,0,0.757,0,0,0,0.04, ,0,0,0,0,0, ,7.9,-44.1,989.8,-1.6,1.4,-0.5,25,13.4422,-39.0644,1003.77,-0.69232,-0.0398312,-1.45196,
2026_06_15_18_21_45.341,3.808,26.7,0,0.753,0,0,0,0.039, ,0,0,0,0,0, ,6.2,-44,992.7,-1.3,-1.1,-0.2,25,13.0526,-39.3682,1003,-0.738492,-0.0282634,-1.38481,
2026_06_15_18_21_45.358,3.808,26.7,0,0.753,0,0,0,0.04, ,0,0,0,0,0, ,3.7,-41.7,1011.3,-1,-2.9,-0.3,25,12.5589,-39.5804,1002.94,-0.763568,-0.148416,-1.31566,
2026_06_15_18_21_45.375,3.808,26.7,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,7.6,-40.6,1008.9,0.1,0.1,-1.2,25,12.1379,-39.676,1003.38,-0.74446,-0.224684,-1.28119,
2026_06_15_18_21_45.391,3.808,26.8,0,0.757,0,0,0,0.04, ,0,0,0,0,0, ,-1.3,-39.4,995.2,0,0.4,-2.5,25,11.5902,-39.6958,1003.3,-0.696047,-0.195758,-1.31585,
2026_06_15_18_21_45.408,3.808,26.8,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,4.1,-42.2,994.8,-0.5,-2.5,-3.4,25,10.9692,-39.7631,1002.79,-0.668866,-0.247814,-1.41543,
2026_06_15_18_21_45.441,3.808,26.9,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,17.3,-38.6,1008.3,-0.4,-2.2,-3.3,25,10.9528,-39.8019,1002.72,-0.655529,-0.375916,-1.53332,
2026_06_15_18_21_45.458,3.808,27,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,25.6,-39.7,1009.7,-0.3,-1.6,-2.6,25,11.5925,-39.7621,1003.1,-0.636911,-0.46879,-1.61965,
2026_06_15_18_21_45.475,3.808,26.9,0,0.753,0,0,0,0.039, ,0,0,0,0,0, ,22.9,-41.8,1002.9,0.1,-0.2,-1.5,25,12.3638,-39.8223,1003.29,-0.604193,-0.495066,-1.64587,
2026_06_15_18_21_45.492,3.808,26.9,0,0.753,0,0,0,0.04, ,0,0,0,0,0, ,15.5,-41.6,998.2,-1,-0.7,-0.5,25,12.7804,-39.9368,1003.13,-0.594797,-0.49232,-1.60651,
2026_06_15_18_21_45.508,3.808,27,0,0.757,0,0,0,0.041, ,0,0,0,0,0, ,11.5,-39.5,1002.4,-0.6,-1.3,-0.9,25,12.8242,-39.9741,1002.96,-0.607301,-0.523257,-1.55127,
2026_06_15_18_21_45.541,3.808,27,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,13.5,-41.5,1008.6,-0.6,-1.2,-0.7,25,12.8045,-40.0062,1003.11,-0.606857,-0.567543,-1.50549,
2026_06_15_18_21_45.558,3.808,27,0,0.757,0,0,0,0.04, ,0,0,0,0,0, ,13.6,-40.1,998.7,-0.5,-0.5,-0.7,25,12.8499,-40.0546,1003.14,-0.603392,-0.584755,-1.45641,
2026_06_15_18_21_45.575,3.808,27,0,0.76,0,0,0,0.041, ,0,0,0,0,0, ,4.6,-38.6,998.1,-0.9,-1.5,-0.4,25,12.6214,-40.0116,1002.85,-0.609279,-0.610059,-1.40117,
2026_06_15_18_21_45.591,3.808,27,0,0.755,0,0,0,0.041, ,0,0,0,0,0, ,3.9,-38.3,1008,-1.2,-2.2,-1.4,25,12.1113,-39.9165,1002.87,-0.636135,-0.685618,-1.37063,
2026_06_15_18_21_45.607,3.808,27.1,0,0.755,0,0,0,0.041, ,0,0,0,0,0, ,11.3,-41.9,1008.6,-0.1,-0.8,-2.3,25,11.8364,-39.9276,1003.2,-0.63698,-0.735244,-1.39985,
2026_06_15_18_21_45.625,3.808,27.1,0,0.757,0,0,0,0.041, ,0,0,0,0,0, ,4.5,-41.6,998.7,-0.5,-1.6,-3,25,11.5965,-40.0387,1003.22,-0.616445,-0.763565,-1.47603,
2026_06_15_18_21_45.658,3.808,27.1,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,11.2,-40.4,1000.6,-1,-3.4,-3.4,25,11.3682,-40.0973,1003.01,-0.624584,-0.869379,-1.58108,
2026_06_15_18_21_45.674,3.808,27.1,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,26.8,-40.2,1007.6,-0.6,-1.2,-3.8,25,11.8333,-40.1096,1003.07,-0.635273,-0.956558,-1.70411,
2026_06_15_18_21_45.691,3.808,27.2,0,0.758,0,0,0,0.042, ,0,0,0,0,0, ,32.4,-41.9,1003.4,-0.5,0.8,-2.5,25,12.9159,-40.1669,1003.22,-0.630077,-0.910455,-1.79222,
2026_06_15_18_21_45.708,3.808,27.2,0,0.757,0,0,0,0.041, ,0,0,0,0,0, ,18.5,-41.7,994.6,-1.6,-0.7,-1,25,13.6797,-40.2664,1002.96,-0.655666,-0.851927,-1.78965,
2026_06_15_18_21_45.724,3.808,27.3,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,13.7,-42.2,998.6,-1.5,-1.8,-1,25,13.8272,-40.369,1002.58,-0.710165,-0.876185,-1.74153,
2026_06_15_18_21_45.758,3.808,27.2,0,0.755,0,0,0,0.041, ,0,0,0,0,0, ,16.1,-40.8,1011.5,-0.9,-0.3,-1.5,25,13.8926,-40.438,1002.73,-0.740014,-0.886777,-1.71157,
2026_06_15_18_21_45.775,3.808,27.3,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,18.1,-40.1,1008.1,-0.2,1.8,-1.6,25,14.088,-40.4387,1003.16,-0.728435,-0.787036,-1.70173,
2026_06_15_18_21_45.791,3.808,27.2,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,12.5,-48,984.6,-0.5,1.3,-1.5,25,14.1619,-40.6588,1002.74,-0.705374,-0.644623,-1.69248,
2026_06_15_18_21_45.808,3.808,27.3,0,0.757,0,0,0,0.042, ,0,0,0,0,0, ,8,-39.1,1006.3,-0.6,-1.4,-1.3,25,13.9235,-40.8349,1002.3,-0.695906,-0.608388,-1.67466,
2026_06_15_18_21_45.825,3.808,27.5,0,0.758,0,0,0,0.042, ,0,0,0,0,0, ,12,-41.1,1006.3,-1.3,-1,-1.7,25,13.6844,-40.7902,1002.54,-0.71139,-0.644439,-1.66402,
2026_06_15_18_21_45.857,3.808,27.5,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,13,-38.5,1014.2,-0.5,-0.3,-1.7,25,13.6122,-40.7298,1003.01,-0.722883,-0.644778,-1.66621,
2026_06_15_18_21_45.874,3.808,27.5,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,3.1,-36.8,973.7,2.5,1.1,-1.2,25,13.2733,-40.5421,1002.46,-0.617895,-0.581112,-1.65303,
2026_06_15_18_21_45.892,3.808,27.6,0,0.755,0,0,0,0.041, ,0,0,0,0,0, ,9.7,-47.6,1006.5,-0.3,-2.4,-2.1,25,12.8544,-40.6432,1001.71,-0.513211,-0.58531,-1.65285,
2026_06_15_18_21_45.908,3.808,27.6,0,0.756,0,0,0,0.04, ,0,0,0,0,0, ,11.5,-37.7,1009.5,0.6,-1.4,-2.4,25,12.7171,-40.7655,1002.09,-0.472796,-0.665424,-1.68924,
2026_06_15_18_21_45.925,3.808,27.5,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,14.5,-44.7,1017.7,-0.8,-1.2,-2.7,25,12.7343,-40.7919,1002.79,-0.450079,-0.704093,-1.74169,
2026_06_15_18_21_45.946,3.808,27.6,0,0.759,0,0,0,0.042, ,0,0,0,0,0, ,22.3,-42.7,1003.7,0.1,0.7,-2.9,25,13.0796,-40.9691,1003.27,-0.443981,-0.676422,-1.80618,
2026_06_15_18_21_45.975,3.808,27.6,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,16.9,-43,990.6,0.6,0.1,-1.8,25,13.4769,-41.0838,1002.9,-0.395597,-0.610827,-1.83932,
2026_06_15_18_21_45.991,3.808,27.7,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,8.9,-42.8,991.9,0.8,-2.1,-2.1,25,13.4417,-41.1944,1002.19,-0.328834,-0.634543,-1.84606,
2026_06_15_18_21_46.008,3.808,27.7,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,7.4,-40.2,1004.6,0.9,-2.8,-2.4,25,13.1193,-41.2131,1001.95,-0.256999,-0.745172,-1.87068,
2026_06_15_18_21_46.025,3.808,27.7,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,4.1,-36.2,1009.1,0.4,-2.7,-3.6,25,12.6702,-41.0294,1002.25,-0.201729,-0.867341,-1.9395,
2026_06_15_18_21_46.046,3.808,27.7,0,0.755,0,0,0,0.041, ,0,0,0,0,0, ,12.8,-35.5,1009.5,0.7,-0.9,-5,25,12.413,-40.7138,1002.68,-0.15592,-0.924175,-2.08334,
2026_06_15_18_21_46.075,3.808,27.8,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,29,-38.3,996.3,0.4,-1.1,-4.6,25,12.9302,-40.4814,1002.69,-0.112903,-0.928796,-2.24889,
2026_06_15_18_21_46.091,3.808,27.8,0,0.76,0,0,0,0.041, ,0,0,0,0,0, ,26.9,-39.3,999.1,-0.8,-3.3,-2.8,25,13.8455,-40.379,1002.39,-0.118211,-1.00626,-2.33731,
2026_06_15_18_21_46.108,3.808,27.8,0,0.76,0,0,0,0.041, ,0,0,0,0,0, ,21.4,-35.7,1005,-0.5,-3.2,-2.1,25,14.4734,-40.2035,1002.37,-0.150617,-1.14299,-2.34418,
2026_06_15_18_21_46.127,3.808,27.8,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,26.2,-35.8,1008.9,-0.6,-1.8,-2.1,25,15.0418,-39.9321,1002.65,-0.174954,-1.22568,-2.3293,
2026_06_15_18_21_46.146,3.808,27.8,0,0.757,0,0,0,0.042, ,0,0,0,0,0, ,26.7,-36.6,1005.2,0,-0.5,-1.9,25,15.7369,-39.7047,1002.91,-0.182574,-1.22107,-2.30923,
2026_06_15_18_21_46.175,3.808,27.9,0,0.758,0,0,0,0.042, ,0,0,0,0,0, ,16.3,-39.7,988.5,1,-0.8,-1.2,25,16.0881,-39.61,1002.55,-0.14098,-1.18627,-2.26297,
2026_06_15_18_21_46.191,3.808,27.9,0,0.757,0,0,0,0.041, ,0,0,0,0,0, ,23.9,-43.9,1007.3,-1.1,-2.7,-1,25,16.3326,-39.7434,1002.26,-0.135436,-1.22062,-2.1921,
2026_06_15_18_21_46.208,3.808,28,0,0.763,0,0,0,0.041, ,0,0,0,0,0, ,25.2,-40.1,1013,-0.6,0.4,-0.9,25,16.8334,-39.8809,1002.74,-0.178979,-1.21632,-2.11641,
2026_06_15_18_21_46.225,3.808,28,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,17.2,-39,1001.7,-0.7,0.1,-1,25,17.0994,-39.8608,1003.02,-0.207682,-1.12696,-2.04533,
2026_06_15_18_21_46.247,3.808,28,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,17.3,-38,997.3,-0.8,-0.7,-1.3,25,17.1086,-39.7778,1002.81,-0.24073,-1.07657,-1.99077,
2026_06_15_18_21_46.274,3.808,28,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,17.9,-37.5,1003.5,-0.5,-0.3,-1.6,25,17.1386,-39.6543,1002.66,-0.26567,-1.04144,-1.95782,
2026_06_15_18_21_46.293,3.808,28.1,0,0.756,0,0,0,0.042, ,0,0,0,0,0, ,15.9,-40.7,1008.5,-0.4,0.5,-2.4,25,17.124,-39.6205,1002.87,-0.276902,-0.97188,-1.96039,
2026_06_15_18_21_46.308,3.808,28.1,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,8,-39.4,1004.5,0,-0.8,-2.3,25,16.8087,-39.6467,1003.09,-0.272216,-0.921797,-1.98413,
2026_06_15_18_21_46.325,3.808,28.1,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,-6.1,-39.4,998.1,2.1,-1.9,-4.3,25,15.8423,-39.6316,1002.98,-0.191644,-0.94789,-2.06432,
2026_06_15_18_21_46.347,3.808,28.1,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,0.8,-35.6,995.4,6,-1.8,-7.8,25,14.7155,-39.5017,1002.6,0.0668316,-1.00286,-2.30719,
2026_06_15_18_21_46.358,3.808,28.1,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,15.9,-31.3,1034.6,14.2,-0.7,-9.2,25,14.3276,-39.133,1003.35,0.678228,-1.01792,-2.68457,
2026_06_15_18_21_46.391,3.808,28.2,0,0.757,0,0,0,0.042, ,0,0,0,0,0, ,60,-28.1,1052.8,21.3,-1.2,-6.6,25,15.7671,-38.5581,1005.81,1.71854,-1.01378,-3.00238,
2026_06_15_18_21_46.408,3.808,28.2,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,85.8,-141.1,1020.7,18.8,-1.7,-2.7,25,19.2486,-41.3638,1007.7,2.83561,-1.04037,-3.10279,
2026_06_15_18_21_46.424,3.808,28.2,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,50,-41.1,1022.4,-1.8,0.5,9.4,25,22.2133,-44.3946,1008.54,3.18079,-1.01353,-2.70957,
2026_06_15_18_21_46.447,3.808,28.2,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,-7.2,-10,1038.8,1.9,4.3,4.2,25,22.1637,-43.2463,1009.89,2.99,-0.805519,-2.13008,
2026_06_15_18_21_46.458,3.808,28.3,0,0.755,0,0,0,0.042, ,0,0,0,0,0, ,-39.1,2.3,1078.1,2.2,6.2,4.2,25,19.4024,-40.8456,1012.85,2.93272,-0.436511,-1.74434,
2026_06_15_18_21_46.491,3.808,28.3,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,-36.1,2.4,1088.2,-3.4,10.2,-1.5,25,15.9288,-38.2133,1017.13,2.71745,0.0897767,-1.55578,
2026_06_15_18_21_46.508,3.808,28.3,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,-28.1,-25.7,1128.6,-1.9,4.6,-7.2,25,13.0021,-36.5946,1022.69,2.39037,0.535243,-1.72605,
2026_06_15_18_21_46.525,3.808,28.4,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,-14.7,-37.7,1160.7,-1.8,3.2,-7.6,25,10.9057,-36.2964,1030.12,2.13197,0.740283,-2.07181,
2026_06_15_18_21_46.548,3.808,28.3,0,0.758,0,0,0,0.041, ,0,0,0,0,0, ,-4.2,-25.2,1205.3,-11.2,-0.3,-9.2,25,9.66528,-36.001,1039.44,1.60596,0.783532,-2.45743,
2026_06_15_18_21_46.558,3.808,28.4,0,0.76,0,0,0,0.042, ,0,0,0,0,0, ,22.2,-12.2,1199.4,-8.9,1.5,-9.6,25,9.62474,-34.9468,1049.37,0.895675,0.772348,-2.88049,
2026_06_15_18_21_46.575,3.808,28.5,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,20.2,-43.2,1182.9,-7.4,8.1,-7.9,25,10.3301,-34.5052,1058.01,0.344454,1.01778,-3.23817,
2026_06_15_18_21_46.608,3.808,28.5,0,0.756,0,0,0,0.04, ,0,0,0,0,0, ,7.8,-70.9,1218,-14.5,8,-4.9,25,10.5537,-35.879,1066.69,-0.343802,1.44631,-3.43084,
2026_06_15_18_21_46.624,3.808,28.5,0,0.756,0,0,0,0.04, ,0,0,0,0,0, ,4.1,-37.1,1213.3,-23.5,-0.8,-6.4,25,10.2732,-36.9832,1075.76,-1.48066,1.57755,-3.56607,
2026_06_15_18_21_46.648,3.808,28.6,0,0.756,0,0,0,0.041, ,0,0,0,0,0, ,37.3,-28.5,1146.8,-24.9,-4.4,-11.3,25,10.9086,-36.7283,1082.12,-2.86512,1.32298,-3.88806,
2026_06_15_18_21_46.658,3.808,28.5,0,0.758,0,0,0,0.04, ,0,0,0,0,0, ,99.3,-92.2,1118.1,-12.8,-2.1,-13.7,25,14.4059,-38.1678,1085.19,-3.8392,1.04431,-4.41285,
2026_06_15_18_21_46.675,3.808,28.5,0,0.759,0,0,0,0.041, ,0,0,0,0,0, ,135.1,-139.5,1155,-8.5,-3.9,-8.4,25,20.6699,-42.9015,1088.32,-4.25423,0.797863,-4.8173,
