UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_15_44_44.085,3.757,26.8,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-37.8,159.3,989.1,-1,-0.4,-1.8,25,-0.303772,-0.177395,-1.14627,-0.0260879,0.00386433,-0.00404146
2026_06_10_15_44_44.105,3.757,26.9,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-35.8,159.4,991.2,-0.3,-0.4,-1.7,25,-0.267426,-0.139191,-1.12811,-0.0269465,0.00331498,-0.0032264
2026_06_10_15_44_44.124,3.757,26.8,0,0.758,0,0,0,0.046, ,0,0,0,0,0, ,-36.9,156.6,989.8,-0.7,-0.4,-1.8,25,-0.209475,-0.168383,-1.08811,-0.0202737,0.00277624,-0.00243542
2026_06_10_15_44_44.144,3.757,26.8,0,0.756,0,0,0,0.047, ,0,0,0,0,0, ,-38.2,158.6,990.7,-0.7,-0.3,-1.7,25,-0.212186,-0.21493,-1.05698,-0.0236369,0.0047024,-0.00167122
2026_06_10_15_44_44.164,3.757,26.9,0,0.758,0,0,0,0.048, ,0,0,0,0,0, ,-36.8,158.3,989.1,-0.2,-0.3,-1.8,25,-0.211265,-0.216449,-1.03932,-0.0144579,0.00896308,-0.00093627
2026_06_10_15_44_44.184,3.757,27,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-37.1,157.8,990.4,-0.5,-0.4,-1.8,25,-0.182375,-0.236444,-1.02477,-0.000753454,0.0105185,-0.00268491
2026_06_10_15_44_44.204,3.757,26.9,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-37.9,159.6,990.4,-0.8,-0.4,-1.8,25,-0.180977,-0.222414,-0.973998,-0.00243037,0.00949358,-0.00433455
2026_06_10_15_44_44.224,3.757,27,0,0.758,0,0,0,0.048, ,0,0,0,0,0, ,-39.4,156.4,985.4,-0.1,-0.4,-1.7,25,-0.235155,-0.242307,-1.04353,0.00579557,0.00847217,-0.00342977
2026_06_10_15_44_44.243,3.757,27.1,0,0.758,0,0,0,0.047, ,0,0,0,0,0, ,-35.6,159.7,990.1,-1,-0.4,-1.8,25,-0.229118,-0.257579,-1.11186,0.0086852,0.00745909,-0.00255246
2026_06_10_15_44_44.263,3.757,27,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-37.5,160.8,988.5,-0.3,-0.4,-1.7,25,-0.175656,-0.162936,-1.09534,0.006486,0.00645894,-0.0017056
2026_06_10_15_44_44.290,3.757,27.1,0,0.758,0,0,0,0.048, ,0,0,0,0,0, ,-37.3,157.9,989.5,-0.8,-0.4,-1.7,25,-0.165637,-0.116272,-1.08895,0.009267,0.00547601,0.00156029
2026_06_10_15_44_44.303,3.757,27,0,0.759,0,0,0,0.047, ,0,0,0,0,0, ,-38,158.4,988.6,-0.8,-0.4,-1.7,25,-0.167555,-0.130175,-1.07506,-0.000394861,0.0045143,0.00465833
