UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_06_15_18_59_10.238,0.000000,0.99689335,0.07761414,0.01336702,-0.00104070,0.99964046,0.00414988,0.02648943,0.00000000,0.98794991,-0.15477385,-0.02681253,0.15471821,0.98759472,8.904336,-1.518022,0.237872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_15_18_59_10.258,0.020000,0.99689335,0.07761414,0.01336702,-0.00104070,0.99964046,0.00414988,0.02648943,0.00000000,0.98794991,-0.15477385,-0.02681253,0.15471821,0.98759472,8.904336,-1.518022,0.237872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_15_18_59_10.278,0.040000,0.99689180,0.07765665,0.01322511,-0.00116651,0.99964750,0.00437980,0.02618683,-0.00027173,0.98793614,-0.15486142,-0.02654918,0.15479970,0.98758906,8.909001,-1.500677,0.251050,0.003057,0.003471,9.865019,0.001328,0.013508,0.063754
2026_06_15_18_59_10.298,0.060000,0.99689054,0.07769491,0.01308140,-0.00130196,0.99965435,0.00462854,0.02587914,-0.00056311,0.98792362,-0.15494069,-0.02628377,0.15487257,0.98758477,8.913166,-1.483040,0.265305,0.006540,0.014804,9.863640,0.004857,0.024512,0.060724
2026_06_15_18_59_10.316,0.080000,0.99689090,0.07771274,0.01293449,-0.00144744,0.99966121,0.00489622,0.02556358,-0.00087552,0.98791724,-0.15497971,-0.02601352,0.15490481,0.98758686,8.914973,-1.464953,0.280646,0.010943,0.023141,9.861955,0.009308,0.032512,0.057878
2026_06_15_18_59_10.336,0.100000,0.99689263,0.07771181,0.01278964,-0.00159980,0.99966770,0.00517746,0.02525114,-0.00120184,0.98791665,-0.15498157,-0.02574843,0.15489973,0.98759460,8.914617,-1.447044,0.296764,0.016415,0.019000,9.860067,0.014840,0.028159,0.056791
2026_06_15_18_59_10.357,0.120000,0.99689502,0.07769925,0.01265004,-0.00175364,0.99967378,0.00546218,0.02494902,-0.00153059,0.98791951,-0.15496035,-0.02549404,0.15487163,0.98760563,8.912928,-1.429727,0.313082,0.015626,0.017439,9.856297,0.014159,0.026032,0.053286
2026_06_15_18_59_10.376,0.140000,0.99689895,0.07767040,0.01249515,-0.00191677,0.99968040,0.00576266,0.02461505,-0.00188065,0.98792726,-0.15490697,-0.02521055,0.15481116,0.98762238,8.909355,-1.410585,0.330302,0.015736,0.015942,9.852967,0.014366,0.024040,0.050229
2026_06_15_18_59_10.396,0.160000,0.99690461,0.07762130,0.01232147,-0.00208520,0.99968767,0.00607031,0.02424295,-0.00224468,0.98794115,-0.15481345,-0.02489037,0.15471070,0.98764622,8.903454,-1.389257,0.347933,0.019046,0.015164,9.853499,0.017675,0.023374,0.050953
2026_06_15_18_59_10.416,0.180000,0.99691105,0.07756121,0.01214924,-0.00225512,0.99969465,0.00638093,0.02387360,-0.00261169,0.98795837,-0.15469806,-0.02457324,0.15458848,0.98767328,8.896294,-1.368088,0.365734,0.022046,0.016762,9.855954,0.020620,0.025351,0.053198
