UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_15_27_00.300,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_27_00.319,0.020000,0.99677277,0.07800391,0.01890008,-0.00147905,0.99928123,0.00589712,0.03744742,0.00000000,0.98782641,-0.15556026,-0.03790891,0.15544844,0.98711634,8.949949,-2.146239,0.338144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_27_00.339,0.040000,0.99678212,0.07789309,0.01883803,-0.00179750,0.99928379,0.00651814,0.03727480,-0.00064873,0.98785889,-0.15535259,-0.03783485,0.15521714,0.98715562,8.936498,-2.136341,0.373752,-0.001841,0.002995,9.805227,-0.002039,0.003758,0.004624
2026_07_06_15_27_00.359,0.060000,0.99679130,0.07778171,0.01877633,-0.00211697,0.99928594,0.00714126,0.03710283,-0.00129944,0.98789108,-0.15514375,-0.03776148,0.15498476,0.98719490,8.922985,-2.126481,0.409480,-0.003127,0.005552,9.805239,-0.003330,0.006274,0.004194
2026_07_06_15_27_00.379,0.080000,0.99680048,0.07766993,0.01871491,-0.00243686,0.99928761,0.00776530,0.03693152,-0.00195096,0.98792291,-0.15493405,-0.03768861,0.15475163,0.98723429,8.909429,-2.116657,0.445260,-0.004376,0.008434,9.805058,-0.004580,0.009081,0.003526
2026_07_06_15_27_00.398,0.100000,0.99680954,0.07755823,0.01865421,-0.00275659,0.99928886,0.00838916,0.03676179,-0.00260201,0.98795426,-0.15472440,-0.03761698,0.15451871,0.98727345,8.895886,-2.106925,0.481030,-0.005303,0.010738,9.805065,-0.005518,0.011347,0.003145
2026_07_06_15_27_00.420,0.120000,0.99681836,0.07744661,0.01859424,-0.00307669,0.99928957,0.00901393,0.03659361,-0.00325369,0.98798513,-0.15451482,-0.03754672,0.15428600,0.98731256,8.882357,-2.097282,0.516852,-0.006338,0.013001,9.805343,-0.006576,0.013612,0.003035
2026_07_06_15_27_00.438,0.140000,0.99682713,0.07733518,0.01853508,-0.00339769,0.99928981,0.00964065,0.03642702,-0.00390699,0.98801547,-0.15430556,-0.03747807,0.15405364,0.98735142,8.868849,-2.087730,0.552784,-0.007624,0.015699,9.805740,-0.007896,0.016322,0.002968
2026_07_06_15_27_00.458,0.160000,0.99683565,0.07722387,0.01847667,-0.00371952,0.99928957,0.01026918,0.03626193,-0.00456182,0.98804528,-0.15409647,-0.03741087,0.15382157,0.98739016,8.855358,-2.078264,0.588821,-0.008805,0.018046,9.805881,-0.009101,0.018644,0.002706
2026_07_06_15_27_00.477,0.180000,0.99684417,0.07711218,0.01841836,-0.00404163,0.99928886,0.01089831,0.03609716,-0.00521719,0.98807478,-0.15388653,-0.03734380,0.15358877,0.98742896,8.841826,-2.068817,0.624893,-0.009794,0.020254,9.806163,-0.010123,0.020852,0.002615
2026_07_06_15_27_00.498,0.200000,0.99685246,0.07700071,0.01836012,-0.00436401,0.99928772,0.01152803,0.03593259,-0.00587306,0.98810369,-0.15367696,-0.03727672,0.15335646,0.98746759,8.828323,-2.059381,0.660998,-0.010525,0.022731,9.806248,-0.010884,0.023298,0.002298
2026_07_06_15_27_00.518,0.220000,0.99686056,0.07689002,0.01830203,-0.00468719,0.99928612,0.01215943,0.03576834,-0.00653046,0.98813188,-0.15346883,-0.03720994,0.15312569,0.98750591,8.814910,-2.049963,0.697199,-0.011518,0.025180,9.806185,-0.011904,0.025688,0.001832
