time_theta_s,theta_gyro_only_deg,time_quat_s,quat_y_unwrap_deg
0.0,0.0,0.0,-53.30090729224523
0.021000146865844727,0.03244522690773011,0.02,-53.24416736010471
0.039999961853027344,0.044700021195194256,0.039999999999999994,-53.190099619319064
0.06000018119812012,0.03960094287376178,0.06,-53.13974094688838
0.07899999618530273,0.02525706477245485,0.08,-53.09304217966764
0.10000014305114746,0.015700378566003627,0.09999999999999999,-53.04891298887149
0.11899995803833008,0.018455568752822973,0.12000000000000001,-53.00633551544365
0.13900017738342285,0.025357113299800896,0.14,-52.96508803382609
0.15900015830993652,0.030257115652160105,0.16,-52.92528232768471
0.1790001392364502,0.03515766650543599,0.18000000000000002,-52.887110652994544
0.19900012016296387,0.03605795343312306,0.2,-52.85133707367789
0.21800017356872559,0.021713429328034363,0.22,-52.81829451419373
0.24100017547607422,0.0066483496721743245,0.24000000000000002,-52.78781021235308
0.2569999694824219,-0.005431648020981158,0.26,-52.7592251739257
0.27699995040893555,-0.0045315284734687485,0.27999999999999997,-52.7321829569252
0.2980000972747803,-0.01618724484392002,0.3,-52.708085076920334
0.317000150680542,-0.04763165607493573,0.32,-52.68750581276116
0.3359999656677246,-0.07337347448529913,0.33999999999999997,-52.668652492084725
0.3559999465942383,-0.07247475323695417,0.36,-52.64893884493644
0.37600016593933105,-0.03556587081621922,0.38,-52.627625011637754
0.3960001468658447,-0.0026621919544672903,0.39999999999999997,-52.60567259012639
0.4160001277923584,0.018238504202202504,0.42,-52.584238169241466
0.4350001811981201,0.024796701068286815,0.44,-52.563852964284386
0.4550001621246338,0.02569928804700811,0.45999999999999996,-52.544607572086704
0.47500014305114746,0.014598699766098044,0.48,-52.526464924778814
0.4939999580383301,0.005953975399049344,0.5,-52.50968546636782
0.5150001049041748,-0.01620055562327645,0.52,-52.49521666428181
0.5350000858306885,-0.043301366455885844,0.54,-52.48277937780327
0.5550000667572021,-0.052403421422513044,0.5599999999999999,-52.471003521879936
0.5740001201629639,-0.04964484025666495,0.58,-52.45908803912927
0.5940001010894775,-0.03673858007783622,0.6,-52.446533128211186
0.6140000820159912,-0.019835426459209604,0.62,-52.43284802497188
0.6330001354217529,-0.0037811425417414606,0.64,-52.41800475650738
0.6530001163482666,0.013118991621493731,0.66,-52.40285392105866
0.6730000972747803,0.01201931597066166,0.6799999999999999,-52.38835731126323
0.693000078201294,0.004919370847159128,0.7,-52.37459572560118
0.7130000591278076,0.0018198143174649997,0.72,-52.36142955144383
0.7330000400543213,-0.003280277889231272,0.74,-52.348706513412324
0.753000020980835,-0.00638050756014918,0.76,-52.33621838269866
0.7769999504089355,-0.007700723472126025,0.78,-52.323735660176645
0.7920000553131104,-0.005525854221599029,0.7999999999999999,-52.31118396457262
0.8110001087188721,-0.006570951948814806,0.82,-52.29880759361758
0.8310000896453857,-0.009670991502765507,0.84,-52.28682704586102
0.8510000705718994,-0.010771039048308593,0.86,-52.27530387520808
0.8710000514984131,-0.013871579413061642,0.88,-52.26388510130711
0.8910000324249268,-0.010971922441545368,0.9,-52.252207480550034
0.9140000343322754,-0.009936851171905922,0.9199999999999999,-52.24031872019539
0.9300000667572021,-0.009216711675638435,0.94,-52.228883694552245
0.9500000476837158,-0.016317198310798697,0.96,-52.219034854291046
0.9700000286102295,-0.03941710231057843,0.98,-52.211111027313024
0.9900000095367432,-0.060518894172593284,1.0,-52.20491797851808
1.0099999904632568,-0.08562100262732913,1.02,-52.200463107436526
1.0290000438690186,-0.10756410532927553,1.04,-52.19718277643933
1.0490000247955322,-0.11866153294175216,1.06,-52.1939426300083
1.069000005722046,-0.11776312300620367,1.08,-52.190453648201384
1.0880000591278076,-0.12450955085093154,1.1,-52.18808803367834
1.1080000400543213,-0.1536089948987034,1.1199999999999999,-52.187665638928046
1.128000020980835,-0.17670824409796768,1.14,-52.187535990277446
1.1480000019073486,-0.17181084725118134,1.16,-52.18507460251487
1.1679999828338623,-0.13891014109308977,1.18,-52.178796387733684
1.187000036239624,-0.10195276736960758,1.2,-52.17028951970358
1.2070000171661377,-0.09905209947480252,1.22,-52.162942856911734
1.2269999980926514,-0.12614996977013723,1.24,-52.15848994050885
1.246999979019165,-0.16725085452714955,1.26,-52.15610582107031
1.2660000324249268,-0.1892011662448398,1.28,-52.15394009473303
1.2860000133514404,-0.18830066340587587,1.3,-52.150973048329455
1.3070001602172852,-0.1789532252808177,1.32,-52.1484175509704
1.3259999752044678,-0.19138661093312634,1.34,-52.147826938700916
1.3459999561309814,-0.21847810758526345,1.3599999999999999,-52.14914663125836
1.3660001754760742,-0.2475775610707552,1.38,-52.15177516942539
1.386000156402588,-0.2666765594388488,1.4,-52.15393031090137
1.4049999713897705,-0.25632071308135834,1.42,-52.154327401155335
1.4249999523162842,-0.24341630611140688,1.44,-52.15366359370575
1.445000171661377,-0.24450589550134455,1.46,-52.15312852158613
1.4650001525878906,-0.25760202839810975,1.48,-52.15297594928101
1.4839999675750732,-0.26054301220620013,1.5,-52.15208686768822
1.503999948501587,-0.24964938148352464,1.52,-52.14925289738645
1.5230000019073486,-0.23169980364012688,1.54,-52.143835770629465
1.5440001487731934,-0.20556200682410752,1.56,-52.13576466872525
1.562999963760376,-0.18191002802428477,1.58,-52.12564309105164
1.5830001831054688,-0.1630124274240911,1.6,-52.11402387894266
1.6030001640319824,-0.14811294551680085,1.6199999999999999,-52.100987840023016
1.621999979019165,-0.1358581409130241,1.64,-52.08667297948945
1.6430001258850098,-0.12231088987576548,1.66,-52.07204396765249
1.6630001068115234,-0.12340881710149253,1.68,-52.05874034919621
1.6820001602172852,-0.13965501399146057,1.7,-52.04846621186894
1.7020001411437988,-0.16475742959140238,1.72,-52.041709121528505
1.7269999980926514,-0.20612488952588862,1.74,-52.037607774422405
