UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_06_26_17_07_43.485,3.861,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,598.3,-732.5,-311.8,1.1,1.1,-2.7,25,598.3,-732.5,-311.8,1.1,1.1,-2.7,
2026_06_26_17_07_43.516,3.861,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,598.2,-734,-299,1.8,0.7,-2.3,25,598.297,-732.546,-311.41,1.12133,1.08781,-2.68781,
2026_06_26_17_07_43.532,3.861,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,599.2,-733.3,-302.4,-1.8,-1,-2.2,25,598.322,-732.613,-310.757,1.053,1.01238,-2.66113,
2026_06_26_17_07_43.558,3.861,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,598.9,-734.3,-312.2,-2.3,-1.2,-2.1,25,598.366,-732.685,-310.547,0.863908,0.88366,-2.62999,
2026_06_26_17_07_43.564,3.861,30.3,0,0.758,0,0,0,0, ,0,0,0,0,0, ,600.2,-731.5,-318.7,-1.7,-0.8,-1.9,25,598.438,-732.698,-310.845,0.689389,0.768874,-2.5916,
2026_06_26_17_07_43.595,3.861,30.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,599.1,-735.7,-313.8,0.3,-0.1,-1.2,25,598.512,-732.753,-311.175,0.604723,0.694599,-2.52812,
2026_06_26_17_07_43.611,3.861,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,597.7,-740.2,-299.4,-2.2,-1.4,-1.8,25,598.505,-733.07,-310.896,0.509982,0.606569,-2.46547,
2026_06_26_17_07_43.626,3.861,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,597.9,-735.9,-314.2,-3.7,-2.3,-2.5,25,598.462,-733.373,-310.646,0.299139,0.456872,-2.44625,
2026_06_26_17_07_43.642,3.861,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,599.2,-734.7,-319.8,-2.2,-1.1,-2.5,25,598.467,-733.491,-311.034,0.101145,0.325438,-2.44952,
2026_06_26_17_07_43.673,3.861,30.2,0,0.759,0,0,0,0, ,0,0,0,0,0, ,599.2,-729.8,-313.5,-0.4,-0.1,-1.9,25,598.512,-733.415,-311.376,0.0157628,0.269044,-2.43432,
2026_06_26_17_07_43.691,3.861,30.2,0,0.758,0,0,0,0, ,0,0,0,0,0, ,599.2,-730.7,-305.5,-0.1,-0.3,-0.6,25,598.554,-733.222,-311.262,-0.00043212,0.240461,-2.36215,
2026_06_26_17_07_43.705,3.861,30.3,0,0.758,0,0,0,0, ,0,0,0,0,0, ,598.3,-732.9,-296.2,-3.5,-2.1,-0.3,25,598.566,-733.136,-310.627,-0.110093,0.152683,-2.24563,
