UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_14_10_28.364,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_14_10_28.384,0.020000,0.98114008,0.19232991,0.01896135,-0.00371694,0.99925333,0.01458734,0.03577772,0.00000000,0.92599076,-0.37754613,-0.03863723,0.37726420,0.92529935,22.183401,-2.050501,0.836420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_14_10_28.403,0.040000,0.98115432,0.19225359,0.01893621,-0.00404050,0.99925017,0.01520981,0.03560508,-0.00064760,0.92604446,-0.37741393,-0.03871228,0.37710786,0.92535996,22.173786,-2.040602,0.872109,0.001831,0.001485,9.784756,0.002419,-0.004346,-0.014603
2026_07_06_14_10_28.424,0.060000,0.98116833,0.19217704,0.01891128,-0.00436388,0.99924666,0.01583204,0.03543302,-0.00129478,0.92609787,-0.37728110,-0.03878757,0.37695101,0.92542070,22.164141,-2.030737,0.907784,0.003415,0.002763,9.784722,0.004002,-0.003146,-0.015060
2026_07_06_14_10_28.444,0.080000,0.98118228,0.19210076,0.01888718,-0.00468754,0.99924260,0.01645514,0.03526257,-0.00194217,0.92615068,-0.37714878,-0.03886449,0.37679467,0.92548114,22.154531,-2.020964,0.943509,0.004907,0.003551,9.784746,0.005490,-0.002378,-0.015285
2026_07_06_14_10_28.467,0.100000,0.98119605,0.19202475,0.01886381,-0.00501143,0.99923807,0.01707903,0.03509356,-0.00258976,0.92620277,-0.37701693,-0.03894283,0.37663880,0.92554128,22.144955,-2.011274,0.979279,0.006510,0.004474,9.784539,0.007096,-0.001569,-0.015768
2026_07_06_14_10_28.491,0.120000,0.98120952,0.19194902,0.01884105,-0.00533503,0.99923313,0.01770261,0.03492592,-0.00323653,0.92625421,-0.37688547,-0.03902214,0.37648338,0.92560118,22.135403,-2.001662,1.015032,0.007952,0.005560,9.784274,0.008541,-0.000630,-0.016374
2026_07_06_14_10_28.503,0.140000,0.98122293,0.19187367,0.01881880,-0.00565835,0.99922764,0.01832587,0.03475949,-0.00388254,0.92630494,-0.37675464,-0.03910224,0.37632871,0.92566067,22.125902,-1.992120,1.050766,0.009572,0.006896,9.784012,0.010163,0.000546,-0.017065
2026_07_06_14_10_28.523,0.160000,0.98123604,0.19179861,0.01879713,-0.00598192,0.99922174,0.01894987,0.03459419,-0.00452882,0.92635500,-0.37662432,-0.03918349,0.37617454,0.92571992,22.116432,-1.982643,1.086543,0.011090,0.008219,9.783662,0.011685,0.001678,-0.017837
2026_07_06_14_10_28.542,0.180000,0.98124897,0.19172436,0.01877609,-0.00630575,0.99921536,0.01957469,0.03443010,-0.00517535,0.92640400,-0.37649548,-0.03926597,0.37602186,0.92577845,22.107059,-1.973235,1.122367,0.012124,0.009223,9.783189,0.012727,0.002460,-0.018619
2026_07_06_14_10_28.562,0.200000,0.98126143,0.19165136,0.01875552,-0.00662932,0.99920857,0.02019923,0.03426711,-0.00582114,0.92645162,-0.37636885,-0.03934918,0.37587151,0.92583597,22.097830,-1.963890,1.158175,0.013110,0.010218,9.783190,0.013702,0.003412,-0.018960
2026_07_06_14_10_28.582,0.220000,0.98127365,0.19157965,0.01873482,-0.00695222,0.99920136,0.02082248,0.03410416,-0.00646564,0.92649782,-0.37624463,-0.03943178,0.37572363,0.92589247,22.088753,-1.954548,1.193909,0.013837,0.011460,9.783006,0.014422,0.004521,-0.019575
2026_07_06_14_10_28.602,0.240000,0.98128539,0.19150923,0.01871398,-0.00727450,0.99919373,0.02144452,0.03394124,-0.00710892,0.92654258,-0.37612268,-0.03951378,0.37557814,0.92594802,22.079824,-1.945207,1.229573,0.014559,0.013262,9.782549,0.015142,0.006046,-0.020654
2026_07_06_14_10_28.627,0.260000,0.98129702,0.19143957,0.01869308,-0.00759669,0.99918574,0.02206641,0.03377831,-0.00775203,0.92658639,-0.37600216,-0.03959553,0.37543413,0.92600292,22.070988,-1.935865,1.265230,0.015443,0.015110,9.782306,0.016014,0.007699,-0.021544
2026_07_06_14_10_28.642,0.280000,0.98130840,0.19136992,0.01867152,-0.00791888,0.99917734,0.02268807,0.03361417,-0.00839540,0.92662966,-0.37588155,-0.03967592,0.37529010,0.92605788,22.062151,-1.926455,1.300873,0.016643,0.016277,9.782250,0.017197,0.008800,-0.021996
2026_07_06_14_10_28.661,0.300000,0.98131984,0.19130027,0.01864983,-0.00824097,0.99916852,0.02330949,0.03344990,-0.00903862,0.92667258,-0.37576088,-0.03975590,0.37514612,0.92611277,22.053314,-1.917037,1.336503,0.018009,0.016922,9.782649,0.018531,0.009591,-0.021826
2026_07_06_14_10_28.681,0.320000,0.98133093,0.19123109,0.01862800,-0.00856296,0.99915934,0.02393070,0.03328547,-0.00968169,0.92671472,-0.37564099,-0.03983548,0.37500292,0.92616737,22.044529,-1.907610,1.372121,0.019307,0.017618,9.782995,0.019798,0.010412,-0.021726
2026_07_06_14_10_28.701,0.340000,0.98134172,0.19116299,0.01860593,-0.00888435,0.99914980,0.02455069,0.03312084,-0.01032363,0.92675555,-0.37552303,-0.03991428,0.37486184,0.92622107,22.035875,-1.898171,1.407669,0.020560,0.018678,9.783040,0.021027,0.011457,-0.022042
