UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_17_00_05.601,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,718.9,22.4,689.3,-0.5,-0.1,-1.8,25,718.9,22.4,689.3,-0.5,-0.1,-1.8,
2026_07_06_17_00_05.621,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,716.9,22,688.9,-0.5,-0.1,-1.6,25,718.839,22.3878,689.288,-0.5,-0.1,-1.79391,
2026_07_06_17_00_05.641,3.869,33.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,717.7,21.9,687.3,-0.4,-0.2,-1.9,25,718.745,22.3611,689.215,-0.496953,-0.103047,-1.79123,
2026_07_06_17_00_05.660,3.869,33.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,717.5,23.8,692.6,-0.4,-0.3,-1.7,25,718.676,22.3909,689.26,-0.491045,-0.112002,-1.79177,
2026_07_06_17_00_05.683,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,716.6,23.4,692.1,-0.7,-0.7,-1.9,25,718.576,22.4646,689.448,-0.494638,-0.135645,-1.79227,
2026_07_06_17_00_05.700,3.869,33.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,716.9,22.9,692.6,-0.8,-0.7,-1.9,25,718.465,22.5064,689.625,-0.510199,-0.170036,-1.79883,
2026_07_06_17_00_05.720,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,717.2,23,687.2,-0.9,-1,-1.7,25,718.379,22.5334,689.642,-0.530905,-0.211471,-1.7989,
2026_07_06_17_00_05.740,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,718.5,21.9,686.5,-0.5,-0.5,-1.8,25,718.347,22.5283,689.472,-0.54121,-0.244288,-1.79592,
2026_07_06_17_00_05.760,3.869,33.1,0,0.759,0,0,0,0, ,0,0,0,0,0, ,718,20.6,686.4,-0.5,-0.2,-1.7,25,718.341,22.4504,689.288,-0.538698,-0.25073,-1.79312,
2026_07_06_17_00_05.780,3.869,33,0,0.762,0,0,0,0, ,0,0,0,0,0, ,718,22.3,689.6,-0.2,0.1,-2,25,718.32,22.3895,689.209,-0.5272,-0.238498,-1.79659,
2026_07_06_17_00_05.799,3.869,33.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,717.8,23.4,693.4,-0.4,-0.2,-1.8,25,718.294,22.4175,689.349,-0.513355,-0.227011,-1.80289,
2026_07_06_17_00_05.819,3.869,33.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,714.5,23,690.4,-0.7,-0.7,-1.7,25,718.164,22.4652,689.504,-0.515588,-0.240599,-1.79967,
2026_07_06_17_00_05.839,3.869,33.3,0,0.76,0,0,0,0, ,0,0,0,0,0, ,715.9,21.9,690.4,-0.9,-1.1,-1.9,25,717.983,22.4643,689.559,-0.532919,-0.280782,-1.79969,
2026_07_06_17_00_05.859,3.869,33.1,0,0.76,0,0,0,0, ,0,0,0,0,0, ,718.9,23.4,689.4,-0.6,-1.3,-1.8,25,717.948,22.4756,689.58,-0.546147,-0.336797,-1.80275,
2026_07_06_17_00_05.878,3.869,33.1,0,0.762,0,0,0,0, ,0,0,0,0,0, ,718.6,23.4,688.3,-0.5,-0.9,-1.6,25,717.997,22.5319,689.535,-0.546382,-0.383304,-1.79649,
