UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_15_24_48.576,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_24_48.607,0.020000,0.99674684,0.07825506,0.01922540,-0.00150940,0.99925619,0.00601794,0.03808947,-0.00000000,0.98774773,-0.15605900,-0.03856194,0.15594292,0.98701304,8.978881,-2.183055,0.345080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_24_48.626,0.040000,0.99675632,0.07814270,0.01916443,-0.00184362,0.99925864,0.00667040,0.03791640,-0.00068016,0.98778063,-0.15584911,-0.03849267,0.15570779,0.98705292,8.965207,-2.173131,0.382492,-0.000555,0.002539,9.809681,-0.000929,0.004012,0.009138
2026_07_06_15_24_48.643,0.060000,0.99676555,0.07803029,0.01910359,-0.00217790,0.99926060,0.00732303,0.03774371,-0.00136040,0.98781306,-0.15563901,-0.03842348,0.15547259,0.98709267,8.951530,-2.163228,0.419913,-0.001148,0.004599,9.809672,-0.001525,0.006038,0.008787
2026_07_06_15_24_48.658,0.080000,0.99677473,0.07791846,0.01904343,-0.00251168,0.99926209,0.00797483,0.03757261,-0.00203949,0.98784482,-0.15542997,-0.03835544,0.15523864,0.98713213,8.937925,-2.153418,0.457285,-0.002127,0.006849,9.809464,-0.002503,0.008218,0.008198
2026_07_06_15_24_48.675,0.100000,0.99678361,0.07780721,0.01898443,-0.00284494,0.99926299,0.00862583,0.03740403,-0.00271733,0.98787588,-0.15522192,-0.03828945,0.15500589,0.98717123,8.924393,-2.143751,0.494612,-0.002905,0.009174,9.809517,-0.003292,0.010512,0.007863
2026_07_06_15_24_48.691,0.120000,0.99679232,0.07769657,0.01892599,-0.00317828,0.99926341,0.00927714,0.03723667,-0.00339520,0.98790628,-0.15501498,-0.03822444,0.15477438,0.98721009,8.910933,-2.134155,0.531957,-0.003468,0.011764,9.809906,-0.003884,0.013123,0.007827
2026_07_06_15_24_48.725,0.140000,0.99680096,0.07758605,0.01886743,-0.00351120,0.99926341,0.00992762,0.03706932,-0.00407223,0.98793614,-0.15480819,-0.03815899,0.15454319,0.98724884,8.897491,-2.124558,0.569254,-0.003682,0.014503,9.810132,-0.004125,0.015858,0.007622
2026_07_06_15_24_48.743,0.160000,0.99680942,0.07747519,0.01880880,-0.00384317,0.99926293,0.01057625,0.03690209,-0.00474738,0.98796564,-0.15460058,-0.03809309,0.15431143,0.98728764,8.884018,-2.114970,0.606443,-0.004209,0.017518,9.809826,-0.004663,0.018779,0.006837
2026_07_06_15_24_48.765,0.180000,0.99681783,0.07736453,0.01875071,-0.00417424,0.99926198,0.01122319,0.03673621,-0.00542063,0.98799461,-0.15439323,-0.03802796,0.15408015,0.98732626,8.870572,-2.105458,0.643537,-0.005089,0.020150,9.809587,-0.005559,0.021328,0.006168
2026_07_06_15_24_48.785,0.200000,0.99682593,0.07725459,0.01869360,-0.00450495,0.99926049,0.01186963,0.03657248,-0.00609296,0.98802286,-0.15418717,-0.03796459,0.15385032,0.98736453,8.857213,-2.096071,0.680601,-0.005478,0.022717,9.809524,-0.005974,0.023845,0.005701
2026_07_06_15_24_48.790,0.220000,0.99683398,0.07714485,0.01863695,-0.00483535,0.99925858,0.01251558,0.03640984,-0.00676460,0.98805058,-0.15398145,-0.03790193,0.15362099,0.98740268,8.843884,-2.086745,0.717637,-0.006100,0.025478,9.809656,-0.006633,0.026580,0.005389
2026_07_06_15_24_48.822,0.240000,0.99684197,0.07703473,0.01858032,-0.00516499,0.99925619,0.01316001,0.03624751,-0.00743470,0.98807794,-0.15377483,-0.03783905,0.15339097,0.98744082,8.830515,-2.077438,0.754587,-0.007553,0.027758,9.809888,-0.008128,0.028844,0.005222
2026_07_06_15_24_48.838,0.260000,0.99684972,0.07692426,0.01852373,-0.00549443,0.99925339,0.01380409,0.03608544,-0.00810439,0.98810494,-0.15356742,-0.03777606,0.15316032,0.98747903,8.817109,-2.068145,0.791515,-0.008810,0.030171,9.809878,-0.009421,0.031204,0.004804
2026_07_06_15_24_48.854,0.280000,0.99685740,0.07681353,0.01846706,-0.00582368,0.99925011,0.01444779,0.03592337,-0.00877371,0.98813152,-0.15335938,-0.03771272,0.15292919,0.98751730,8.803677,-2.058852,0.828422,-0.009341,0.032617,9.809788,-0.009990,0.033592,0.004328
2026_07_06_15_24_48.870,0.300000,0.99686503,0.07670309,0.01841074,-0.00615218,0.99924642,0.01509011,0.03576226,-0.00944146,0.98815757,-0.15315178,-0.03764983,0.15269873,0.98755538,8.790283,-2.049614,0.865249,-0.009562,0.034823,9.809958,-0.010258,0.035786,0.004158
2026_07_06_15_24_48.901,0.320000,0.99687248,0.07659341,0.01835488,-0.00648053,0.99924219,0.01573224,0.03560222,-0.01010879,0.98818290,-0.15294564,-0.03758768,0.15246984,0.98759311,8.776981,-2.040438,0.902066,-0.010237,0.036907,9.810296,-0.010989,0.037880,0.004159
2026_07_06_15_24_48.917,0.340000,0.99687964,0.07648451,0.01829896,-0.00680877,0.99923760,0.01637422,0.03544219,-0.01077587,0.98820752,-0.15274090,-0.03752526,0.15224251,0.98763055,8.763771,-2.031263,0.938875,-0.011077,0.039150,9.810765,-0.011894,0.040146,0.004259
2026_07_06_15_24_48.933,0.360000,0.99688661,0.07637645,0.01824342,-0.00713686,0.99923247,0.01701602,0.03528306,-0.01144255,0.98823142,-0.15253772,-0.03746341,0.15201692,0.98766762,8.750663,-2.022139,0.975673,-0.011330,0.041812,9.810887,-0.012208,0.042782,0.003976
2026_07_06_15_24_48.956,0.380000,0.99689347,0.07626924,0.01818827,-0.00746535,0.99922693,0.01765873,0.03512477,-0.01210991,0.98825455,-0.15233617,-0.03740228,0.15179305,0.98770440,8.737655,-2.013063,1.012523,-0.011564,0.044562,9.810932,-0.012503,0.045494,0.003602
2026_07_06_15_24_48.982,0.400000,0.99690008,0.07616223,0.01813298,-0.00779371,0.99922091,0.01830120,0.03496637,-0.01277701,0.98827714,-0.15213491,-0.03734072,0.15156962,0.98774099,8.724673,-2.003982,1.049359,-0.012143,0.046891,9.811165,-0.013149,0.047812,0.003469
2026_07_06_15_24_48.997,0.420000,0.99690670,0.07605492,0.01807811,-0.00812138,0.99921447,0.01894238,0.03480904,-0.01344266,0.98829937,-0.15193297,-0.03727973,0.15134569,0.98777765,8.711663,-1.994961,1.086121,-0.012869,0.049195,9.811172,-0.013937,0.050067,0.003113
2026_07_06_15_24_49.012,0.440000,0.99691319,0.07594738,0.01802419,-0.00844835,0.99920750,0.01958233,0.03465383,-0.01410677,0.98832124,-0.15173045,-0.03722036,0.15112135,0.98781425,8.698630,-1.986062,1.122814,-0.013673,0.051584,9.811436,-0.014816,0.052442,0.002995
2026_07_06_15_24_49.033,0.460000,0.99691945,0.07584012,0.01797055,-0.00877472,0.99920011,0.02022116,0.03449943,-0.01476961,0.98834258,-0.15152834,-0.03716133,0.15089761,0.98785067,8.685633,-1.977209,1.159442,-0.014132,0.053722,9.811605,-0.015345,0.054561,0.002836
2026_07_06_15_24_49.060,0.480000,0.99692559,0.07573314,0.01791664,-0.00910109,0.99919236,0.02085999,0.03434461,-0.01543245,0.98836333,-0.15132673,-0.03710163,0.15067448,0.98788697,8.672671,-1.968333,1.196070,-0.014286,0.055865,9.811299,-0.015556,0.056620,0.002217
2026_07_06_15_24_49.076,0.500000,0.99693167,0.07562653,0.01786309,-0.00942742,0.99918407,0.02149883,0.03419064,-0.01609514,0.98838353,-0.15112577,-0.03704249,0.15045215,0.98792309,8.659756,-1.959506,1.232699,-0.014827,0.058334,9.811286,-0.016172,0.059036,0.001826
2026_07_06_15_24_49.092,0.520000,0.99693745,0.07552084,0.01781030,-0.00975315,0.99917531,0.02213665,0.03403838,-0.01675646,0.98840296,-0.15092652,-0.03698465,0.15023170,0.98795879,8.646952,-1.950776,1.269269,-0.014997,0.060851,9.811089,-0.016415,0.061479,0.001261
2026_07_06_15_24_49.108,0.540000,0.99694312,0.07541605,0.01775819,-0.01007831,0.99916613,0.02277350,0.03388769,-0.01741649,0.98842168,-0.15072897,-0.03692795,0.15001309,0.98799413,8.634254,-1.942136,1.305785,-0.014997,0.063307,9.810835,-0.016487,0.063858,0.000654
2026_07_06_15_24_49.142,0.560000,0.99694866,0.07531149,0.01770683,-0.01040293,0.99915648,0.02340943,0.03373868,-0.01807532,0.98843992,-0.15053178,-0.03687252,0.14979498,0.98802930,8.621588,-1.933594,1.342247,-0.015515,0.065283,9.810904,-0.017084,0.065798,0.000422
2026_07_06_15_24_49.158,0.580000,0.99695396,0.07520714,0.01765620,-0.01072706,0.99914640,0.02404451,0.03359134,-0.01873302,0.98845762,-0.15033492,-0.03681834,0.14957732,0.98806429,8.608948,-1.925146,1.378661,-0.016156,0.067076,9.810459,-0.017784,0.067478,-0.000293
2026_07_06_15_24_49.175,0.600000,0.99695909,0.07510315,0.01760567,-0.01105075,0.99913585,0.02467877,0.03344437,-0.01938980,0.98847479,-0.15013865,-0.03676416,0.14936042,0.98809910,8.596352,-1.916720,1.415029,-0.016439,0.069559,9.810130,-0.018146,0.069865,-0.000983
2026_07_06_15_24_49.191,0.620000,0.99696428,0.07499897,0.01755468,-0.01137406,0.99912494,0.02531222,0.03329669,-0.02004589,0.98849159,-0.14994192,-0.03670886,0.14914325,0.98813397,8.583740,-1.908253,1.451350,-0.016553,0.071953,9.810076,-0.018350,0.072208,-0.001384
2026_07_06_15_24_49.207,0.640000,0.99696922,0.07489458,0.01750381,-0.01169697,0.99911362,0.02594492,0.03314943,-0.02070116,0.98850799,-0.14974466,-0.03665359,0.14892569,0.98816884,8.571107,-1.899811,1.487628,-0.016811,0.074083,9.809929,-0.018694,0.074274,-0.001840
2026_07_06_15_24_49.241,0.660000,0.99697417,0.07478999,0.01745308,-0.01202004,0.99910182,0.02657797,0.03300259,-0.02135671,0.98852396,-0.14954695,-0.03659851,0.14870781,0.98820370,8.558456,-1.891392,1.523927,-0.016989,0.076091,9.809826,-0.018958,0.076227,-0.002231
2026_07_06_15_24_49.258,0.680000,0.99697888,0.07468524,0.01740204,-0.01234330,0.99908960,0.02721138,0.03285521,-0.02201268,0.98853952,-0.14934881,-0.03654265,0.14848961,0.98823857,8.545787,-1.882942,1.560247,-0.017515,0.078150,9.809744,-0.019576,0.078225,-0.002618
2026_07_06_15_24_49.274,0.700000,0.99698365,0.07458043,0.01735073,-0.01266675,0.99907702,0.02784513,0.03270741,-0.02266903,0.98855460,-0.14915049,-0.03648617,0.14827138,0.98827344,8.533115,-1.874469,1.596587,-0.018200,0.080600,9.809971,-0.020374,0.080649,-0.002763
2026_07_06_15_24_49.290,0.720000,0.99698818,0.07447559,0.01729910,-0.01299036,0.99906397,0.02847919,0.03255906,-0.02332575,0.98856926,-0.14895201,-0.03642892,0.14805311,0.98830825,8.520443,-1.865964,1.632944,-0.018455,0.083017,9.810226,-0.020747,0.083056,-0.002860
2026_07_06_15_24_49.308,0.740000,0.99699259,0.07437067,0.01724709,-0.01331359,0.99905056,0.02911246,0.03241016,-0.02398174,0.98858351,-0.14875326,-0.03637073,0.14783478,0.98834306,8.507767,-1.857428,1.669257,-0.018521,0.084985,9.809907,-0.020901,0.084940,-0.003450
2026_07_06_15_24_49.340,0.760000,0.99699700,0.07426581,0.01719483,-0.01363700,0.99903673,0.02974607,0.03226085,-0.02463812,0.98859727,-0.14855455,-0.03631191,0.14761661,0.98837787,8.495100,-1.848868,1.705589,-0.018821,0.087331,9.809426,-0.021297,0.087166,-0.004263
2026_07_06_15_24_49.430,0.780000,0.99700129,0.07416099,0.01714236,-0.01396058,0.99902248,0.03038002,0.03211125,-0.02529484,0.98861051,-0.14835586,-0.03625257,0.14739858,0.98841256,8.482442,-1.840291,1.741942,-0.019308,0.089653,9.809099,-0.021887,0.089386,-0.004928
2026_07_06_15_24_49.432,0.800000,0.99700528,0.07405671,0.01708971,-0.01428380,0.99900782,0.03101327,0.03196145,-0.02595084,0.98862314,-0.14815807,-0.03619269,0.14718166,0.98844707,8.469849,-1.831703,1.778254,-0.020073,0.091626,9.808838,-0.022751,0.091261,-0.005482
2026_07_06_15_24_49.433,0.820000,0.99700928,0.07395300,0.01703696,-0.01460722,0.99899274,0.03164694,0.03181151,-0.02660720,0.98863518,-0.14796139,-0.03613251,0.14696594,0.98848140,8.457324,-1.823107,1.814591,-0.020845,0.093778,9.808619,-0.023631,0.093319,-0.006019
2026_07_06_15_24_49.434,0.840000,0.99701303,0.07384934,0.01698405,-0.01493081,0.99897724,0.03228094,0.03166137,-0.02726389,0.98864669,-0.14776468,-0.03607189,0.14675033,0.98851562,8.444808,-1.814500,1.850947,-0.021271,0.096054,9.808329,-0.024169,0.095499,-0.006634
2026_07_06_15_24_49.441,0.860000,0.99701661,0.07374632,0.01693155,-0.01525452,0.99896127,0.03291530,0.03151214,-0.02792075,0.98865753,-0.14756916,-0.03601200,0.14653604,0.98854959,8.432368,-1.805945,1.887325,-0.021841,0.098488,9.807905,-0.024853,0.097811,-0.007407
2026_07_06_15_24_49.460,0.880000,0.99702013,0.07364388,0.01687950,-0.01557889,0.99894476,0.03355108,0.03136383,-0.02857879,0.98866773,-0.14737478,-0.03595299,0.14632294,0.98858333,8.419998,-1.797442,1.923785,-0.022499,0.100705,9.807995,-0.025641,0.099979,-0.007645
2026_07_06_15_24_49.476,0.900000,0.99702340,0.07354140,0.01682729,-0.01590390,0.99892783,0.03418813,0.03121522,-0.02923812,0.98867744,-0.14718021,-0.03589360,0.14610974,0.98861700,8.407623,-1.788923,1.960317,-0.022807,0.102756,9.808493,-0.026092,0.102053,-0.007440
2026_07_06_15_24_49.492,0.920000,0.99702650,0.07343943,0.01677494,-0.01622952,0.99891043,0.03482641,0.03106634,-0.02989864,0.98868650,-0.14698663,-0.03583389,0.14589763,0.98865050,8.395311,-1.780388,1.996921,-0.023173,0.104683,9.808551,-0.026584,0.103939,-0.007653
2026_07_06_15_24_49.512,0.940000,0.99702948,0.07333858,0.01672303,-0.01655516,0.99889255,0.03546485,0.03091844,-0.03055908,0.98869479,-0.14679515,-0.03577497,0.14568773,0.98868358,8.383128,-1.771909,2.033535,-0.023981,0.106784,9.808495,-0.027522,0.105964,-0.008018
2026_07_06_15_24_49.535,0.960000,0.99703223,0.07323827,0.01667146,-0.01688027,0.99887425,0.03610232,0.03077140,-0.03121837,0.98870242,-0.14660466,-0.03571653,0.14547899,0.98871642,8.371014,-1.763480,2.070094,-0.024526,0.109094,9.808948,-0.028224,0.108278,-0.007901
2026_07_06_15_24_49.558,0.980000,0.99703497,0.07313792,0.01661969,-0.01720545,0.99885553,0.03673993,0.03062409,-0.03187782,0.98870963,-0.14641401,-0.03565757,0.14527023,0.98874927,8.358896,-1.755035,2.106660,-0.024832,0.111196,9.809425,-0.028684,0.110397,-0.007722
2026_07_06_15_24_49.578,1.000000,0.99703747,0.07303748,0.01656776,-0.01753122,0.99883634,0.03737870,0.03047649,-0.03253843,0.98871636,-0.14622311,-0.03559824,0.14506130,0.98878205,8.346771,-1.746573,2.143295,-0.025083,0.112931,9.809483,-0.029066,0.112095,-0.007901
2026_07_06_15_24_49.592,1.020000,0.99703997,0.07293686,0.01651571,-0.01785702,0.99881673,0.03801753,0.03032877,-0.03319911,0.98872268,-0.14603178,-0.03553851,0.14485209,0.98881489,8.334630,-1.738105,2.179933,-0.025578,0.114037,9.809537,-0.029673,0.113160,-0.007998
2026_07_06_15_24_49.611,1.040000,0.99704224,0.07283662,0.01646352,-0.01818232,0.99879670,0.03865538,0.03018096,-0.03385879,0.98872846,-0.14584105,-0.03547832,0.14464368,0.98884755,8.322535,-1.729632,2.216516,-0.026280,0.115124,9.809731,-0.030492,0.114218,-0.007960
2026_07_06_15_24_49.635,1.060000,0.99704444,0.07273690,0.01641120,-0.01850664,0.99877638,0.03929128,0.03003316,-0.03451648,0.98873371,-0.14565127,-0.03541762,0.14443640,0.98888004,8.310506,-1.721159,2.252987,-0.027064,0.116950,9.809986,-0.031421,0.116011,-0.007972
2026_07_06_15_24_49.657,1.080000,0.99704641,0.07263777,0.01635875,-0.01883002,0.99875563,0.03992534,0.02988532,-0.03517228,0.98873836,-0.14546253,-0.03535640,0.14423038,0.98891228,8.298551,-1.712684,2.289353,-0.027733,0.119196,9.810041,-0.032246,0.118195,-0.008237
2026_07_06_15_24_49.676,1.100000,0.99704832,0.07253974,0.01630673,-0.01915355,0.99873447,0.04055981,0.02973841,-0.03582827,0.98874223,-0.14527591,-0.03529598,0.14402659,0.98894417,8.286725,-1.704262,2.325744,-0.028135,0.121377,9.810259,-0.032810,0.120346,-0.008325
2026_07_06_15_24_49.695,1.120000,0.99704987,0.07244273,0.01625511,-0.01947722,0.99871284,0.04119466,0.02959234,-0.03648440,0.98874539,-0.14509124,-0.03523627,0.14382482,0.98897564,8.275017,-1.695889,2.362157,-0.028488,0.123506,9.810821,-0.033339,0.122499,-0.008061
2026_07_06_15_24_49.715,1.140000,0.99705136,0.07234678,0.01620337,-0.01980107,0.99869072,0.04182988,0.02944609,-0.03714084,0.98874772,-0.14490859,-0.03517627,0.14362521,0.98900682,8.263434,-1.687505,2.398593,-0.028998,0.125942,9.810976,-0.034024,0.124888,-0.008250
2026_07_06_15_24_49.735,1.160000,0.99705255,0.07225136,0.01615211,-0.02012555,0.99866813,0.04246649,0.02930081,-0.03779844,0.98874938,-0.14472693,-0.03511720,0.14342666,0.98903769,8.251913,-1.679176,2.435108,-0.029492,0.128563,9.810849,-0.034693,0.127420,-0.008740
2026_07_06_15_24_49.743,1.180000,0.99705368,0.07215641,0.01610123,-0.02045011,0.99864507,0.04310333,0.02915637,-0.03845610,0.98875052,-0.14454617,-0.03505880,0.14322908,0.98906839,8.240451,-1.670897,2.471637,-0.029801,0.130809,9.810856,-0.035172,0.129608,-0.009039
2026_07_06_15_24_49.776,1.200000,0.99705458,0.07206189,0.01605073,-0.02077421,0.99862158,0.04373933,0.02901286,-0.03911275,0.98875105,-0.14436616,-0.03500097,0.14303239,0.98909891,8.229038,-1.662670,2.508120,-0.030365,0.132810,9.810595,-0.035889,0.131503,-0.009575
2026_07_06_15_24_49.793,1.220000,0.99705547,0.07196730,0.01600119,-0.02109836,0.99859762,0.04437561,0.02887137,-0.03976935,0.98875111,-0.14418599,-0.03494494,0.14283559,0.98912936,8.217621,-1.654559,2.544619,-0.030992,0.134865,9.810208,-0.036669,0.133431,-0.010244
2026_07_06_15_24_49.809,1.240000,0.99705619,0.07187317,0.01595197,-0.02142314,0.99857318,0.04501319,0.02873053,-0.04042711,0.98875058,-0.14400667,-0.03488953,0.14263970,0.98915958,8.206257,-1.646486,2.581193,-0.031164,0.136786,9.809509,-0.036981,0.135201,-0.011188
2026_07_06_15_24_49.835,1.260000,0.99705666,0.07177947,0.01590247,-0.02174800,0.99854827,0.04565093,0.02858921,-0.04108504,0.98874944,-0.14382809,-0.03483345,0.14244470,0.98918962,8.194946,-1.638385,2.617778,-0.031265,0.138601,9.808893,-0.037224,0.136881,-0.012031
2026_07_06_15_24_49.844,1.280000,0.99705702,0.07168569,0.01585334,-0.02207238,0.99852294,0.04628776,0.02844882,-0.04174193,0.98874795,-0.14364929,-0.03477791,0.14224960,0.98921967,8.183629,-1.630337,2.654312,-0.032007,0.140689,9.808794,-0.038138,0.138876,-0.012422
2026_07_06_15_24_49.875,1.300000,0.99705726,0.07159191,0.01580505,-0.02239680,0.99849719,0.04692480,0.02831023,-0.04239875,0.98874599,-0.14347042,-0.03472395,0.14205448,0.98924959,8.172311,-1.622393,2.690858,-0.032373,0.142871,9.808732,-0.038685,0.140985,-0.012775
2026_07_06_15_24_49.892,1.320000,0.99705750,0.07149807,0.01575695,-0.02272127,0.99847090,0.04756201,0.02817211,-0.04305565,0.98874354,-0.14329141,-0.03467022,0.14185935,0.98927951,8.160994,-1.614475,2.727415,-0.032244,0.144741,9.808495,-0.038721,0.142783,-0.013247
2026_07_06_15_24_49.909,1.340000,0.99705744,0.07140473,0.01570851,-0.02304533,0.99844432,0.04819836,0.02803349,-0.04371171,0.98874056,-0.14311324,-0.03461567,0.14166521,0.98930919,8.149733,-1.606529,2.763923,-0.032574,0.146512,9.808236,-0.039213,0.144459,-0.013733
2026_07_06_15_24_49.933,1.360000,0.99705738,0.07131188,0.01565980,-0.02336899,0.99841732,0.04883391,0.02789447,-0.04436699,0.98873699,-0.14293596,-0.03456042,0.14147216,0.98933876,8.138536,-1.598560,2.800387,-0.033014,0.148467,9.808232,-0.039834,0.146348,-0.013998
2026_07_06_15_24_49.943,1.380000,0.99705708,0.07121959,0.01561074,-0.02369228,0.99838996,0.04946869,0.02775488,-0.04502153,0.98873287,-0.14275971,-0.03450430,0.14128029,0.98936814,8.127409,-1.590559,2.836807,-0.032967,0.150770,9.808084,-0.039981,0.148583,-0.014441
2026_07_06_15_24_49.974,1.400000,0.99705660,0.07112781,0.01556192,-0.02401570,0.99836212,0.05010379,0.02761586,-0.04567626,0.98872817,-0.14258437,-0.03444859,0.14108945,0.98939735,8.116341,-1.582590,2.873247,-0.032925,0.152719,9.807866,-0.040118,0.150458,-0.014903
