UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_18_05_18.401,3.868,60.6,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,224.6,16.7,-1031.8,15.5,29.5,3.5,25,37.1501,-5.65584,-49.5924,11.881,21.3758,3.30729
2026_06_10_18_05_18.407,3.868,60.6,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,252.4,-4.7,-979.6,21.2,36,4.8,25,61.8393,-26.0592,4.0392,16.6834,26.3751,4.36614
2026_06_10_18_05_18.434,3.868,60.6,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,266.3,-17,-962.2,22,40.3,5.1,25,71.5474,-36.3964,20.6629,16.4423,28.9369,4.39094
2026_06_10_18_05_18.446,3.868,60.6,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,286.6,-15,-994.1,25.2,42.3,4.5,25,86.869,-32.2394,-11.5243,18.5429,29.1126,3.54165
2026_06_10_18_05_18.473,3.868,60.6,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,311.5,-31.6,-991.5,31.5,46,6.1,25,105.717,-46.3691,-8.30126,23.521,30.9258,4.87708
2026_06_10_18_05_18.486,3.868,60.6,0,0.777,0,0,0,0.022, ,0,0,0,0,0, ,317.1,-49.5,-969.9,38.7,55.2,7.4,25,104.704,-60.8981,13.1464,29.0683,37.961,5.84027
2026_06_10_18_05_18.514,3.868,60.6,0,0.78,0,0,0,0.021, ,0,0,0,0,0, ,339.8,-76,-938.4,36.8,66,8.9,25,120.332,-82.8797,42.8856,25.4548,46.1187,6.93868
2026_06_10_18_05_18.526,3.868,60.6,0,0.781,0,0,0,0.021, ,0,0,0,0,0, ,354.2,-79.2,-925.5,34.7,65.7,9.9,25,126.96,-80.9317,52.7792,21.8677,43.0174,7.48538
2026_06_10_18_05_18.553,3.868,60.5,0,0.779,0,0,0,0.021, ,0,0,0,0,0, ,370.8,-90.9,-905.5,32.9,63.6,8.5,25,135.318,-87.3434,68.9536,18.79,38.3601,5.6719
2026_06_10_18_05_18.565,3.868,60.5,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,423.4,-114,-906,32.8,60.9,9.1,25,178.069,-104.417,64.267,17.548,33.4048,5.90799
2026_06_10_18_05_18.593,3.868,60.5,0,0.781,0,0,0,0.022, ,0,0,0,0,0, ,477.1,-131.1,-905.1,31.6,67.7,14.3,25,219.282,-114.633,61.2233,15.3152,37.962,10.5895
2026_06_10_18_05_18.605,3.868,60.5,0,0.782,0,0,0,0.022, ,0,0,0,0,0, ,469.3,-137.8,-853.7,32.2,81.2,20.7,25,198.357,-114.144,107.326,14.9637,48.7373,16.1492
2026_06_10_18_05_18.632,3.868,60.5,0,0.78,0,0,0,0.022, ,0,0,0,0,0, ,424.4,-109.8,-881.7,31.8,81.2,20.2,25,142.738,-80.0411,73.6393,13.664,45.7674,14.6804
2026_06_10_18_05_18.645,3.868,60.5,0,0.779,0,0,0,0.022, ,0,0,0,0,0, ,458.1,-131.1,-834.3,33.5,70.2,11.2,25,166.713,-95.8146,115.108,14.4796,32.3136,5.06
