UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_16_23_28.406,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_16_23_28.419,0.020000,0.69684106,0.17016231,-0.67685950,0.16528299,0.02908546,-0.46070391,-0.88707715,0.00000001,0.88745266,-0.46089888,0.99957687,0.01340543,0.02581197,27.447096,62.512836,-86.393929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_16_23_28.423,0.040000,0.69683176,0.17031923,-0.67690468,0.16497546,0.02916628,-0.46050006,-0.88718039,-0.00065948,0.88754892,-0.46071303,0.99957436,0.01402238,0.02558285,28.729986,62.525650,-86.382317,0.001992,-0.006886,9.720012,-0.079892,-0.008151,-0.000642
2026_07_06_16_23_28.434,0.060000,0.69682348,0.17047349,-0.67694849,0.16467133,0.02924818,-0.46029723,-0.88728303,-0.00130983,0.88764429,-0.46052787,0.99957138,0.01463184,0.02535909,29.986544,62.538403,-86.370567,0.003505,-0.014247,9.719969,-0.079877,-0.015432,0.001421
2026_07_06_16_23_28.455,0.080000,0.69681567,0.17062683,-0.67699122,0.16436943,0.02933109,-0.46009612,-0.88738453,-0.00195535,0.88773835,-0.46034423,0.99956787,0.01523757,0.02513874,31.223989,62.551010,-86.358696,0.003959,-0.021458,9.720043,-0.079764,-0.022089,0.004355
2026_07_06_16_23_28.474,0.100000,0.69681001,0.17077944,-0.67703158,0.16406886,0.02941930,-0.45989579,-0.88748562,-0.00259650,0.88783157,-0.46016124,0.99956393,0.01584205,0.02492523,32.441730,62.563580,-86.346169,0.004864,-0.027516,9.719443,-0.080311,-0.027943,0.006338
2026_07_06_16_23_28.494,0.120000,0.69680691,0.17092969,-0.67706907,0.16377044,0.02951348,-0.45969516,-0.88758636,-0.00322966,0.88792455,-0.45997778,0.99955928,0.01644218,0.02472109,33.630653,62.576107,-86.332878,0.004849,-0.033436,9.718932,-0.080784,-0.033251,0.009072
2026_07_06_16_23_28.514,0.140000,0.69680500,0.17107716,-0.67710513,0.16347539,0.02960885,-0.45949540,-0.88768667,-0.00385350,0.88801682,-0.45979488,0.99955434,0.01703478,0.02452248,34.788719,62.588589,-86.319443,0.004232,-0.040235,9.718792,-0.080894,-0.039058,0.012752
2026_07_06_16_23_28.533,0.160000,0.69680357,0.17122358,-0.67714018,0.16318262,0.02970523,-0.45929718,-0.88778597,-0.00447227,0.88810784,-0.45961341,0.99954885,0.01762339,0.02432728,35.923321,62.600952,-86.305885,0.004053,-0.046998,9.718645,-0.080990,-0.045035,0.016024
2026_07_06_16_23_28.554,0.180000,0.69680297,0.17136961,-0.67717391,0.16289137,0.02980375,-0.45910046,-0.88788432,-0.00508767,0.88819772,-0.45943329,0.99954289,0.01821014,0.02413589,37.036701,62.613194,-86.292053,0.004806,-0.053506,9.718179,-0.081370,-0.051220,0.018340
2026_07_06_16_23_28.573,0.200000,0.69680363,0.17151546,-0.67720598,0.16260138,0.02990568,-0.45890504,-0.88798183,-0.00570013,0.88828647,-0.45925444,0.99953645,0.01879594,0.02394903,38.128731,62.625343,-86.277802,0.006009,-0.060277,9.717750,-0.081690,-0.057847,0.020376
2026_07_06_16_23_28.593,0.220000,0.69680583,0.17166112,-0.67723638,0.16231187,0.03001153,-0.45871001,-0.88807923,-0.00631060,0.88837463,-0.45907596,0.99952978,0.01938194,0.02376670,39.200420,62.637482,-86.263054,0.006153,-0.067095,9.717195,-0.082162,-0.064034,0.023370
2026_07_06_16_23_28.612,0.240000,0.69680810,0.17180611,-0.67726636,0.16202323,0.03011751,-0.45851520,-0.88817620,-0.00691879,0.88846225,-0.45889753,0.99952257,0.01996602,0.02358586,40.251720,62.649570,-86.248283,0.005949,-0.073506,9.716800,-0.082477,-0.069697,0.026485
2026_07_06_16_23_28.632,0.260000,0.69680995,0.17195131,-0.67729640,0.16173534,0.03022254,-0.45832157,-0.88827252,-0.00752641,0.88854885,-0.45872030,0.99951494,0.02054924,0.02340472,41.286030,62.661587,-86.233627,0.007395,-0.079162,9.716497,-0.082644,-0.075445,0.027790
2026_07_06_16_23_28.652,0.280000,0.69681203,0.17209618,-0.67732579,0.16144867,0.03032821,-0.45812911,-0.88836813,-0.00813159,0.88863444,-0.45854408,0.99950695,0.02113068,0.02322537,42.299370,62.673515,-86.218887,0.008435,-0.084395,9.715984,-0.083034,-0.080636,0.029254
2026_07_06_16_23_28.672,0.300000,0.69681519,0.17224012,-0.67735386,0.16116382,0.03043598,-0.45793784,-0.88846320,-0.00873221,0.88871914,-0.45836896,0.99949867,0.02170919,0.02305019,43.287106,62.685379,-86.203880,0.008755,-0.090336,9.715514,-0.083390,-0.086127,0.031682
2026_07_06_16_23_28.692,0.320000,0.69681978,0.17238329,-0.67738020,0.16087979,0.03054750,-0.45774651,-0.88855785,-0.00932962,0.88880336,-0.45819375,0.99948984,0.02228659,0.02288008,44.250443,62.697201,-86.188400,0.009594,-0.096952,9.715104,-0.083656,-0.092455,0.033956
2026_07_06_16_23_28.711,0.340000,0.69682580,0.17252615,-0.67740494,0.16059613,0.03066289,-0.45755517,-0.88865238,-0.00992508,0.88888723,-0.45801860,0.99948055,0.02286412,0.02271456,45.191341,62.709011,-86.172417,0.011046,-0.102833,9.714523,-0.084075,-0.098415,0.035342
2026_07_06_16_23_28.731,0.360000,0.69683278,0.17266877,-0.67742860,0.16031279,0.03078061,-0.45736393,-0.88874686,-0.01051912,0.88897061,-0.45784345,0.99947095,0.02344158,0.02255195,46.111500,62.720818,-86.156143,0.012905,-0.108487,9.714199,-0.084220,-0.104356,0.036266
2026_07_06_16_23_28.751,0.380000,0.69683999,0.17281045,-0.67745197,0.16002965,0.03089869,-0.45717168,-0.88884163,-0.01111144,0.88905412,-0.45766726,0.99946082,0.02401766,0.02239078,47.011181,62.732666,-86.139793,0.013626,-0.115062,9.713879,-0.084376,-0.110594,0.038621
2026_07_06_16_23_28.771,0.400000,0.69684672,0.17295140,-0.67747581,0.15974656,0.03101516,-0.45697850,-0.88893682,-0.01170306,0.88913769,-0.45749009,0.99945039,0.02459237,0.02222872,47.893513,62.744572,-86.123627,0.014346,-0.121505,9.713243,-0.084842,-0.116724,0.040907
2026_07_06_16_23_28.796,0.420000,0.69685334,0.17309166,-0.67749989,0.15946355,0.03113055,-0.45678461,-0.88903248,-0.01229374,0.88922131,-0.45731211,0.99943972,0.02516593,0.02206635,48.758190,62.756542,-86.107574,0.015697,-0.126871,9.712692,-0.085211,-0.122184,0.042138
2026_07_06_16_23_28.811,0.440000,0.69686174,0.17323120,-0.67752212,0.15918072,0.03125054,-0.45658982,-0.88912833,-0.01288204,0.88930488,-0.45713329,0.99942863,0.02573948,0.02190942,49.599258,62.768543,-86.090927,0.016534,-0.132080,9.712276,-0.085458,-0.127267,0.043756
2026_07_06_16_23_28.830,0.460000,0.69687194,0.17336991,-0.67754251,0.15889816,0.03137505,-0.45639431,-0.88922441,-0.01346764,0.88938850,-0.45695376,0.99941707,0.02631274,0.02175802,50.416344,62.780571,-86.073700,0.016670,-0.138218,9.711889,-0.085678,-0.132857,0.046419
2026_07_06_16_23_28.851,0.480000,0.69688272,0.17350914,-0.67756212,0.15861528,0.03150159,-0.45619893,-0.88932025,-0.01405394,0.88947153,-0.45677444,0.99940503,0.02688763,0.02160835,51.216526,62.792580,-86.056206,0.017481,-0.144367,9.711588,-0.085783,-0.138763,0.048486
2026_07_06_16_23_28.871,0.500000,0.69689286,0.17364915,-0.67758209,0.15833172,0.03162718,-0.45600361,-0.88941592,-0.01464261,0.88955408,-0.45659518,0.99939257,0.02746423,0.02145702,52.004333,62.804565,-86.038811,0.018980,-0.149239,9.711829,-0.085334,-0.143833,0.049369
2026_07_06_16_23_28.890,0.520000,0.69690228,0.17378874,-0.67760277,0.15804800,0.03175062,-0.45580751,-0.88951194,-0.01523145,0.88963664,-0.45641506,0.99937975,0.02804001,0.02130389,52.777489,62.816608,-86.021667,0.020684,-0.154306,9.712068,-0.084870,-0.149170,0.050156
2026_07_06_16_23_28.909,0.540000,0.69691241,0.17392680,-0.67762285,0.15776536,0.03187472,-0.45561081,-0.88960832,-0.01581629,0.88971913,-0.45623434,0.99936682,0.02861266,0.02115351,53.528202,62.828701,-86.004417,0.022242,-0.159843,9.712521,-0.084188,-0.154852,0.051288
