UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h,
2026_07_06_20_39_21.698,3.866,33.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-39,251.4,968.5,-0.6,-0.6,-1.8,25,-39,251.4,968.5,-0.6,-0.6,-1.8,
2026_07_06_20_39_21.717,3.866,33.2,0,0.76,0,0,0,0, ,0,0,0,0,0, ,-38.9,250.9,968.5,-0.6,-0.5,-1.8,25,-38.997,251.385,968.5,-0.6,-0.596953,-1.8,
2026_07_06_20_39_21.737,3.866,33.2,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39.1,251.7,969.9,-0.6,-0.6,-1.8,25,-38.9971,251.38,968.543,-0.6,-0.594092,-1.8,
2026_07_06_20_39_21.757,3.866,33.2,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-40.2,250.1,968.5,-0.6,-0.6,-1.8,25,-39.0369,251.35,968.583,-0.6,-0.594452,-1.8,
2026_07_06_20_39_21.783,3.866,33.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-38.9,250.1,969.4,-0.6,-0.5,-1.7,25,-39.0682,251.274,968.605,-0.6,-0.591743,-1.79695,
2026_07_06_20_39_21.797,3.866,33.3,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39.1,250.4,968.3,-0.6,-0.6,-1.7,25,-39.064,251.212,968.62,-0.6,-0.589199,-1.79105,
2026_07_06_20_39_21.816,3.866,33.2,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-38.9,249,967.4,-0.5,-0.6,-1.7,25,-39.0601,251.12,968.573,-0.596953,-0.589858,-1.7855,
2026_07_06_20_39_21.836,3.866,33.2,0,0.762,0,0,0,0, ,0,0,0,0,0, ,-39.3,249.2,968.3,-0.5,-0.6,-1.8,25,-39.0626,250.997,968.529,-0.591045,-0.590476,-1.78333,
2026_07_06_20_39_21.856,3.866,33.1,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-39.7,249.7,968.9,-0.6,-0.6,-1.8,25,-39.0892,250.902,968.533,-0.588544,-0.591056,-1.78435,
2026_07_06_20_39_21.876,3.866,33.2,0,0.761,0,0,0,0, ,0,0,0,0,0, ,-38.3,251.3,967,-0.6,-0.6,-1.8,25,-39.0838,250.878,968.498,-0.589242,-0.591601,-1.7853,
