UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_15_23_49.090,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_23_49.097,0.020000,0.99668086,0.07917343,0.01888203,-0.00149993,0.99928242,0.00597982,0.03740120,0.00000000,0.98745865,-0.15787792,-0.03787622,0.15776464,0.98675007,9.084414,-2.143589,0.342886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_23_49.100,0.040000,0.99669135,0.07904582,0.01883802,-0.00183269,0.99928355,0.00663138,0.03726165,-0.00067511,0.98749679,-0.15763761,-0.03784111,0.15749951,0.98679376,9.069006,-2.135587,0.380245,-0.001545,0.002377,9.814430,-0.002092,0.004610,0.013807
2026_07_06_15_23_49.108,0.060000,0.99670148,0.07891908,0.01879417,-0.00216498,0.99928421,0.00728212,0.03712264,-0.00134924,0.98753417,-0.15739891,-0.03780607,0.15723616,0.98683709,9.053702,-2.127616,0.417557,-0.002236,0.004339,9.813761,-0.002761,0.006432,0.012815
2026_07_06_15_23_49.121,0.080000,0.99671161,0.07879272,0.01874989,-0.00249634,0.99928445,0.00793098,0.03698307,-0.00202156,0.98757094,-0.15716085,-0.03776985,0.15697363,0.98688030,9.038446,-2.119613,0.454761,-0.002819,0.006457,9.813299,-0.003332,0.008442,0.012006
2026_07_06_15_23_49.141,0.100000,0.99672145,0.07866672,0.01870471,-0.00282740,0.99928427,0.00857914,0.03684193,-0.00269338,0.98760712,-0.15692338,-0.03773162,0.15671185,0.98692334,9.023234,-2.111521,0.491925,-0.003391,0.008665,9.813207,-0.003910,0.010599,0.011550
2026_07_06_15_23_49.161,0.120000,0.99673122,0.07854154,0.01865921,-0.00315867,0.99928373,0.00922773,0.03670027,-0.00336564,0.98764253,-0.15668750,-0.03769261,0.15645173,0.98696613,9.008119,-2.103398,0.529113,-0.003633,0.010388,9.812971,-0.004154,0.012256,0.011041
2026_07_06_15_23_49.181,0.140000,0.99674082,0.07841716,0.01861339,-0.00348960,0.99928272,0.00987568,0.03655816,-0.00403724,0.98767716,-0.15645307,-0.03765274,0.15619326,0.98700857,8.993100,-2.095249,0.566264,-0.003979,0.012208,9.812760,-0.004505,0.014011,0.010540
2026_07_06_15_23_49.201,0.160000,0.99675018,0.07829312,0.01856742,-0.00382075,0.99928129,0.01052407,0.03641589,-0.00470926,0.98771119,-0.15621926,-0.03761245,0.15593548,0.98705089,8.978121,-2.087092,0.603441,-0.004898,0.014578,9.812422,-0.005430,0.016285,0.009806
2026_07_06_15_23_49.221,0.180000,0.99675941,0.07816998,0.01852133,-0.00415211,0.99927944,0.01117294,0.03627349,-0.00538169,0.98774445,-0.15598713,-0.03757177,0.15567951,0.98709285,8.963248,-2.078927,0.640644,-0.005786,0.016978,9.812080,-0.006327,0.018586,0.009065
