UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz
2026_06_09_01_08_34.786,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_09_01_08_34.805,0.020000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_06_09_01_08_34.825,0.040000,1.00000000,0.00000205,-0.00001596,-0.00001133,1.00000000,0.00002267,-0.00003192,-0.00002267,1.00000000,-0.00000411,0.00003192,0.00000411,1.00000000,0.000235,0.001829,0.001299,316.734955,17.597771,-35.503761
2026_06_09_01_08_34.845,0.060000,1.00000000,0.00001075,-0.00003831,-0.00002727,1.00000000,0.00005454,-0.00007661,-0.00005454,1.00000000,-0.00002150,0.00007661,0.00002151,1.00000000,0.001232,0.004390,0.003125,295.734039,16.037107,-28.643084
2026_06_09_01_08_34.865,0.080000,1.00000000,0.00002445,-0.00006362,-0.00005050,1.00000000,0.00010100,-0.00012724,-0.00010100,1.00000000,-0.00004889,0.00012723,0.00004890,1.00000000,0.002802,0.007291,0.005787,274.449707,15.263866,-22.649996
2026_06_09_01_08_34.885,0.100000,1.00000000,0.00004668,-0.00009163,-0.00008226,0.99999994,0.00016452,-0.00018326,-0.00016453,1.00000000,-0.00009334,0.00018325,0.00009337,1.00000000,0.005350,0.010501,0.009427,255.451996,14.666293,-18.016085
2026_06_09_01_08_34.904,0.120000,1.00000000,0.00007691,-0.00012420,-0.00012198,0.99999994,0.00024395,-0.00024843,-0.00024399,0.99999994,-0.00015380,0.00024839,0.00015386,0.99999994,0.008816,0.014235,0.013978,238.482330,14.479584,-14.408177
2026_06_09_01_08_34.924,0.140000,1.00000000,0.00011247,-0.00016182,-0.00016737,0.99999988,0.00033470,-0.00032367,-0.00033477,0.99999994,-0.00022489,0.00032360,0.00022500,0.99999994,0.012892,0.018546,0.019178,220.736557,14.493796,-9.439404
2026_06_09_01_08_34.944,0.160000,1.00000000,0.00015249,-0.00020018,-0.00021363,0.99999982,0.00042719,-0.00040043,-0.00042732,0.99999988,-0.00030490,0.00040030,0.00030507,0.99999988,0.017480,0.022945,0.024478,202.387817,14.773325,-3.419550
2026_06_09_01_08_34.963,0.180000,1.00000000,0.00019014,-0.00023608,-0.00025922,0.99999976,0.00051834,-0.00047227,-0.00051852,0.99999982,-0.00038015,0.00047207,0.00038040,0.99999982,0.021797,0.027061,0.029701,183.172852,15.617940,0.732876
2026_06_09_01_08_34.983,0.200000,0.99999988,0.00022876,-0.00027032,-0.00030608,0.99999964,0.00061203,-0.00054077,-0.00061228,0.99999970,-0.00045736,0.00054049,0.00045769,0.99999976,0.026226,0.030986,0.035069,162.075470,16.899979,3.905873
2026_06_09_01_08_35.004,0.220000,0.99999988,0.00027498,-0.00030493,-0.00035391,0.99999958,0.00070766,-0.00061006,-0.00070800,0.99999958,-0.00054974,0.00060967,0.00055017,0.99999964,0.031525,0.034957,0.040549,142.486938,16.595661,6.277554
2026_06_09_01_08_35.023,0.240000,0.99999982,0.00032732,-0.00034061,-0.00040288,0.99999946,0.00080553,-0.00068148,-0.00080598,0.99999946,-0.00065437,0.00068095,0.00065492,0.99999958,0.037527,0.039049,0.046157,122.026176,15.506250,9.027756
2026_06_09_01_08_35.043,0.260000,0.99999976,0.00039038,-0.00037710,-0.00045566,0.99999928,0.00091102,-0.00075456,-0.00091161,0.99999928,-0.00078041,0.00075385,0.00078110,0.99999940,0.044757,0.043237,0.052201,99.925209,15.886747,12.317088
2026_06_09_01_08_35.063,0.280000,0.99999970,0.00046673,-0.00041293,-0.00051609,0.99999911,0.00103179,-0.00082633,-0.00103256,0.99999905,-0.00093303,0.00082537,0.00093388,0.99999923,0.053512,0.047349,0.059122,81.852707,15.736921,14.062877
2026_06_09_01_08_35.082,0.300000,0.99999964,0.00054936,-0.00044921,-0.00058221,0.99999893,0.00116393,-0.00089906,-0.00116492,0.99999869,-0.00109820,0.00089778,0.00109925,0.99999899,0.062987,0.051516,0.066693,68.227692,14.553924,15.005514
