UTC_Time,Time_s,q0,q1,q2,q3,R11,R12,R13,R21,R22,R23,R31,R32,R33,roll,pitch,yaw,aax,aay,aaz,lax,lay,laz
2026_07_06_15_24_14.520,0.000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_24_14.539,0.020000,0.99672925,0.07854680,0.01894807,-0.00149319,0.99927747,0.00595324,0.03753762,0.00000000,0.98765635,-0.15663637,-0.03800676,0.15652321,0.98694277,9.012377,-2.151411,0.341363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026_07_06_15_24_14.559,0.040000,0.99673986,0.07841897,0.01888793,-0.00182765,0.99927980,0.00660572,0.03736605,-0.00068104,0.98769426,-0.15639566,-0.03793935,0.15625758,0.98698741,8.996933,-2.141574,0.378775,-0.001246,0.001597,9.778445,-0.000429,-0.001799,-0.021570
2026_07_06_15_24_14.579,0.060000,0.99675030,0.07829287,0.01882884,-0.00216101,0.99928159,0.00725631,0.03719693,-0.00135965,0.98773110,-0.15615825,-0.03787370,0.15599550,0.98703140,8.981695,-2.131876,0.416078,-0.001793,0.005074,9.779496,-0.001022,0.001800,-0.021097
2026_07_06_15_24_14.599,0.080000,0.99676037,0.07816775,0.01877028,-0.00249338,0.99928290,0.00790508,0.03702915,-0.00203615,0.98776716,-0.15592264,-0.03780875,0.15573542,0.98707497,8.966575,-2.122255,0.453276,-0.002623,0.007829,9.780782,-0.001911,0.004720,-0.020288
2026_07_06_15_24_14.618,0.100000,0.99677038,0.07804344,0.01871182,-0.00282541,0.99928379,0.00855324,0.03686177,-0.00271190,0.98780251,-0.15568851,-0.03774380,0.15547703,0.98711818,8.951553,-2.112658,0.490440,-0.003914,0.009827,9.781287,-0.003232,0.006764,-0.020146
2026_07_06_15_24_14.639,0.120000,0.99678004,0.07792050,0.01865398,-0.00315708,0.99928415,0.00920088,0.03669583,-0.00338677,0.98783684,-0.15545699,-0.03767984,0.15522143,0.98716086,8.936694,-2.103143,0.527573,-0.005074,0.012181,9.782235,-0.004442,0.009229,-0.019616
2026_07_06_15_24_14.657,0.140000,0.99678957,0.07779844,0.01859671,-0.00348839,0.99928397,0.00984798,0.03653124,-0.00406080,0.98787045,-0.15522709,-0.03761680,0.15496761,0.98720312,8.921940,-2.093706,0.564675,-0.006116,0.014881,9.783389,-0.005547,0.012066,-0.018932
2026_07_06_15_24_14.678,0.160000,0.99679887,0.07767664,0.01853949,-0.00381942,0.99928337,0.01049455,0.03636692,-0.00473421,0.98790348,-0.15499759,-0.03755364,0.15471435,0.98724526,8.907219,-2.084284,0.601747,-0.007258,0.017389,9.784267,-0.006744,0.014668,-0.018492
2026_07_06_15_24_14.698,0.180000,0.99680811,0.07755557,0.01848222,-0.00414964,0.99928236,0.01113958,0.03620279,-0.00540599,0.98793584,-0.15476944,-0.03749010,0.15446265,0.98728710,8.892590,-2.074873,0.638730,-0.008117,0.019341,9.785451,-0.007670,0.016770,-0.017653
2026_07_06_15_24_14.718,0.200000,0.99681705,0.07743516,0.01842487,-0.00447911,0.99928093,0.01178317,0.03603876,-0.00607624,0.98796749,-0.15454243,-0.03742613,0.15421231,0.98732865,8.878039,-2.065468,0.675630,-0.008744,0.021150,9.786829,-0.008373,0.018761,-0.016588
2026_07_06_15_24_14.737,0.220000,0.99682593,0.07731555,0.01836801,-0.00480783,0.99927902,0.01242540,0.03587597,-0.00674487,0.98799837,-0.15431690,-0.03736285,0.15396366,0.98736984,8.863587,-2.056134,0.712452,-0.009440,0.023596,9.788281,-0.009154,0.021391,-0.015551
2026_07_06_15_24_14.757,0.240000,0.99683446,0.07719725,0.01831166,-0.00513638,0.99927658,0.01306747,0.03571435,-0.00741303,0.98802841,-0.15409386,-0.03730041,0.15371764,0.98741055,8.849290,-2.046868,0.749265,-0.010177,0.026172,9.789641,-0.009977,0.024133,-0.014625
2026_07_06_15_24_14.777,0.260000,0.99684280,0.07707962,0.01825590,-0.00546531,0.99927372,0.01371043,0.03555399,-0.00808180,0.98805773,-0.15387206,-0.03723904,0.15347297,0.98745090,8.835072,-2.037673,0.786129,-0.011206,0.028461,9.790524,-0.011075,0.026512,-0.014135
2026_07_06_15_24_14.797,0.280000,0.99685109,0.07696218,0.01820063,-0.00579405,0.99927032,0.01435313,0.03539480,-0.00875009,0.98808652,-0.15365058,-0.03717849,0.15322876,0.98749113,8.820881,-2.028546,0.822978,-0.012052,0.031027,9.791145,-0.011985,0.029128,-0.013938
2026_07_06_15_24_14.816,0.300000,0.99685913,0.07684492,0.01814525,-0.00612264,0.99926651,0.01499556,0.03523554,-0.00941808,0.98811471,-0.15342930,-0.03711751,0.15298492,0.98753124,8.806711,-2.019414,0.859812,-0.012613,0.033458,9.791731,-0.012612,0.031606,-0.013745
2026_07_06_15_24_14.836,0.320000,0.99686712,0.07672833,0.01808966,-0.00645110,0.99926227,0.01563775,0.03507601,-0.01008579,0.98814231,-0.15320930,-0.03705594,0.15274251,0.98757106,8.792625,-2.010268,0.896631,-0.012612,0.035596,9.792274,-0.012675,0.033797,-0.013526
2026_07_06_15_24_14.856,0.340000,0.99687475,0.07661356,0.01803387,-0.00677944,0.99925762,0.01627979,0.03491623,-0.01075323,0.98816878,-0.15299276,-0.03699381,0.15250373,0.98761028,8.778751,-2.001106,0.933442,-0.012664,0.038258,9.792992,-0.012807,0.036530,-0.013218
2026_07_06_15_24_14.876,0.360000,0.99688214,0.07650004,0.01797808,-0.00710822,0.99925250,0.01692276,0.03475650,-0.01142147,0.98819447,-0.15277863,-0.03693162,0.15226746,0.98764908,8.765023,-1.991949,0.970307,-0.013417,0.041081,9.793990,-0.013655,0.039454,-0.012678
2026_07_06_15_24_14.895,0.380000,0.99688953,0.07638650,0.01792283,-0.00743681,0.99924695,0.01756549,0.03459801,-0.01208924,0.98821962,-0.15256439,-0.03687030,0.15203123,0.98768777,8.751298,-1.982862,1.007157,-0.014262,0.043102,9.794477,-0.014569,0.041504,-0.012524
